,공모가 대비 1개월,공모가 대비 3개월,공모가 대비 6개월,1개월 대비 3개월,3개월 대비 6개월,종가 대비 1개월,종가 대비 3개월,종가 대비 6개월
buy_sell수익률,0.23534229733998388,0.1998864047416314,0.2671346796110898,0.014613699726962205,0.06583030013117162,0.015881228005415374,0.01987491959012719,0.06407548704174074
buy수익률,0.3440728249316449,0.3466927500810833,0.4158026876337007,0.0407297397206386,0.09664794731324142,-0.0016374152711101358,-0.004214373393780454,0.11773574644707129
all수익률,0.32415722950778136,0.3346940012487627,0.4197187068993797,0.03246102508378482,0.07198931621203576,-0.011649764230099838,0.016260766855794664,0.08691146681661348
