종목명,상장유형,공모가(원),상장일,상장주식수,매출총이익률,영업이익률,ROE(지배),매출액증가율(YoY),영업이익증가율(YoY),유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액,세전계속사업이익,당기순이익(지배),자본총계(지배),EBITDA2,순부채,매출액증가율(YoY)-before,영업이익증가율(YoY)-before,IPO_PER,IPO_PBR,IPO_EV/EBIDTA,IPO_PSR,시장수익률,M2 증감률 ,MMF 증감률 ,고객예탁금 증감률 ,국고1년시장금리%p,국고3년시장금리%p,국고5년시장금리%p
메디톡스,신규상장,14000,2009-01-16,5059000,65.7,30.26,12.17,44.7,4.72,743.39,586.98,28.14,81.53,6.09,6.99,5145716,1598909,1500498,13813309,2195776,-552921,878.15,235.17,47.20166238,5.127373897,32.25531524,13.76407093,-0.481316016,0.123387021,0.741289818,0.118873605,-1.68,-1.5,-1.18
유비쿼스홀딩스,신규상장,6100,2009-01-23,10290000,48.35,26.28,40.4,28.89,21.69,472.9,435.93,25.03,,7.45,16.23,68201559,19589500,18463729,54938168,18749605,-49497675,24.73,45.45,3.399584125,1.142539009,3.345110594,0.920345531,-0.453595277,0.123387021,0.651312335,0.095396478,-1.49,-1.18,-0.92
대성파인텍,신규상장,3500,2009-01-23,2894000,18.69,13.18,18.51,13.9,22.29,227.45,200.78,87.45,6.64,3.65,11.09,15898770,2332162,1941499,11538961,3363991,2483634,13.51,7.08,5.217102867,0.877808669,3.011745166,0.63709331,-0.453595277,0.123387021,0.651312335,0.095396478,-1.49,-1.18,-0.92
이수앱지스,신규상장,5500,2009-02-03,7443330,53.43,-170.86,-37.02,25.54,7.53,1012.28,859.09,45.09,-41.92,5.97,2.09,2152135,-3728076,-3728076,13230273,-3225861,-5917842,44.54,-1.05,-10.98108381,3.094291025,-12.68882855,19.02218727,-0.445353184,0.11651865,0.616582277,-0.017256364,-1.82,-1.63,-1.33
중국식품포장,신규상장,1500,2009-03-27,20000000,15.99,11.28,40.84,3.39,15.68,179.05,119.33,65.06,,8.45,10.1,38250592,4544146,4262983,11482277,4772272,-1562943,1509.29,2356.57,7.037325741,2.612722198,6.285986435,0.784301587,-0.423119074,0.100151188,0.90950065,0.062503223,-2.59,-1.35,-0.64
엔시트론,신규상장,4500,2009-03-31,2500000,25.71,12.77,49.25,378.89,10138.19,189.23,130.56,75.86,32.72,26.42,10.42,22440075,1682215,2608256,6661795,3386693,145310,,,4.313226923,1.688734042,3.321867471,0.501335223,-0.436403134,0.101129375,1.080443252,0.077371179,-2.57,-1.28,-0.56
코오롱생명과학,신규상장,23500,2009-04-07,3420000,26.5,11.63,37.02,22.29,96.49,152.12,79.02,126.72,10.08,15.89,5.32,70247079,9572144,7588482,24283675,9537478,2192693,18.05,10.53,10.59105102,3.309630853,8.426985907,1.144104511,-0.441706161,0.101129375,1.063432842,-0.002811353,-2.72,-1.48,-0.56
뷰웍스,신규상장,9000,2009-04-10,6047910,58.88,29.52,36.4,27.25,22.89,659.02,429.13,11.61,,7,5.03,21282881,6992919,6176766,20121709,7073321,-5824819,66.15,68.34,8.81224738,2.705097763,7.694457127,2.557510424,-0.420971992,0.101129375,1.038385955,-0.051091301,-2.64,-1.29,-0.43
에스앤에스텍,신규상장,4000,2009-04-14,10915980,27.47,14.77,13.73,34.75,53.92,177.25,141,93.14,4.22,4.92,10.43,38000101,3955464,3855592,29965769,9969259,14809774,38.61,1003.14,11.32482898,1.45712663,4.38134166,1.149047472,-0.392742929,0.101129375,1.044045085,0.049892352,-2.61,-1.23,-0.56
에이테크솔루션,신규상장,5400,2009-04-17,10000000,14.21,7.06,48.9,14.41,86.87,85.09,27.04,272.37,10.46,10.91,5.07,116624209,8747932,7907058,20900621,11484190,14148362,11.06,75.91,6.829341583,2.583655289,4.703348548,0.463025648,-0.384881546,0.101129375,0.969490227,0.102989808,-2.57,-1.33,-0.63
엔에스브이,신규상장,4300,2009-04-17,8450000,29.04,17.26,25.87,7.2,22.05,129.48,61.29,141.07,8.92,4.25,3.34,27308702,3017295,2520680,11004192,5485267,9257135,61.19,129.18,14.4147611,3.301923485,6.625795451,1.330528269,-0.384881546,0.101129375,0.969490227,0.102989808,-2.57,-1.33,-0.63
에스티오,신규상장,5000,2009-04-17,4998801,69.17,11.14,28.93,32.09,-10.45,192.23,48.33,107.86,15.87,19.04,3.95,69341599,7071347,5119747,20255531,9239420,7086301,,,4.881882835,1.23393482,2.705915664,0.360447485,-0.384881546,0.101129375,0.969490227,0.102989808,-2.57,-1.33,-0.63
티플랙스,신규상장,3000,2009-04-23,5753000,12.59,9.28,19.09,9.2,2.65,228.11,117.09,114.89,4.98,7.1,4.56,58869426,4073918,3565969,20473002,5853495,17343185,62.39,44.38,4.839918687,0.843012666,2.95145775,0.293174253,-0.371073339,0.101129375,0.951621644,0.065711597,-2.45,-1.4,-0.72
네프로아이티,신규상장,4500,2009-04-24,3400000,72.87,18.08,15.73,116.29,122.52,98.97,92.29,174.39,13.9,3.33,38.47,26207911,,,,,,49.41,190.71,,,,0.583793191,-0.364370598,0.101129375,0.934147596,0.077248762,-2.4,-1.28,-0.55
흥국,신규상장,4200,2009-05-12,5328000,14.22,9.15,16.23,4.32,-34.64,163.72,39.13,49.72,12.52,15.83,5.74,48416188,3691269,2691793,17603969,5245846,6192136,9.2,29.38,8.31326926,1.271167883,4.266955632,0.462192521,-0.244960125,0.097808561,0.883019802,0.371856036,-2.56,-1.34,-0.69
SDN,신규상장,10000,2009-05-19,10000000,16.99,6.64,30.27,68.75,2.68,113.36,94.56,324.17,4.9,15.7,16.69,84921453,2786869,4142518,15493338,6564759,32423247,41.44,-11.2,24.13990718,6.45438704,15.23779064,1.177558749,-0.258714472,0.097808561,0.666585018,0.362855633,-2.84,-1.74,-1.13
한국정밀기계,신규상장,22000,2009-05-19,7640000,30,22.85,50.56,74.26,91.49,111.2,32.46,211.12,67.42,5.67,2.2,132770108,26969848,23071471,55165619,32283272,1303822,67.14,256.08,7.285187841,3.046825234,5.20645193,1.265947603,-0.258714472,0.097808561,0.666585018,0.362855633,-2.84,-1.74,-1.13
에이치디,신규상장,8500,2009-05-21,8150000,19.09,15.58,33.24,44.78,74.07,119.32,95.63,165.12,65.67,8.66,6.59,67025998,12107776,9052999,32214945,11884474,-33779628,30.49,221.71,7.65216035,2.15039945,5.826191413,1.033554174,-0.22973601,0.097808561,0.661139178,0.346104669,-2.74,-1.7,-1.2
스맥,신규상장,3500,2009-05-26,5650000,64.39,19.71,16.39,-14.29,-48.64,805.59,653.76,20.65,12.89,1.87,4.64,12593839,2966510,2792083,18436183,2953672,-3870159,54.11,122.7,7.082525842,1.072618991,6.6937459,1.570212228,-0.208391827,0.097808561,0.65289339,0.409978308,-2.65,-1.83,-1.35
이엔에프테크놀로지,신규상장,5500,2009-05-28,14200000,28.03,15.06,28.95,34.2,51.95,190.68,132.72,80.7,29.4,11.53,10.9,71666337,8957182,7221919,28554510,12752994,2757871,12.25,-2.21,10.81430019,2.735119601,6.124268377,1.089772455,-0.252106216,0.097808561,0.691050165,0.442542647,-2.58,-1.86,-1.41
차이나그레이트,신규상장,1700,2009-05-29,100000000,26.35,16.5,31.29,-16.3,-17.05,154.98,151.63,109.64,175.25,2.1,66.6,142507190,22650510,15691566,62026399,24106956,-5992589,30.17,33.61,10.83384539,2.740768491,7.051657929,1.192922266,-0.235513296,0.097808561,0.63944528,0.407240553,-2.59,-1.92,-1.45
위메이드맥스,신규상장,55000,2009-06-03,3400000,92.37,59.04,78.63,70.94,75.22,486.31,486.31,23.15,,13.94,,32901945,21330040,17123141,30499563,20512032,-21501225,98.4,109.5,10.92089354,6.131235389,9.115552217,5.683554574,-0.221681918,0.092433737,0.58464325,0.35960333,-2.59,-1.91,-1.45
어보브반도체,신규상장,3300,2009-06-05,10546833,22.55,8.85,25.87,30.16,27.21,329.67,193.62,51.64,33.09,7.6,6.29,36212294,2829754,3628087,15820301,4667567,325671,1.28,-7.38,9.59308553,2.199992838,7.456748788,0.961125216,-0.2128274,0.092433737,0.548816944,0.4606003,-2.49,-1.7,-1.22
동일금속,신규상장,8000,2009-07-28,7000000,20.13,16.87,51.5,70.58,691.96,136.49,104.9,72.22,110.85,14.25,16.23,86812077,15972395,13085527,30602147,16146981,-6979538,46.91,73.03,4.279537232,1.829936965,3.467708327,0.645071538,-0.074827681,0.088933417,0.46489825,0.285839517,-2.47,-1.73,-1.24
게임빌,신규상장,15000,2009-07-30,5484780,77.97,40.57,44.48,25.22,203.32,609.99,609.99,29.53,65.68,5.84,,15378028,6630073,5279774,14471019,7222107,-9238491,9.77,183.82,15.58242834,5.685273442,11.3903687,5.349951242,-0.099121683,0.096493749,0.415767813,0.329769221,-2.42,-1.61,-1.18
에스앤더블류,신규상장,6700,2009-08-05,7200000,19.49,13.46,8.75,31.52,26.23,143.51,35.25,140.57,7.63,9.82,3.86,66135877,3032793,2423151,28905443,12686391,31649375,30.03,146.32,19.90796281,1.668889835,3.80499461,0.729407429,-0.033288384,0.089189009,0.53125791,0.420667515,-2.55,-1.72,-1.26
동국S&C,신규상장,11000,2009-08-31,57143000,26.87,17.59,12.11,124.22,236.13,89.11,29.66,480.63,14.02,20.37,3.19,324013237,6419583,5332507,50295671,60198802,41758804,14.07,255.54,117.8757009,12.4975567,10.44231343,1.939960866,0.072446202,0.091422913,0.35258336,0.77498797,-2.66,-1.51,-1.1
제넥신,신규상장,27000,2009-09-15,4022870,91.55,-22.97,-8.24,10.64,-180.23,2396.9,2396.89,107.11,-0.67,1.52,,1337447,-534210,-528246,7104460,-87807,5001952,34.81,-175.45,-205.6191434,15.28863418,-1237.059596,81.21255646,0.13752115,0.091422913,0.561765627,0.740460404,-2.15,-1.05,-0.65
톱텍,신규상장,10400,2009-09-15,5600000,11.55,6.71,43.48,92.67,86.21,125.87,100.93,153.32,34.49,46.09,21.12,61396244,5358699,4620194,13169073,4365255,-13889061,44.32,58.37,12.60553128,4.422482889,13.33853599,0.94859223,0.13752115,0.091422913,0.561765627,0.740460404,-2.15,-1.05,-0.65
디에스케이,신규상장,5000,2009-09-23,6000000,24.01,14.29,29.87,2.52,175.38,242.57,156.82,73.61,25.72,11.43,3.97,17613562,2942275,2802866,10785495,2761231,-4434308,8.71,-64.04,10.70333009,2.781513505,10.86311348,1.703232997,0.14901732,0.091422913,0.463284493,0.503977994,-2.32,-1.54,-1.1
모린스,신규상장,39000,2009-09-25,7093439,30.24,22.98,72.64,6693.6,407.9,442.74,323.71,18.82,34.05,52.12,16.04,45431115,10307361,10303258,25520911,12287341,-9908753,,,26.85015953,10.83989992,22.51375723,6.089309518,0.132275015,0.091422913,0.495274945,0.494225152,-2.25,-1.59,-1.16
케이엔더블유,신규상장,11000,2009-09-29,4400000,25.47,12.03,32.13,21.2,49.5,200.12,173.08,150.75,6.1,7.97,15.93,27668126,3987958,3151974,11500016,5517063,5834694,31.1,-8.5,15.35545661,4.208689797,8.773841208,1.74930532,0.16621455,0.091422913,0.518979746,0.476740582,-2.26,-1.63,-1.13
아이앤씨,신규상장,16000,2009-10-06,11581182,57.92,37.37,72.78,238.64,1015.17,281.51,179.49,100.75,10.81,5.01,6.66,25054475,7163283,7163283,13482103,11106442,9687489,-4.51,-11387.41,25.86787539,13.74406589,16.68478523,7.395840943,0.27665543,0.092540462,0.414284385,0.542661478,-2.23,-1.47,-1
NHN벅스,신규상장,9000,2009-10-06,10140936,36.88,15.71,32.03,119.53,349.67,114.6,114.6,135.69,5.6,7.03,,25347742,4096473,4096473,14892481,5178872,4769261,,,22.27975724,6.128490209,17.62414542,3.600653029,0.27665543,0.092540462,0.414284385,0.542661478,-2.23,-1.47,-1
한스바이오메드,신규상장,5500,2009-10-09,7766243,44.06,14.69,12.93,16.76,6.72,493.02,376.99,22.08,37.47,2.69,4.91,14367875,2413341,2101357,17298925,2837274,-2473875,28.59,44.7,20.32702511,2.469190224,15.05383781,2.972905631,0.406554186,0.092540462,0.301941902,0.521627542,-2,-1.04,-0.53
스틸플라워,신규상장,13500,2009-10-27,13000000,33.57,24.53,37.64,76.94,244.3,114.95,45.14,103.55,10.72,18.1,6.58,148904565,19859800,15088731,61187240,39366806,32949227,65.02,361.33,11.63119682,2.868245079,4.458907569,1.178607251,0.977564225,0.092540462,0.096646487,0.618781156,-1.31,-0.09,0.18
비츠로셀,신규상장,5500,2009-10-28,12676375,31.43,17.95,47.71,25.32,240.55,228.57,149.4,49.98,13.93,6.4,8.53,37163202,6604543,6043661,15690207,8103919,-1702958,25.03,186.91,11.5360644,4.443540006,8.603042496,1.876051006,0.877950299,0.092540462,0.052957931,0.616348006,-1.34,-0.11,0.11
상상인인더스트리,신규상장,6300,2009-11-06,4334000,17.05,8.05,22.79,113.16,42.46,93.97,24.42,372.46,2.25,14.63,2.13,42659853,2707422,2500526,14849468,4632969,16206708,10.6,89.16,10.91938256,1.838732539,5.896954352,0.6400444,0.584882677,0.093516437,0.064941245,0.308771504,-1.19,-0.11,0.08
진매트릭스,신규상장,8000,2009-11-06,3761000,100,28.6,18.82,15.81,17.99,2418.02,2418.02,9.1,61.37,10.11,,1876115,711420,774180,4751306,607264,-3256623,47.61,1445.46,38.86434679,6.332574665,49.54145705,16.03739643,0.584882677,0.093516437,0.064941245,0.308771504,-1.19,-0.11,0.08
동방선기,신규상장,4000,2009-11-10,6000000,19.36,10.69,37.35,50.84,94.24,80.03,33.89,95.45,6.5,9.21,7.21,48669169,8080849,6449581,24483679,6067564,12139616,17.79,-10.07,3.721171965,0.98024484,3.957459636,0.49312533,0.524189421,0.093516437,0.013400297,0.237712276,-1.57,-0.64,-0.45
에이프로젠 H&G,신규상장,10000,2009-11-13,1875000,26.69,13.98,101.03,69.3,450.54,241.39,207.73,116.2,16.98,5.81,21.01,24550070,4246029,4136508,6176428,3813118,-898274,,,4.532808833,3.035735218,4.917000136,0.763745276,0.631744503,0.093516437,-0.040852627,0.269996142,-1.8,-0.87,-0.59
강원,신규상장,4700,2009-11-20,5300000,20.88,10.97,19.46,-21.87,-34.75,192.39,186.01,77.36,514.44,2.7,33.97,38673260,3499636,2590392,17878192,4479788,-9937617,57.24,91.84,9.616305177,1.393317624,5.558312666,0.644114305,0.866842452,0.093516437,-0.058418252,0.318536839,-1.59,-0.6,-0.31
이원컴포텍,신규상장,2000,2009-12-01,5000000,15.37,6.71,16.78,-4.19,10.34,153.1,120.48,68.56,109.84,20.36,16.6,20911173,1483478,1139203,7350450,2199612,-4485725,24.23,63.88,8.778066771,1.360460924,4.544217014,0.47821325,0.578390655,0.087755899,-0.091479369,0.331277221,-1.27,-0.26,0.11
에스앤씨엔진그룹,신규상장,6000,2009-12-04,40000000,28.92,24.74,,,,192.42,151.81,23.03,101.97,19.8,33.24,121296622,29851535,24004242,78023621,,-9166053,,,9.998232812,3.075991564,,1.978620641,0.618727419,0.087755899,-0.047603659,0.238826163,-1.04,0.14,0.4
셀바스AI,신규상장,9000,2009-12-10,3577166,49,9.22,26.35,75.78,128.38,144.07,144.07,114.11,67.59,3.45,,11602065,1136811,1136811,4826090,1272984,-1960163,19.35,32.35,28.3200057,6.670926982,25.28903257,2.774893435,0.489865803,0.087755899,-0.069274154,0.12516538,-1.01,0.26,0.43
멜파스,신규상장,43200,2009-12-18,5149001,22.66,5.5,16.01,-1.17,-78.97,178.74,101.64,63.06,39.38,11.46,7.54,34925295,2348125,2855431,18884404,2590969,1351477,75.51,98.95,77.89956865,11.77886489,85.85135317,6.368932408,0.388598296,0.087755899,-0.088213308,0.061402486,-0.57,0.45,0.68
위메이드,신규상장,62000,2009-12-18,7140000,92.32,45.28,52.3,84.23,150.57,441.91,441.91,44.36,66.43,4.62,156795.95,73850892,33342413,24599815,75333453,35436633,-49397359,85.73,750.83,17.99525728,5.876273851,12.49076352,5.994240395,0.388598296,0.087755899,-0.088213308,0.061402486,-0.57,0.45,0.68
ITX-AI,신규상장,6000,2009-12-22,5733000,32.08,12,47.46,24.11,33.83,136.62,79.61,148.17,8.69,5.96,8.07,46568067,4082962,4416945,11628649,6469392,9162382,,,7.787735641,2.958039236,5.318453787,0.738660679,0.385475668,0.087755899,-0.099287862,0.075079348,-0.58,0.38,0.52
디와이피엔에프,신규상장,12000,2009-12-22,6500000,22.29,17.4,62.68,73.7,117.34,114.24,113.59,212.87,16.03,4.16,138.4,36691263,5692451,4334179,9146200,6685063,1297328,110.48,260.66,17.99648792,8.528131902,11.66799734,2.12584669,0.385475668,0.087755899,-0.099287862,0.075079348,-0.58,0.38,0.52
KPX생명과학,신규상장,6200,2009-12-22,15000000,15.46,11.83,25.43,33.37,161.47,420.15,268.89,25.2,,6.42,5.53,46492964,8059170,6609500,29293502,7379882,-6310193,32.29,144.47,14.07065587,3.174765516,12.60097246,2.000302669,0.385475668,0.087755899,-0.099287862,0.075079348,-0.58,0.38,0.52
글로벌에스엠,신규상장,3200,2009-12-23,31694020,26.38,13.02,,,,176.72,144.12,70.61,39.29,7.43,16.85,87016239,10530431,10000666,53685024,,-10036816,,,10.14141098,1.889183546,,1.165539503,0.416341953,0.087755899,-0.10663892,0.101905717,-0.52,0.43,0.56
코디,신규상장,6000,2010-01-05,4868354,29.78,11.2,22.09,77.4,90.25,104.61,58.65,119.6,4.66,18.53,6.23,18009729,1682747,1492804,7621400,2522949,3847906,7.49,10.65,19.5672868,3.832645446,11.57929546,1.621908025,0.410946115,0.089032689,-0.14473687,0.148974426,0.17,0.81,0.94
승화프리텍,신규상장,6700,2010-01-06,5334000,17.59,9.21,26.31,-7.73,22.09,103.32,103.32,152.67,8.41,8.74,,29006964,2209661,1817683,7071984,4129808,5016267,61.35,766.07,19.66118405,5.053433379,8.654837287,1.232042071,0.388105967,0.089032689,-0.186373525,0.137830875,0.23,0.82,0.93
