종목명,상장유형,공모가(원),상장일,상장주식수,매출총이익률,영업이익률,ROE(지배),매출액증가율(YoY),영업이익증가율(YoY),유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액,세전계속사업이익,당기순이익(지배),자본총계(지배),EBITDA2,순부채,매출액증가율(YoY)-before,영업이익증가율(YoY)-before
디에스케이,신규상장,5000,2009-09-23,6000000,24.01,14.29,29.87,2.52,175.38,242.57,156.82,73.61,25.72,11.43,3.97,17613562,2942275,2802866,10785495,2761231,-4434308,8.71,-64.04
모린스,신규상장,39000,2009-09-25,7093439,30.24,22.98,72.64,6693.6,407.9,442.74,323.71,18.82,34.05,52.12,16.04,45431115,10307361,10303258,25520911,12287341,-9908753,,
케이엔더블유,신규상장,11000,2009-09-29,4400000,25.47,12.03,32.13,21.2,49.5,200.12,173.08,150.75,6.1,7.97,15.93,27668126,3987958,3151974,11500016,5517063,5834694,31.1,-8.5
아이앤씨,신규상장,16000,2009-10-06,11581182,57.92,37.37,72.78,238.64,1015.17,281.51,179.49,100.75,10.81,5.01,6.66,25054475,7163283,7163283,13482103,11106442,9687489,-4.51,-11387.41
NHN벅스,신규상장,9000,2009-10-06,10140936,36.88,15.71,32.03,119.53,349.67,114.6,114.6,135.69,5.6,7.03,,25347742,4096473,4096473,14892481,5178872,4769261,,
한스바이오메드,신규상장,5500,2009-10-09,7766243,44.06,14.69,12.93,16.76,6.72,493.02,376.99,22.08,37.47,2.69,4.91,14367875,2413341,2101357,17298925,2837274,-2473875,28.59,44.7
스틸플라워,신규상장,13500,2009-10-27,13000000,33.57,24.53,37.64,76.94,244.3,114.95,45.14,103.55,10.72,18.1,6.58,148904565,19859800,15088731,61187240,39366806,32949227,65.02,361.33
비츠로셀,신규상장,5500,2009-10-28,12676375,31.43,17.95,47.71,25.32,240.55,228.57,149.4,49.98,13.93,6.4,8.53,37163202,6604543,6043661,15690207,8103919,-1702958,25.03,186.91
상상인인더스트리,신규상장,6300,2009-11-06,4334000,17.05,8.05,22.79,113.16,42.46,93.97,24.42,372.46,2.25,14.63,2.13,42659853,2707422,2500526,14849468,4632969,16206708,10.6,89.16
진매트릭스,신규상장,8000,2009-11-06,3761000,100,28.6,18.82,15.81,17.99,2418.02,2418.02,9.1,61.37,10.11,,1876115,711420,774180,4751306,607264,-3256623,47.61,1445.46
동방선기,신규상장,4000,2009-11-10,6000000,19.36,10.69,37.35,50.84,94.24,80.03,33.89,95.45,6.5,9.21,7.21,48669169,8080849,6449581,24483679,6067564,12139616,17.79,-10.07
에이프로젠 H&G,신규상장,10000,2009-11-13,1875000,26.69,13.98,101.03,69.3,450.54,241.39,207.73,116.2,16.98,5.81,21.01,24550070,4246029,4136508,6176428,3813118,-898274,,
강원,신규상장,4700,2009-11-20,5300000,20.88,10.97,19.46,-21.87,-34.75,192.39,186.01,77.36,514.44,2.7,33.97,38673260,3499636,2590392,17878192,4479788,-9937617,57.24,91.84
이원컴포텍,신규상장,2000,2009-12-01,5000000,15.37,6.71,16.78,-4.19,10.34,153.1,120.48,68.56,109.84,20.36,16.6,20911173,1483478,1139203,7350450,2199612,-4485725,24.23,63.88
에스앤씨엔진그룹,신규상장,6000,2009-12-04,40000000,28.92,24.74,,,,192.42,151.81,23.03,101.97,19.8,33.24,121296622,29851535,24004242,78023621,,-9166053,,
셀바스AI,신규상장,9000,2009-12-10,3577166,49,9.22,26.35,75.78,128.38,144.07,144.07,114.11,67.59,3.45,,11602065,1136811,1136811,4826090,1272984,-1960163,19.35,32.35
멜파스,신규상장,43200,2009-12-18,5149001,22.66,5.5,16.01,-1.17,-78.97,178.74,101.64,63.06,39.38,11.46,7.54,34925295,2348125,2855431,18884404,2590969,1351477,75.51,98.95
위메이드,신규상장,62000,2009-12-18,7140000,92.32,45.28,52.3,84.23,150.57,441.91,441.91,44.36,66.43,4.62,156795.95,73850892,33342413,24599815,75333453,35436633,-49397359,85.73,750.83
ITX-AI,신규상장,6000,2009-12-22,5733000,32.08,12,47.46,24.11,33.83,136.62,79.61,148.17,8.69,5.96,8.07,46568067,4082962,4416945,11628649,6469392,9162382,,
디와이피엔에프,신규상장,12000,2009-12-22,6500000,22.29,17.4,62.68,73.7,117.34,114.24,113.59,212.87,16.03,4.16,138.4,36691263,5692451,4334179,9146200,6685063,1297328,110.48,260.66
KPX생명과학,신규상장,6200,2009-12-22,15000000,15.46,11.83,25.43,33.37,161.47,420.15,268.89,25.2,,6.42,5.53,46492964,8059170,6609500,29293502,7379882,-6310193,32.29,144.47
글로벌에스엠,신규상장,3200,2009-12-23,31694020,26.38,13.02,,,,176.72,144.12,70.61,39.29,7.43,16.85,87016239,10530431,10000666,53685024,,-10036816,,
코디,신규상장,6000,2010-01-05,4868354,29.78,11.2,22.09,77.4,90.25,104.61,58.65,119.6,4.66,18.53,6.23,18009729,1682747,1492804,7621400,2522949,3847906,7.49,10.65
승화프리텍,신규상장,6700,2010-01-06,5334000,17.59,9.21,26.31,-7.73,22.09,103.32,103.32,152.67,8.41,8.74,,29006964,2209661,1817683,7071984,4129808,5016267,61.35,766.07
폴라리스우노,신규상장,6500,2010-01-15,10500000,46.78,31.88,48.04,80.2,181.04,524.7,440.48,35.69,70.59,7.31,10.37,15676534,5728134,4710722,13072351,5538263,-3651109,59.44,180.09
아세아텍,신규상장,4100,2010-01-26,17500000,22.36,8.67,18.81,17.7,-5,228.13,93.17,57.02,15.01,14.48,3.72,98114782,8093069,6808900,39607888,9013312,-7073147,15.4,2.71
우리넷,신규상장,6700,2010-01-27,5528580,28.4,18.42,64.78,234.03,399.06,256.23,192.99,55.99,81.63,6.82,8.14,38428233,6686180,6448878,13186896,7260922,-3420749,,
스타플렉스,신규상장,15000,2010-01-27,5400000,17.97,7.36,15.63,24.01,41.05,74.75,41.47,128.07,3.5,14.11,7.16,69618753,4684262,4202639,28987566,10353109,22701097,-2.23,-46.77
