종목명,상장유형,시장구분,공모가(원),상장일,수정주가,1달 후 수정고가,3달 후 수정고가,6달 후 수정고가,P/E(FY0),P/B(FY0),EV/EBITDA(FY0),P/S(FY0),P/C(FY0),Market to Earnings(FY0),Market to Book(FY0),수정거래량,일평균수정거래량,일평균거래대금,상장주식수,거래량회전율,시가총액,일중변동률,일중실질변동범위,개인 순매수수량(일간),개인 순매수대금(일간),기관&외국인총합계 순매수수량(일간),기관&외국인총합계 순매수대금(일간),총합계 순매수수량(일간),총합계 순매수대금(일간),매출총이익률,영업이익률,순이익률,ROE,ROA,매출액증가율(YoY),영업이익증가율(YoY),순이익증가율(YoY),총자산증가율,유동자산증가율,EBITDA증가율(YoY),EBIT증가율(YoY),부채비율,유동비율,당좌비율,자기자본비율,유동자산구성비율,차입금의존도,EBITDA/이자비용,EBIT/이자비용,이자보상배율,매출채권회전율,재고자산회전율,총자산회전율,자기자본회전율,유형자산회전율,매출원가/재고자산,매출원가율,판관비율,자산총계,유동자산,부채총계,자본총계,이익잉여금,매출액,금융비용,이자비용,Free Cash Flow1,Free Cash Flow2
엔에스브이,신규상장,KQ,"4,300",2009-04-17,"9,890","7,460","7,900","8,090",23.21,5.32,21.57,2.14,131.73,33.15,7.59,"3,002,435","3,002,435","29,653,516,140","8,450,000",0.355318,"83,570,500,000",13.95,"9,890",819,"8,087.54",-760,"-7,505.17",0,0,28.4,16.18,11.86,23.83,12.51,36.05,27.55,74.77,65.51,77.73,54.25,67.35,69.02,187.1,102.62,59.17,69.4,16.56,15.73,14,14.24,3.76611,3.26109,1.05498,2.00927,3.59463,2.33503,71.6,12.22,"43,906,431","30,469,236","17,928,677","25,977,754","12,452,119","37,153,338","882,004","422,048","-4,974,202.16","-4,753,195"
에스티오,신규상장,KQ,"5,000",2009-04-17,"4,796","2,586","1,912","1,894",9.23,2.33,7.31,0.68,63,11.23,2.84,"2,557,422","2,557,422","12,255,287,600","4,998,801",0.213377,"57,486,211,500",13.95,"11,500",322,"3,706.31",-110,"-1,260.34",0,0,64.08,5.95,3.36,10.94,5.56,7.96,-42.33,-50.94,14.47,16.4,-31.33,-47.2,87.78,223.41,84.88,53.26,67.7,17.43,11.16,7.11,8.19,18.02453,3.63289,1.6582,3.26058,10.22804,1.30511,35.93,58.12,"48,193,033","32,626,667","22,527,900","25,665,133","20,448,762","74,863,947","543,850","543,850","3,594,343.43","3,398,402"
티플랙스,신규상장,KQ,"3,000",2009-04-23,"3,022","2,531","2,404","2,041",9.15,1.61,10.37,0.55,11.36,11.13,1.94,"87,315","87,315","263,558,700","5,753,000",0.006647,"39,695,700,000",13.95,"6,900",13,92.12,-13,-92,0,0,11.71,8.59,5.94,15.84,7.88,16.34,7.69,14.01,34.49,57.37,15.3,10.72,91.7,210.24,108.53,52.16,65.75,35.31,5.22,4.66,4.85,5.94139,4.43966,1.32772,2.66806,3.81274,3.92001,88.3,3.12,"59,169,284","38,904,591","28,304,334","30,864,950","20,413,678","68,486,358","1,448,786","1,213,949","-3,155,294.14","-3,753,073"
네프로아이티,신규상장,KQ,"4,500",2009-04-24,"8,811","11,748","9,917","5,040",17.15,2.18,5.65,1.03,18.47,22.25,2.83,"2,334","2,334","20,357,550","3,400,000",0.000584,"35,190,000,000",13.95,"10,350",0,,,,,,69.71,-17.79,-26.2,-23.44,-10.56,-52.49,-146.74,-306.24,-19.07,-21.74,-82.2,-190.61,79.44,120.75,107.42,55.73,43.11,39.12,6.49,-12.78,-8.81,1.35517,10.63788,0.40327,0.89474,,3.22262,30.29,87.5,"27,623,308","11,907,689","12,228,891","15,394,416","2,419,127","12,452,330","261,675","251,416","-2,296,755.48","2,667,202"
흥국,신규상장,KQ,"4,200",2009-05-12,"4,830","3,965","3,270","2,018",15.78,2.41,11.88,0.88,-906.68,19.12,2.92,"1,972,450","1,972,450","9,465,259,230","5,328,000",0.185102,"51,468,480,000",13.95,"9,660",162,"1,560.03",-148,"-1,420.22",0,0,8.57,2.64,-0.41,-0.66,-0.47,-35.8,-81.51,-104.73,7.49,12.23,-75.74,-90.99,35.22,298.1,205.59,73.95,53.46,13.77,3.65,1.13,2.54,6.64099,4.15209,1.13668,1.6123,2.5836,3.79614,91.43,5.94,"28,331,927","15,147,413","7,380,061","20,951,866","12,170,530","31,081,872","323,479","322,719","-733,941.52","1,347,392"
SDN,신규상장,KQ,"10,000",2009-05-19,"8,500","6,450","5,900","5,900",28.11,7.52,44.2,1.37,-87.68,41.04,10.97,"16,360,826","16,360,826","171,452,677,900","10,000,000",0.818041,"170,000,000,000",30,"23,000","1,356","28,838.38","-1,228","-26,089.73",0,0,13.15,5.93,8.83,27.27,10.36,18.41,5.82,114.41,60.98,108.52,187.73,195.4,113.09,140.03,113.35,46.93,61.08,48.36,4.85,3.97,2.19,4.25353,11.524,1.17254,3.08729,3.01643,10.00871,86.85,7.22,"105,791,939","64,620,882","56,146,245","49,645,694","20,486,037","100,551,517","4,118,774","2,717,727","-44,650,577.51","-47,401,830"
한국정밀기계,신규상장,KQ,"22,000",2009-05-19,"46,000","61,636","46,636","34,682",11.72,4.9,13.74,2.04,28.93,16.76,7.01,"1,128,596","1,128,596","51,890,726,800","7,640,000",0.134293,"386,584,000,000",13.95,"50,600",-32,"-1,635.73",50,"2,534.28",0,0,24.89,17.52,12.09,23.04,10.46,31.39,0.74,-8.56,35.13,42.55,1.82,-2.76,81.23,194.34,78.38,55.18,77.33,16.2,23,20.45,24.46,5.7594,1.77922,0.86457,1.90514,7.80795,1.33631,75.11,7.37,"231,918,493","179,344,628","103,948,958","127,969,535","68,409,968","174,449,268","6,440,501","1,249,297","-57,886,209.65","-60,732,455"
에이치디,신규상장,KQ,"8,500",2009-05-21,"2,658","1,764","1,911","1,295",10.17,2.87,8.29,1.37,4.15,14.58,4.1,"34,648,446","34,648,446","98,320,901,100","8,150,000",0.697521,"132,030,000,000",26.01,"19,550","1,095","19,521.45",-996,"-17,723.73",0,0,25.81,22.16,19.85,24.95,13.19,0.56,43.02,47.77,37.55,37.12,37.59,42.81,56.62,221.85,196.78,63.85,69.33,10.47,39.57,36.09,36.24,7.47955,6.4196,0.66441,1.25714,2.90298,4.76303,74.2,3.64,"117,480,222","81,453,713","42,468,609","75,011,613","37,852,867","67,399,591","412,203","412,203","-5,009,632.13","-6,079,583"
스맥,신규상장,KQ,"3,500",2009-05-26,"7,583","4,569","4,041","3,669",14.58,2.21,13.31,3.23,5.13,16.29,2.47,"271,776","271,776","2,060,420,250","5,650,000",0.045312,"45,482,500,000",13.95,"8,050",83,667.42,-79,-638.57,0,0,54.26,2.92,11.1,6.17,5.05,-13.67,-87.23,-56.79,14.71,15.61,-69.83,-83.06,23.41,607.38,535.9,81.03,82.14,10.28,6.42,3.06,2.16,3.41306,3.69578,0.45529,0.55596,3.42059,1.69046,45.74,51.34,"25,516,045","20,959,700","4,840,751","20,675,294","11,235,256","10,872,219","146,872","146,872","1,360,211.59","2,587,556"
이엔에프테크놀로지,신규상장,KQ,"5,500",2009-05-28,"9,350","6,800","8,550","9,850",14.89,3.77,12.59,1.5,14.72,18.38,4.65,"6,923,643","6,923,643","74,461,350,820","14,200,000",0.48758,"132,770,000,000",30,"12,650","1,025","11,337.70",-969,"-10,706.97",0,0,28.74,15.01,12.29,28.12,18.11,32.64,32.28,61.79,50.14,83.1,66.3,62.96,42.02,435.1,316.91,70.41,60.96,10.55,34.5,27.64,27.51,11.62629,9.19881,1.47299,2.28768,4.13561,6.55554,71.27,13.72,"77,470,544","47,224,392","22,920,831","54,549,713","33,278,383","95,058,099","534,352","518,821","1,845,578.40","5,321,140"
