종목명,상장유형,시장구분,공모가(원),상장일,수정주가,1달 후 수정고가,3달 후 수정고가,6달 후 수정고가,P/E(FY0),P/B(FY0),EV/EBITDA(FY0),P/S(FY0),P/C(FY0),Market to Earnings(FY0),Market to Book(FY0),수정거래량,일평균수정거래량,일평균거래대금,상장주식수,거래량회전율,시가총액,일중변동률,일중실질변동범위,개인 순매수수량(일간),개인 순매수대금(일간),기관&외국인총합계 순매수수량(일간),기관&외국인총합계 순매수대금(일간),총합계 순매수수량(일간),총합계 순매수대금(일간),매출총이익률,영업이익률,순이익률,ROE,ROA,매출액증가율(YoY),영업이익증가율(YoY),순이익증가율(YoY),총자산증가율,유동자산증가율,EBITDA증가율(YoY),EBIT증가율(YoY),부채비율,유동비율,당좌비율,자기자본비율,유동자산구성비율,차입금의존도,EBITDA/이자비용,EBIT/이자비용,이자보상배율,매출채권회전율,재고자산회전율,총자산회전율,자기자본회전율,유형자산회전율,매출원가/재고자산,매출원가율,판관비율,자산총계,유동자산,부채총계,자본총계,이익잉여금,매출액,금융비용,이자비용,Free Cash Flow1,Free Cash Flow2
누리플랜,신규상장,KQ,"5,500",2010-10-26,"7,800","8,650","7,880","9,670",6.8,1.51,7.28,0.51,7.3,9.58,2.13,"2,871,021","2,871,021","22,488,631,840","4,310,000",0.66613,"33,618,000,000",15.87,"1,250",9,209.21,71,442.71,0,0,24.46,6.73,6.42,16.42,7.79,12.66,10.14,-2.62,26.56,43.23,0.79,1.13,89.81,138.99,104.3,52.68,58.62,17.17,11.45,10.37,8.1,6.25084,8.96849,1.21339,2.55721,3.20741,6.7746,75.54,17.74,"48,989,903","28,716,828","23,180,188","25,809,715","13,734,872","53,205,395","643,906","441,873","-3,018,810.82","-1,847,607"
아이텍,신규상장,KQ,"9,100",2010-10-26,"8,000","5,580","6,170","6,040",8.61,2.56,5.93,1.98,4.48,10.84,2.76,"3,144,133","3,144,133","28,535,119,080","4,612,500",0.681655,"36,900,000,000",21.97,"1,960",518,"4,778.42",-436,"-4,037.06",0,0,27.32,15.63,14.37,16.65,8.4,47.64,-14.44,-7.5,104.93,51.34,34.48,-12.05,106.18,81.85,81.85,48.5,12.76,41.04,13.25,4.68,4.53,10.55203,,0.58408,1.15856,0.69255,,72.68,11.69,"50,432,578","6,436,827","25,972,640","24,459,938","9,429,277","21,915,339","756,390","756,390","-17,776,101.43","-17,751,783"
KNN,신규상장,KQ,"9,000",2010-11-03,827,705,575,600,14.56,0.87,7.64,2.15,10.23,16.18,0.97,"15,985,790","15,985,790","13,870,782,240","13,242,972",0.120711,"109,519,378,440",9.08,780,216,"1,888.72",-347,"-3,011.13",0,0,39.58,15.63,15.15,6.21,5.9,9.3,40.41,11.96,14.85,3.73,1.98,22.57,4.99,728.65,728.21,95.25,34.62,0,,,,4.62232,"1,848.46",0.38951,0.40952,0.74003,"1,116.90",60.42,23.95,"137,242,598","47,506,769","6,519,839","130,722,759","52,699,546","50,002,626","371,398",0,"-10,209,299.94","-7,995,533"
KH 일렉트론,신규상장,KQ,"8,800",2010-11-05,"1,795","1,655","1,565","1,669",5.27,1.74,4.22,0.76,5.33,6.78,2.2,"15,869,588","15,869,588","29,375,508,430","9,500,000",0.348581,"81,700,000,000",10.06,900,950,"8,498.56",-801,"-7,169.63",0,0,29.1,19.56,17.25,27.1,22.64,-0.86,-4.61,17.96,71.93,96.27,15.71,19.83,17.23,586.63,549.68,85.3,82.46,0,,,,7.87031,24.49861,1.31268,1.57131,9.7669,17.37008,70.9,9.54,"79,352,481","65,433,663","11,664,698","67,687,783","41,267,778","82,374,786","568,672",0,"16,831,263.56","18,787,138"
아나패스,신규상장,KQ,"52,000",2010-11-05,"20,851","16,748","16,150","17,450",8.47,6.6,11.55,2.63,10.94,12.24,9.4,"2,608,444","2,608,444","52,421,860,300","3,366,190",0.258521,"210,386,875,000",13.86,"8,100",67,"3,848.73",-40,"-2,209.67",0,0,38.51,26.16,23.76,49,42.63,69.59,52.64,29.66,154.41,164.04,52.83,48.58,9.42,"1,433.25","1,063.82",91.39,96.13,0,933.98,862.64,882.65,21.67163,8.03986,1.794,2.06203,57.44687,4.94368,61.49,12.35,"75,079,066","72,170,182","6,461,347","68,617,719","24,148,818","93,817,466","27,804","27,804","-1,471,847.26","5,301,516"
선데이토즈,신규상장,KQ,"4,000",2010-11-10,"14,227","13,755","13,586","12,760",,,,,,530.03,240.89,"322,575","322,575","4,584,111,960","5,232,000",0.207855,"22,079,040,000",1.54,65,465,"1,957.27",-465,"-1,957.27",0,0,100,30.45,28.68,13.56,12.25,497.95,495.3,460.23,"3,942.73","4,648.56",525.41,491.34,10.96,"1,006.16","1,006.16",90.12,96.7,0,,,,3.4094,,0.42725,0.47287,27.64344,,0,69.55,"3,717,569","3,594,942","367,194","3,350,374","275,025","813,809",,,"61,313.49","76,668"
디케이락,신규상장,KQ,"7,500",2010-11-12,"6,460","4,850","5,100","5,060",6.06,2,6.51,0.91,6.12,8.78,2.89,"3,305,623","3,305,623","22,685,339,300","6,200,000",0.533165,"40,052,000,000",16.98,"1,180",910,"6,347.74",-871,"-6,058.05",0,0,31.82,16.08,10.38,16.68,9.9,21.38,-11.81,-15.78,74.1,87.21,-6.71,-10.79,52.91,364.03,238.57,65.4,65.83,18.55,6.67,5.55,5.99,4.75788,3.74889,0.95408,1.60736,3.26269,2.55585,68.18,15.75,"49,325,523","32,468,858","17,068,146","32,257,377","14,693,104","37,045,700","1,121,999","993,421","-4,548,860.60","-3,982,713"
코프라,신규상장,KQ,"7,000",2010-11-12,"3,986","3,096","2,475","3,820",11.16,2.52,18.44,0.72,19.65,22.95,5.17,"9,654,605","9,654,605","43,305,841,400","5,800,000",0.555281,"69,310,000,000",29.39,"4,100",525,"7,143.78",-469,"-6,342",0,0,15.35,7.49,5.99,19.06,13.81,45.33,41.39,35.49,57.17,28.16,39.57,39,22.56,353.82,231.87,81.59,65.11,0,28.91,26.86,27.43,5.58209,9.32994,2.3045,3.17989,8.00005,7.89811,84.65,7.86,"36,219,699","23,581,111","6,667,663","29,552,036","15,870,151","68,288,165","236,705","186,397","-9,537,102.83","-9,254,260"
한국전자인증,신규상장,KQ,"1,600",2010-11-19,"2,070","2,555","1,885","1,880",14,3.01,9.47,2.76,8.45,18.78,3.23,"5,727,044","5,727,044","11,070,417,460","21,400,000",0.267619,"44,298,000,000",15.91,305,"1,530","2,931.16",-832,"-1,557.59",0,0,100,18.31,18.61,19,12.54,38.48,39.64,30.7,26.64,27.4,26.18,27.15,46.75,277.8,277.5,68.14,88.5,0,,,,7.43627,"1,252.92",0.67387,1.02101,19.13645,,0,81.69,"27,480,500","24,319,062","8,754,262","18,726,238","3,083,628","16,570,550",,0,"2,563,936.66","4,442,546"
시그네틱스,신규상장,KQ,"2,600",2010-11-26,"2,460","2,320","4,240","3,725",14.69,2.32,6.91,0.83,4.94,16.9,2.3,"27,632,091","27,632,091","73,273,056,285","77,288,319",0.35752,"190,129,264,740",17.28,455,"5,685","15,205.11","-5,356","-14,382.47",0,0,12.63,10.02,8.22,17.24,9.15,19.61,44.68,74.31,38.42,37.62,28.32,34.51,71.81,82.51,60.91,58.21,21.82,22.79,14.61,7.43,7.54,13.3976,20.0635,1.11374,2.09772,1.45148,17.52882,87.37,2.61,"248,841,059","54,299,313","104,003,326","144,837,733","32,044,048","238,681,201","3,329,244","3,172,973","10,702,372.19","3,979,907"
썬텍,신규상장,KQ,"6,800",2010-11-26,"1,888","2,160","1,074","1,234",5.14,3.18,6.85,0.77,3.64,10.21,4.45,"7,978,945","7,978,945","14,542,583,030","4,200,000",0.37995,"39,648,000,000",13.94,"1,230",519,"4,665.84",-479,"-4,306.90",0.0,0.0,25.12,12.96,10.9,17.84,13.38,-11.77,-38.17,-35.41,45.82,68.69,-25.41,-35.46,15.79,551.4,369.85,86.36,71.66,1.01,37.11,26.36,24.4,4.97299,4.98896,1.22752,1.63663,4.13908,3.73567,74.88,12.16,"22,239,342","15,936,442","3,032,964","19,206,378","9,921,058","23,010,209","122,345","122,242","-583,898.39","198,651"
티비씨,신규상장,KQ,"7,500",2010-11-29,816,640,644,684,14.03,0.92,5.29,2.32,8.77,15.59,1.02,"10,043,010","10,043,010","7,972,402,060","10,000,000",0.10043,"81,600,000,000",14.6,"1,110",304,"2,459.16",-248,"-2,000.38",0,0,38.86,14.73,17.13,6.87,6.48,7.77,23.57,11.71,12.17,10.95,20.97,30.39,5.41,"1,455.93","1,454.49",94.87,73.31,0,111.76,93.13,86.25,3.68649,449.92938,0.37831,0.40134,2.07789,275.07941,61.14,24.13,"95,439,676","69,965,140","4,896,028","90,543,648","38,873,743","34,147,615","58,324","58,324","-1,876,881.01","1,039,489"
에이루트,신규상장,KQ,"5,500",2010-12-01,"2,778","2,004","1,566","1,737",7.75,1.74,7.57,1.06,4.34,11.7,2.63,"5,436,856","5,436,856","14,222,246,680","5,000,000",0.404357,"37,350,000,000",15.43,"1,070",751,"5,166.82",-699,"-4,785.13",0,0,32.1,20.39,18.56,25.7,20.79,22.16,34.15,65.88,50.25,66.83,64.75,80.45,13.1,703.03,651.78,88.42,80.55,5.36,110.45,94.68,94.71,19.34467,16.80121,1.12021,1.38463,9.15066,11.40839,67.9,11.71,"30,596,016","24,644,364","3,542,939","27,053,078","16,921,949","28,542,745","130,105","61,458","5,261,483.09","5,558,517"
디에이치피코리아,신규상장,KQ,"4,000",2010-12-03,"4,010","4,005","3,845","3,560",,,,,,359.39,4.47,"1,418,021","1,418,021","5,734,352,245","7,250,000",0.195589,"29,072,500,000",1.86,75,577,"2,332.21",-577,"-2,332.21",0,0,46.33,6.25,3.62,5.56,1.8,16.16,128.67,377.01,57.57,-13.89,25.13,171.28,256.17,76.52,63.43,28.08,16.75,58.7,4.12,2.13,2.17,4.8795,19.01559,0.49689,1.53801,0.73285,10.20669,53.68,40.08,"26,279,608","4,401,374","18,901,113","7,378,496","1,383,157","10,672,472","307,030","307,030","-9,705,949","-9,748,988"
대정화금,신규상장,KQ,"9,200",2010-12-20,"13,800","11,800","17,400","10,600",10.23,1.79,11.83,1.36,8.46,15.5,2.72,"7,398,542","7,398,542","101,445,662,150","5,537,272",1.336135,"76,414,353,600",22.55,"3,050",576,"7,622.46",-486,"-6,369.99",0,0,23.26,13.69,11.27,12.82,9.77,20.49,2.84,2.45,62.23,136.13,3.78,3.7,26.29,418.84,351.31,79.19,63.3,4.8,66.85,63.95,61.54,5.35263,7.3884,0.8666,1.13739,2.45636,5.67026,76.75,9.57,"63,948,563","40,480,321","13,311,095","50,637,468","21,165,902","44,789,317","104,111","99,615","2,914,078.24","3,168,806"
이브이첨단소재,신규상장,KQ,"2,700",2010-12-27,"1,395","1,623","1,773","1,338",15.13,3.1,13.16,0.51,"4,571.28",18.91,3.87,"48,581,322","48,581,322","65,683,162,190","15,000,000",1.619377,"41,850,000,000",19.25,490,"5,258","14,053.97","-2,162","-5,829.54",0,0,15.21,7.02,7.08,24.96,11.98,3.13,60.44,114.78,10.26,-3.98,48.71,79.44,52.49,160.4,112.24,65.58,44.88,12.36,9.75,8.09,7.43,7.18413,11.02218,1.69311,3.52699,4.59398,9.34572,84.79,8.19,"41,613,119","18,676,224","14,324,248","27,288,872","5,724,211","67,176,983","636,212","634,657","2,597,276.85","1,815,196"
인텍플러스,신규상장,KQ,"7,000",2011-01-05,"16,100","8,300","9,990","6,630",18.02,5.86,15.16,3.67,15.24,18.9,5.45,"5,178,278","5,178,278","81,522,894,250","8,005,000",0.64688,"128,880,500,000",13.95,"2,100",976,"15,549.52",-911,"-14,534.20",0,0,45.4,17.12,16.92,19.09,11.86,-13.72,-34.23,-28.29,-2.13,-6.41,-32.65,-34.52,47.96,340.18,290.39,67.59,66.27,20.57,18.81,16.46,16.91,4.85826,5.0651,0.70096,1.12856,2.6542,2.7654,54.6,28.29,"40,801,625.12","27,037,841.07","13,224,827.76","27,576,797.36","13,999,491.49","28,911,301.13","755,502.13","292,616","1,627,065.50","4,856,484.73"
티에스이,신규상장,KQ,"45,000",2011-01-05,"23,359","14,351","19,431","12,710",23.51,2.38,12.36,2.58,24.97,26.69,2.37,"4,862,936","4,862,936","110,108,557,400","3,248,298",0.457123,"248,494,797,000",13.99,"10,000",422,"30,808.06",-394,"-28,760.93",0,0,28.49,15.75,12.47,13.59,10.35,19.68,61.49,60.02,18.1,-3.62,47.22,70.95,39.2,200.32,164.81,71.84,42.83,16.42,25.68,16.04,15.04,7.43571,10.08745,0.83014,1.09015,2.39525,7.21358,71.51,12.74,"173,210,468.82","74,185,353.03","48,780,879.06","124,429,589.76","99,363,423.14","132,771,090.49","3,773,909.60","1,390,369","7,109,190.21","14,822,973.22"
알서포트,신규상장,KQ,"2,500",2011-01-05,"3,105","2,400","2,475","2,230",,,,,,16.59,2.89,"8,037,345","8,037,345","24,100,742,035","8,620,001",0.932407,"26,765,103,105",13.95,405,"3,915","11,729.13","-3,708","-11,135.03",0,0,100,23.78,26.95,31.85,23.26,39.1,104.33,120.02,60.25,88.69,118.63,154.54,44.07,474.18,473.12,69.41,70.18,16.5,59.51,53.81,44.03,7.10373,475.7638,0.86331,1.18181,22.7426,,0,76.22,"18,788,756","13,185,879","5,747,357","13,041,399","10,831,155","13,171,283","71,127","71,127","2,855,624.59","3,403,333"
씨그널엔터테인먼트그룹,신규상장,KQ,"8,500",2011-01-24,"28,758","18,230","20,300","14,290",10.97,1.98,8.92,0.97,10.61,14.88,2.69,"3,880,145","3,880,145","132,061,207,900","3,400,000",2.271241,"49,130,000,000",30,"5,100",558,"10,424.69",-330,"-6,281.35",0,0,14.71,7.14,5.45,8.32,6.49,-6.92,-35.5,-42.68,42.43,30.48,-46.64,-47.15,25.78,420.07,372.46,79.5,72.56,1.22,136.57,125.37,141.69,3.57028,17.78819,1.1905,1.52516,10.49306,15.17123,85.29,7.57,"34,253,329.52","24,852,978.88","7,020,574.54","27,232,754.98","17,809,552.31","34,704,354.20","444,335","17,487","-2,757,646.77","-1,507,999.23"
다나와,신규상장,KQ,"14,000",2011-01-24,"11,123","5,296","5,422","4,566",16.96,5.2,16.52,5.43,19.7,21.87,6.65,"7,363,109","7,363,109","96,885,529,900","6,600,000",0.565355,"144,870,000,000",28.01,"7,150",687,"17,998.97",-650,"-17,033.62",0,0,100,17.42,20.61,,,,,,,,,,5.53,"2,430","2,430",94.76,80.26,0.18,594.58,526.7,534.52,,,,,,,,82.58,"46,554,681.93","37,365,543.95","2,441,199.74","44,113,482.19","21,704,926.38","21,167,814.31","11,322","6,900",,"3,318,642.51"
블루콤,신규상장,KQ,"12,000",2011-01-26,"8,041","6,463","6,413","6,889",13.15,1.69,12.67,1.87,15.2,16.58,2.13,"3,567,063","3,567,063","31,685,447,550","9,600,000",0.186154,"154,080,000,000",18.9,"3,350",756,"13,734.92",-756,"-13,576.52",0,0,16.5,0.31,2.7,1.3,1.19,-50.17,-98.89,-88.02,34.45,53.06,-72.81,-98.15,9.36,860,736.04,91.45,68.65,0.85,82.86,4.21,2.66,3.76965,3.88255,0.43869,0.48225,1.38423,3.24213,83.51,16.19,"107,757,424.70","73,975,384.20","9,218,048.79","98,539,375.91","61,577,060.71","41,216,047.02","47,819.91","47,820","-8,710,341.55","-8,690,756"
인트론바이오,신규상장,KQ,"6,100",2011-01-26,"4,020","2,308","3,004","3,135",140.67,11.72,67,11.73,58.94,148.36,12.36,"4,851,220","4,851,220","22,427,610,350","9,163,333",0.204661,"95,298,663,200",29.51,"3,600",162,"1,949.88",-128,"-1,536.59",0,0,52.03,3.49,3.79,3.66,1.88,11.04,-66.03,-49.6,45.15,59.67,-31.49,-69.95,104.1,285.56,266.89,49,52.88,42.33,2.21,0.57,0.65,4.56812,16.57719,0.49605,0.96563,2.8414,7.95212,47.97,48.54,"20,418,213.66","10,797,372.61","10,414,322.74","10,003,890.93","1,246,207.67","8,553,229.75","477,421.62","455,793","183,379.44","-1,165,046.54"
엘비세미콘,신규상장,KQ,"4,700",2011-01-31,"4,550","3,980","4,740","3,265",9.13,3.95,10.7,2.12,9.4,11.33,4.85,"20,445,245","20,445,245","97,891,372,350","43,274,592",0.472454,"196,899,393,600",18.03,850,"4,670","22,260.63","-3,446","-16,409.79",0,0,15.67,8.88,-3.24,-4.69,-2.19,17.11,-60.18,-116.3,63.14,71.04,-62.39,-108.81,100.26,103.09,77.67,49.94,26.67,45.02,2.18,-0.36,1.97,5.30269,10.26942,0.67658,1.45056,1.01438,8.66,84.33,6.8,"160,424,576.22","42,788,908.75","80,314,746.18","80,109,830.04","22,473,458.81","87,535,236.11","10,328,117.03","3,950,770.86","-52,970,297.11","-52,517,718.89"
제이엔케이히터,신규상장,KQ,"13,600",2011-01-31,"9,761","10,143","11,115","18,306",4.74,2.14,4.85,0.69,3.71,8.47,2.85,"2,564,918","2,564,918","24,074,830,700","8,000,000",0.222734,"112,400,000,000",13.69,"1,800",880,"11,717.70",-864,"-11,538.97",0,0,15.54,9.87,8.85,15.84,9.63,5.62,-33.1,-30.22,68.41,60.59,-33.74,-34.84,59.77,216.51,202.73,62.59,71.38,12.88,28.02,26.21,25.21,5.63894,27.58089,1.08901,1.79076,5.31018,23.29485,84.46,5.67,"121,844,479.12","86,969,434.46","45,580,767.61","76,263,711.52","45,683,510.81","105,741,184.30","2,483,275.20","414,073","-25,621,352.55","-27,722,315.57"
딜리,신규상장,KQ,"8,000",2011-01-31,"1,748","1,160","1,348","1,146",6.88,1.33,5.42,1.22,7.47,9.23,1.78,"11,330,240","11,330,240","18,593,044,060","5,470,000",0.414268,"47,807,800,000",16.2,"1,310",603,"4,856.44",-505,"-4,053.82",0,0,35.59,11.89,13.76,,,,,,,,,,5.54,"1,378.97","1,240.49",94.75,64.69,0.68,103.09,96.15,89.24,,,,,,12.81917,64.41,23.7,"44,767,008.88","28,959,097.32","2,351,223.19","42,415,785.69","28,417,825.96","28,938,214.44","182,687.54","38,540",,"1,306,234.78"
케이아이엔엑스,신규상장,KQ,"8,000",2011-02-08,"6,950","5,160","6,100","6,100",10.56,1.38,5.26,1.82,8.08,12.42,1.63,"3,322,657","3,322,657","25,249,123,750","4,800,000",0.69222,"33,360,000,000",23.23,"1,790",419,"3,315.99",-244,"-1,923.51",0,0,44.92,22.04,20.17,,,,,,,,,,7.05,"1,002.21","1,002.21",93.41,57.86,0,,,,,,,,,,55.08,22.88,"32,515,058.62","18,812,455.61","2,141,370.32","30,373,688.31","17,756,623.36","20,160,993.69","30,873.10",0,,"2,815,782.17"
티피씨글로벌,신규상장,KQ,"5,200",2011-02-08,"3,967","2,923","5,333","6,560",8.37,1.14,6.57,0.69,7.77,9.84,1.35,"7,184,906","7,184,906","30,357,449,490","5,610,345",0.853769,"33,381,552,750",19.01,"1,250",576,"3,857.19",-494,"-3,298.45",0,0,17.66,7.92,6.91,9.94,7.3,5.58,-7.75,-11.17,34.01,54,-22.91,-18.24,31.88,342.87,270.59,75.83,56.49,10.62,18.41,15.08,16.09,5.9294,8.10009,1.05586,1.43763,2.43468,6.66968,82.34,9.74,"47,284,948.73","26,708,996","11,429,483.18","35,855,465.56","22,591,797.39","43,591,438.76","1,019,992.45","214,451","1,059,286.26","2,449,238.69"
나노신소재,신규상장,KQ,"17,000",2011-02-09,"9,967","11,200","12,967","12,633",11.41,3.07,12.03,2.82,11.72,15.44,4.1,"6,245,796","6,245,796","68,208,545,550","7,116,000",0.585141,"106,384,200,000",17.4,"2,850",916,"15,382.96",-732,"-12,364.07",0,0,43.83,11.48,14,,,,,,,,,,25.54,493.78,212.11,79.66,64.37,15.63,14.99,9.33,8.3,,,,,,1.4021,56.17,32.35,"73,056,413.42","47,025,270.90","14,862,538.61","58,193,874.81","21,087,786.83","33,480,756.07","1,078,611.45","463,365.71",,"-7,793,966.45"
부스타,신규상장,KQ,"4,200",2011-02-23,"4,345","8,980","7,860","5,170",8.35,0.8,5.15,0.45,7.53,11.13,1.06,"3,195,759","3,195,759","13,033,601,015","8,160,000",0.391637,"35,455,200,000",20.98,825,796,"3,193.21",-548,"-2,204.97",0,0,19.61,5.4,4.9,7.72,5.92,6.12,10.09,-4,29.38,27.47,7.75,15.05,26.88,353.63,288.38,78.81,72.26,0,,,,4.73826,8.00415,1.20823,1.57557,5.48209,6.43418,80.39,14.22,"58,296,014.29","42,125,839.80","12,350,612.35","45,945,401.94","34,550,542.03","62,438,421.20","44,488.78",,"-36,044.90","2,020,306.14"
티케이케미칼,신규상장,KQ,"5,000",2011-04-26,"5,570","4,000","4,095","2,480",9.68,3.33,6.22,0.51,5.42,10.89,3.74,"38,993,648","38,993,648","204,329,550,380","90,000,000",0.433263,"501,300,000,000",15.79,815,"13,344","69,063.34","-12,988","-67,265.10",0,0,6.64,3.1,3.79,,,,,,,,,,201.26,83.93,69.8,33.19,48.89,19.86,11.06,7.24,5.34,,,,,,39.46733,93.36,3.54,"666,314,510.12","325,766,701","445,140,129.04","221,174,381.08","47,026,639.49","1,007,351,547.90","23,829,481.17","5,851,449",,"-30,930,685.98"
이퓨쳐,신규상장,KQ,"6,400",2011-04-27,"8,763","6,890","6,496","3,501",11.01,2.86,10.49,2.42,16.13,14.64,3.8,"6,402,272","6,402,272","65,031,931,400","3,635,000",1.415997,"39,621,500,000",29.69,"3,800",487,"6,603.85",-423,"-5,740.73",0,0,69.15,-5.45,-1.4,-0.81,-0.66,-37.37,-112.82,-104,35.25,17.54,-105.51,-108.04,15.77,"1,241.53","1,013.52",86.38,77.94,0,-6.66,-9.56,-15.04,1.77449,3.06467,0.46877,0.5768,6.01438,0.94557,30.85,74.6,"18,959,012.66","14,775,704.95","2,582,503.34","16,376,509.32","8,040,488","7,729,145.36","28,030.91","28,031","-2,497,605.28","-1,992,328.69"
골프존뉴딘홀딩스,신규상장,KQ,"85,000",2011-05-20,"29,378","25,977","23,022","19,964",13.37,5.66,13.95,4.87,13.43,15.65,6.56,"4,542,110","4,542,110","139,469,170,000","12,283,023",0.127062,"1,050,198,466,500",12.29,"11,000",301,"26,944.30",-229,"-20,560.37",0,0,53.49,24.99,21.54,,,,,,,,,,8.34,"1,016.66",994.82,92.31,73.08,0.19,946.97,872.22,"1,091.10",,,,,,33.82137,46.51,28.5,"378,054,302.46","276,277,197.33","29,085,544.97","348,968,757.48","194,871,675.02","215,793,737.08","14,310,797.71","49,427",,"4,996,962.96"
KMH,신규상장,KQ,"9,500",2011-05-25,"2,423","2,090","2,573","2,800",9.19,3.03,6.74,2.42,6.76,12.25,4.04,"4,622,226","4,622,226","11,675,271,840","12,375,360",0.124501,"89,968,867,200",16.18,"1,280",647,"4,903.94",-625,"-4,735.44",0,0,45.52,30.27,24.88,,,,,,,,,,14.26,574.48,566.87,87.52,68.26,1.4,220.09,170.59,174.28,,,,,,73.57443,54.48,15.25,"71,245,572.20","48,631,980.99","8,890,538.54","62,355,033.66","27,289,756.82","43,493,497.64","75,547.94","75,548",,"6,974,280.02"
엘아이에스,신규상장,KQ,"34,000",2011-06-02,"15,100","12,750","13,600","19,400",9.43,5.69,10.34,1.53,7.31,13.33,8.04,"2,967,120","2,967,120","46,048,525,300","3,600,000",0.4121,"108,720,000,000",25.04,"7,600",231,"6,899.85",-249,"-7,448.98",0,0,20.83,10.4,8.77,22.22,12.25,25.71,-30.63,-31.95,42.03,37.08,-14.81,-19.28,45.93,272.39,203.49,68.53,68.87,8.27,31.11,26.68,23.37,3.89902,8.42664,1.3971,2.53315,5.75231,6.67156,79.17,10.43,"53,140,768.10","36,596,424.40","16,724,538.16","36,416,229.94","15,663,552","63,258,362.96","730,916.78","281,547","-19,583,439.11","-18,050,469.49"
완리,신규상장,KQ,"4,100",2011-06-13,"1,692","1,537","2,452","2,444",3.55,,3.42,0.78,3.07,5.17,,"15,186,183","15,186,183","27,437,071,255","48,696,351",0.161141,"159,480,549,525",22.01,810,"2,158","7,660.52","-2,082","-7,419.79",0,0,35.06,27.66,19.54,26.19,18.88,26.27,5.03,12.87,138.25,157.21,14.77,11.72,43.95,134.57,120.75,69.47,32.15,25.62,39.15,36.65,36.92,14.79631,25.69285,0.96613,1.34015,1.98735,16.68609,64.94,7.4,"259,620,555","83,458,673","79,267,446","180,353,108","95,551,692","178,051,968","1,334,062","1,334,062","-106,822,563.64","-75,396,854"
스카이이앤엠,신규상장,KQ,"14,000",2011-06-14,"130,366","121,321","94,188","105,415",50.72,11.94,10.87,6.21,50.21,17.36,4.03,"210,810","210,810","25,827,578,400","4,270,000",0.307951,"89,243,000,000",13.81,"2,700",428,"8,351.02",-364,"-7,119.66",0,0,19.33,10.85,7.99,13.63,8.72,33.49,-5.39,-12.85,65.93,70.87,-2.12,-8.26,46.9,198.33,130.22,68.08,38.08,25.88,8.45,5.78,5.89,19.61323,8.51709,1.09155,1.70507,1.85263,6.87101,80.67,8.48,"64,111,407.67","24,414,331.19","20,467,585.96","43,643,821.71","14,667,400.92","56,077,406.86","1,072,809.19","1,032,024","-12,147,092.70","-11,757,831.27"
넥스트아이,신규상장,KQ,"10,000",2011-06-14,"1,061",902,707,792,5.31,3.11,5.18,2.15,4.76,6.4,3.75,"31,233,052","31,233,052","35,882,950,900","5,810,945",0.73694,"44,976,714,300",26.33,"2,320",564,"4,900.62",-538,"-4,672.10",0,0,42.32,28.19,24.97,24.6,20.71,2.28,-24.3,-36.86,61.53,30.08,-25,-25.64,9.96,830.66,746.86,90.94,70.16,0,"18,321.20","17,758.27","17,509.65",11.78507,7.06298,0.82919,0.9851,4.76236,4.07421,57.68,14.13,"26,466,731.96","18,568,096.52","2,398,025.03","24,068,706.94","14,974,555.97","17,766,392.69","9,856.92",286,"-1,493,022.08","309,938.32"
유니드코리아,신규상장,KQ,"5,800",2011-06-17,"4,930","3,630","7,320","6,530",10.03,2.83,10.66,1.09,-18.52,13.4,3.78,"5,515,688","5,515,688","28,650,555,350","6,800,000",0.811131,"33,524,000,000",17.91,970,744,"3,884.05",-281,"-1,477.52",0,0,19.27,6.15,5.39,,,,,,,,,,57.97,168.85,162.74,63.3,58.65,28.2,3.49,2.87,2.22,,,,,,41.36535,80.73,13.12,"31,313,971.79","18,367,033.43","11,491,550.43","19,822,421.37","6,872,541.74","17,011,290.45","470,284.85","470,285",,"-1,935,552.52"
서연탑메탈,신규상장,KQ,"6,500",2011-06-24,"8,750","7,140","5,200","5,430",10.71,2.29,9.16,1.01,34.84,12.48,2.67,"19,019,752","19,019,752","159,992,617,490","11,650,000",1.632597,"101,937,500,000",26.73,"2,200","2,030","16,099.22","-1,696","-13,400.32",0,0,12.99,10.72,8.47,,,,,,,,,,41.86,252,244.48,70.49,69.33,4.24,49.6,45.55,45.45,,,,,,120.3289,87.01,2.27,"81,427,358.80","56,453,153.07","24,026,235.83","57,401,123","41,628,799.15","116,465,759.89","333,583.22","274,606",,"325,847.54"
대양전기공업,신규상장,KQ,"9,000",2011-07-08,"9,550","8,740","11,350","9,030",6.38,1.03,5.28,0.73,7.48,9.11,1.47,"8,298,391","8,298,391","87,520,390,410","9,495,300",0.873947,"90,680,115,000",21.91,"2,350","1,705","18,159.21","-1,558","-16,529.22",0,0,18.74,10.63,11.07,13,9.79,5.75,-20.14,2.85,47.71,93.44,-14.46,-14.98,30.43,299.5,260.97,76.67,67.16,0,288.22,261.66,238.02,6.4013,12.18505,0.88461,1.17454,2.66148,9.90131,81.26,8.11,"124,623,276.13","83,692,794.07","29,073,002.41","95,550,273.72","58,249,487.91","92,439,335.68","523,074.42","41,277","1,345,724.52","2,997,434.82"
