종목명,상장유형,공모가(원),상장일,상장주식수,IPO시가총액,매출총이익률,영업이익률,ROE(지배),매출액증가율(YoY),영업이익증가율(YoY),매출액증가율(YoY)-before,영업이익증가율(YoY)-before,유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액,세전계속사업이익,당기순이익(지배),자본총계(지배),EBITDA2,순부채,IPO_PER,IPO_PBR,IPO_EV/EBIDTA,IPO_PSR,1개월 시가총액회전율,3개월 시가총액회전율,1개월 평균 거래량회전율,3개월 평균 거래량회전율,1개월 평균 일중변동률,3개월 평균 일중변동률,1개월 평균 개인 매도수량 비중(일간),3개월 평균 개인 매도수량 비중(일간),1개월 평균 개인 매수수량 비중(일간),3개월 평균 개인 매수수량 비중(일간),1개월 평균 기관 매수수량 비중(일간),3개월 평균 기관 매수수량 비중(일간),1개월 평균 기관 매도수량 비중(일간),3개월 평균 기관 매도수량 비중(일간),시장수익률,1개월 시장 회전율,3개월 시장 회전율,M2 증감률 ,MMF 증감률 ,고객예탁금 증감률 ,국고1년시장금리%p,국고3년시장금리%p,국고5년시장금리%p
메디톡스,신규상장,14000,2009-01-16,5059000,70826000000,65.7,30.26,12.17,44.7,4.72,878.15,235.17,743.39,586.98,28.14,81.53,6.09,6.99,5145716.0,1598909.0,1500498.0,13813309.0,2195776.0,-552921.0,47.20166238,5.127373897,32.25531524,13.76407093,329.2749169986705,941.5617727434425,0.16149999999999995,0.15126984126984122,10.4955,9.154761904761905,93.713,90.71428571428572,95.2935,92.27587301587302,4.049,5.8179365079365075,4.8805000000000005,7.3455555555555545,-0.481316016,54.28076295532799,205.52020339172782,0.123387021,0.7412898179999999,0.118873605,-1.68,-1.5,-1.18
유비쿼스홀딩스,신규상장,6100,2009-01-23,10290000,62769000000,48.35,26.28,40.4,28.89,21.69,24.73,45.45,472.9,435.93,25.03,,7.45,16.23,68201559.0,19589500.0,18463729.0,54938168.0,18749605.0,-49497675.0,3.399584125,1.142539009,3.345110594,0.9203455309999999,97.85102849404592,156.5716460025152,0.04750000000000001,0.02380952380952382,8.1795,6.295079365079365,94.23450000000003,94.12158730158728,94.28349999999999,94.17968253968252,4.0265,4.5488888888888885,4.4655000000000005,4.347936507936507,-0.453595277,60.95322838426442,212.1971772497063,0.123387021,0.651312335,0.095396478,-1.49,-1.18,-0.92
대성파인텍,신규상장,3500,2009-01-23,2894000,10129000000,18.69,13.18,18.51,13.9,22.29,13.51,7.08,227.45,200.78,87.45,6.64,3.65,11.09,15898770.0,2332162.0,1941499.0,11538961.0,3363991.0,2483634.0,5.2171028669999995,0.8778086690000001,3.0117451660000003,0.63709331,413.4290744713697,612.080166384394,0.18299999999999997,0.08174603174603165,9.505999999999998,8.142698412698413,97.05900000000001,98.20841269841269,98.85549999999999,98.87349206349205,0.1325,0.06936507936507937,1.9054999999999995,0.6707936507936506,-0.453595277,60.95322838426442,212.1971772497063,0.123387021,0.651312335,0.095396478,-1.49,-1.18,-0.92
이수앱지스,신규상장,5500,2009-02-03,7443330,40938315000,53.43,-170.86,-37.02,25.54,7.53,44.54,-1.05,1012.28,859.09,45.09,-41.92,5.97,2.09,2152135.0,-3728076.0,-3728076.0,13230273.0,-3225861.0,-5917842.0,-10.98108381,3.094291025,-12.68882855,19.02218727,212.64796125186197,417.5175349295377,0.09523809523809526,0.06317460317460313,9.543333333333335,9.523968253968258,94.7290476190476,95.15730158730153,94.06190476190476,95.84412698412697,4.954761904761905,2.4647619047619056,4.3323809523809516,3.0185714285714282,-0.44535318399999996,66.10148018312957,220.11470446276218,0.11651865,0.616582277,-0.017256364,-1.82,-1.63,-1.33
중국식품포장,신규상장,1500,2009-03-27,20000000,30000000000,15.99,11.28,40.84,3.39,15.68,1509.29,2356.57,179.05,119.33,65.06,,8.45,10.1,38250592.0,4544146.0,4262983.0,11482277.0,4772272.0,-1562943.0,7.037325741,2.612722198,6.285986435,0.7843015870000001,871.6207446048662,1232.7298910696156,0.38227272727272726,0.18249999999999988,13.135454545454543,10.16078125,92.57136363636363,95.20203124999999,98.23545454545454,97.37140625000002,1.1799999999999997,0.7681250000000003,6.744999999999999,3.0999999999999996,-0.423119074,88.26631553468721,228.16646800464233,0.100151188,0.90950065,0.062503223,-2.59,-1.35,-0.64
엔시트론,신규상장,4500,2009-03-31,2500000,11250000000,25.71,12.77,49.25,378.89,10138.19,,,189.23,130.56,75.86,32.72,26.42,10.42,22440075.0,1682215.0,2608256.0,6661795.0,3386693.0,145310.0,4.313226923,1.6887340419999999,3.3218674710000005,0.501335223,875.416180671229,1434.2780334439922,0.3669565217391305,0.21015625000000002,10.277826086956523,9.140468750000002,93.86565217391303,95.03343749999999,98.94565217391306,97.78859375,0.3634782608695652,0.27749999999999997,2.198260869565217,1.3357812499999995,-0.43640313399999997,93.70188432743082,226.6117906963044,0.101129375,1.080443252,0.077371179,-2.57,-1.28,-0.56
코오롱생명과학,신규상장,23500,2009-04-07,3420000,80370000000,26.5,11.63,37.02,22.29,96.49,18.05,10.53,152.12,79.02,126.72,10.08,15.89,5.32,70247079.0,9572144.0,7588482.0,24283675.0,9537478.0,2192693.0,10.59105102,3.3096308530000003,8.426985907,1.1441045109999999,376.3208410503744,599.1465068742948,0.16238095238095238,0.08343749999999991,8.568571428571428,6.60609375,83.66571428571429,89.01234375,95.16000000000001,93.261875,2.1742857142857135,4.997812500000001,11.879523809523805,7.095781249999999,-0.44170616100000004,86.09504452050274,221.9848566550602,0.101129375,1.063432842,-0.002811353,-2.72,-1.48,-0.56
뷰웍스,신규상장,9000,2009-04-10,6047910,54431190000,58.88,29.52,36.4,27.25,22.89,66.15,68.34,659.02,429.13,11.61,,7.0,5.03,21282881.0,6992919.0,6176766.0,20121709.0,7073321.0,-5824819.0,8.81224738,2.705097763,7.694457127000001,2.557510424,240.94628777071958,442.6399952683075,0.12052631578947366,0.05906249999999991,10.446315789473687,7.62453125,82.41789473684211,92.89765625,98.39263157894737,98.23812499999998,0.5831578947368421,0.2971875,12.124736842105264,3.8718749999999997,-0.420971992,76.7838384631359,218.0994724517188,0.101129375,1.038385955,-0.051091301,-2.64,-1.29,-0.43
에스앤에스텍,신규상장,4000,2009-04-14,10915980,43663920000,27.47,14.77,13.73,34.75,53.92,38.61,1003.14,177.25,141.0,93.14,4.22,4.92,10.43,38000101.0,3955464.0,3855592.0,29965769.0,9969259.0,14809774.0,11.32482898,1.45712663,4.38134166,1.1490474720000001,332.7098773178731,544.3542877741422,0.1371428571428571,0.07499999999999989,10.875238095238092,8.1065625,85.36095238095238,89.10421875000002,98.83285714285714,98.61546875,0.020476190476190474,0.16046875000000002,9.357142857142858,4.0121875,-0.39274292899999996,82.93767056505314,214.15427181570647,0.101129375,1.044045085,0.049892352,-2.61,-1.23,-0.56
에이테크솔루션,신규상장,5400,2009-04-17,10000000,54000000000,14.21,7.06,48.9,14.41,86.87,11.06,75.91,85.09,27.04,272.37,10.46,10.91,5.07,116624209.0,8747932.0,7907058.0,20900621.0,11484190.0,14148362.0,6.829341583,2.583655289,4.703348548,0.46302564799999996,183.6820604216994,323.87832211420294,0.09263157894736844,0.046406249999999934,10.37578947368421,7.511562500000002,90.27105263157895,94.1703125,97.54789473684212,96.88953125,1.0957894736842102,1.5637500000000004,6.204210526315788,3.716718749999999,-0.384881546,71.94376737178953,206.115736724885,0.101129375,0.969490227,0.102989808,-2.57,-1.33,-0.63
