종목명,매출총이익률,영업이익률,ROE,유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액증가율,영업이익증가율,IPO_PER,IPO_PBR,IPO_EV/EBITDA,시장수익률,광의통화 증감률,고객예탁금 증감률,3개월 시장 회전율,공모가 대비 1개월 수익률,공모가 대비 3개월 수익률,공모가 대비 6개월 수익률
토박스코리아,0.451051293,0.107855279,0.592029628,1.61791588,1.086797067,4.428538616,12.81456992,4.971232165,5.494802767,,,24.27367799,14.37073655,14.91037926,0.237328595,0.079947863,0.350376367,195.6470064,0.3675,0.25,0.0475
우정바이오,0.409961401,0.086350843,0.156702545,2.398329114,2.192679976,1.222718805,14.60450267,5.644517824,19.69097409,,,12.49308621,1.957698409,7.821014644,0.267777399,0.079947863,0.386170443,192.9161885,0.0125,0.105,0.0125
제노포커스,0.412206203,0.226342547,0.225802021,2.399467464,2.309584929,0.753498648,9.065296551,2.56052426,19.59569871,1.558029351,4.713495693,34.05884098,7.690555123,50.07916656,0.265788468,0.079947863,0.435509991,188.3033572,2.381818182,1.45,1.1
디딤,0.315144902,0.030871564,0.102234013,0.50068287,0.37856044,4.624076956,1.443126539,37.84261305,23.73819927,,,19.64273944,2.008156079,4.628035592,0.279832532,0.083597942,0.439808023,180.3224352,0.0675,0.08,0.0025
픽셀플러스,0.291841473,0.175836284,0.197433879,9.671733105,8.494928414,0.104392337,inf,68.70190829,10.03890245,-0.170488385,-0.530529348,12.27550754,2.423601068,10.68223426,0.280896781,0.083597942,0.365435891,179.3429819,0.0,-0.146666667,-0.463333333
러셀,0.224926591,0.055885274,0.06372285,3.949987562,2.35712049,0.257907406,19.76351829,6.987783696,3.757056737,-0.314774483,-0.130649356,14.37499054,0.916015372,11.66306317,0.315995672,0.083597942,0.37632641,177.5659441,0.065,0.0525,0.0
싸이맥스,0.180466079,0.106661422,0.227944373,2.893838568,2.443011722,0.493547761,inf,2.624181413,10.01865239,0.102203608,0.160739553,14.5639443,3.319769153,13.23822021,0.31139617,0.083597942,0.421234616,177.2877455,-0.300613497,-0.401840491,-0.394478528
넵튠,1.0,-0.609475142,0.824653967,1.23392856,1.23392856,-1.669907242,-6.817726169,3.717722052,,,,-2.765467173,-2.280553475,-11.23007178,0.309468392,0.083597942,0.432869179,177.5217599,0.0975,0.075,0.0
미래생명자원,0.176227805,0.067470931,0.087558396,3.023440916,2.257847089,0.376290647,inf,3.682009812,5.896205907,-0.057177633,-0.082615061,5.506753964,0.482162547,4.092364694,0.309468392,0.083597942,0.432869179,177.5217599,0.09,0.055,0.0
베셀,0.268326449,0.131679269,0.451887845,1.218254103,1.215036095,2.740491432,4.314368824,1.990029927,577.4295418,0.115654657,1.022103062,6.118467046,2.764860889,4.569462838,0.316697405,0.083597942,0.429994822,177.668874,-0.064444444,-0.097777778,0.0
에스엘바이오닉스,0.241896563,0.178867627,0.336727442,0.933980653,0.72454556,1.049101699,28.91286988,9.026973323,12.71372507,1.196570092,396.4398541,9.417905785,3.171267325,5.000180226,0.353298183,0.083597942,0.444943519,177.229315,0.159292035,-0.197345133,-0.207079646
이큐셀,0.304424692,0.11946346,0.262017851,1.05717166,1.024661185,1.327436973,4.97339781,4.816024227,81.76446025,0.736006658,4.930546742,10.87883179,2.85044813,7.472663845,0.336993434,0.083597942,0.434723683,176.6254535,0.276923077,0.335384615,1.4
코아스템,0.274679714,-0.138864574,-0.589806818,1.270336907,1.25622624,1.762434348,-1.851118838,2.901084692,75.57833085,2.553950998,-0.250309155,-36.97403941,21.80754052,-288.608903,0.336993434,0.083597942,0.434723683,176.6254535,1.26875,0.375,0.1875
켐온,0.27467996,0.157888347,0.14933184,1.796165995,1.744567117,0.469772449,168.489814,3.072075405,77.11976863,0.289262079,1.684360351,9.005647828,1.344829965,5.049981222,0.336993434,0.083597942,0.434723683,176.6254535,0.0825,0.05,-0.01
