종목명,상장유형,시장구분,공모가(원),상장일,수정주가,1달 후 수정고가,3달 후 수정주가,6달 후 수정주가,P/E(FY0),P/B(FY0),EV/EBITDA(FY0),P/S(FY0),P/C(FY0),Market to Earnings(FY0),Market to Book(FY0),수정거래량,일평균수정거래량,일평균거래대금,상장주식수,거래량회전율,시가총액,일중변동률,일중실질변동범위,개인 순매수수량(일간),개인 순매수대금(일간),기관&외국인총합계 순매수수량(일간),기관&외국인총합계 순매수대금(일간),총합계 순매수수량(일간),총합계 순매수대금(일간)
차이나그레이트,신규상장,KQ,"1,700",2009-05-29,"3,135","2,581","1,890","1,872",15.38,3.89,14.5,1.69,26.06,21.99,5.56,"89,821,399","89,821,399","295,807,831,560","100,000,000",0.816272,"345,000,000,000",16.32,"3,910","13,492","50,304.04","-13,265","-49,461.80",0,0
위메이드맥스,신규상장,KQ,"55,000",2009-06-03,"41,412","30,738","27,372","18,691",14.94,8.44,13.81,7.77,12.78,18.57,10.42,"1,383,793","1,383,793","65,098,911,900","3,400,000",0.180264,"317,900,000,000",30,"126,500",177,"19,438.30",-145,"-15,564.47",0,0
어보브반도체,신규상장,KQ,"3,300",2009-06-05,"5,980","3,655","3,130","3,450",17.69,4.06,14.77,1.77,46.38,17.38,3.99,"6,478,298","6,478,298","36,864,387,940","10,546,833",0.614241,"63,070,061,340",16.47,"5,980",475,"2,508.17",-458,"-2,417.77",0,0
동일금속,신규상장,KQ,"8,000",2009-07-28,"8,865","8,017","6,059","6,213",2.36,1.85,4.27,0.36,2.17,6.15,2.63,"9,190,706","9,190,706","78,404,579,450","7,000,000",1.012072,"80,500,000,000",13.95,"11,500","1,069","11,350.22",-970,"-10,230.92",0,0
게임빌,신규상장,KQ,"15,000",2009-07-30,"16,850","14,600","18,850","28,450",14.57,5.4,11.38,5,11.59,17.5,6.39,"2,609,970","2,609,970","45,712,002,500","5,484,780",0.475857,"92,418,543,000",19.06,"20,400",773,"13,844.06",-750,"-13,408.55",0,0
에스앤더블류,신규상장,KQ,"6,700",2009-08-05,"8,500","6,380","4,560","4,910",22.45,1.88,11.74,0.82,35.8,25.26,2.12,"6,517,736","6,517,736","66,339,763,630","7,200,000",0.905241,"61,200,000,000",30,"11,500",922,"9,655.65",-880,"-9,226.58",0,0
동국S&C,신규상장,KQ,"11,000",2009-08-31,"9,910","10,700","9,630","10,100",59.06,7.88,47.73,0.97,47.97,106.2,11.26,"14,091,713","14,091,713","137,239,905,010","57,143,000",0.246604,"566,287,130,000",21.52,"10,450","4,634","44,747.37","-4,330","-41,759.27",0,0
제넥신,신규상장,KQ,"27,000",2009-09-15,"13,550","9,350","8,350","7,250",-152.52,11.66,"24,009.63",60.24,82.31,-206.38,15.35,"3,151,216","3,151,216","45,553,125,800","4,022,870",0.391663,"109,019,777,000",20.26,"31,800",391,"11,468.20",-303,"-8,990.16",0,0
톱텍,신규상장,KQ,"10,400",2009-09-15,"3,444","3,534","4,016","3,848",11.04,4.34,14.16,0.83,3.68,18.61,6.53,"30,939,093","30,939,093","97,697,589,250","5,600,000",1.239502,"85,960,000,000",21.26,"15,350",815,"11,412.99",-683,"-9,577.39",0,0
디에스케이,신규상장,KQ,"5,000",2009-09-23,"5,750","2,870","3,460","3,145",18.46,4.8,21.26,2.94,20.21,24.62,6.4,"4,659,780","4,659,780","25,722,824,100","6,000,000",0.388315,"69,000,000,000",13.95,"11,500",836,"9,329.07",-575,"-6,336.71",0,0
모린스,신규상장,KQ,"39,000",2009-09-25,"15,767","12,342","10,956","10,679",11.14,5.26,17.38,2.53,12.69,21.55,8.7,"3,610,325","3,610,325","60,967,786,000","7,093,439",0.256387,"222,024,640,700",20.2,"37,600",304,"10,520.37",-76,"-2,572.65",0,0
케이엔더블유,신규상장,KQ,"11,000",2009-09-29,"11,132","12,237","15,470","15,716",14.32,3.92,10.16,1.63,12.45,18.98,5.2,"2,580,810","2,580,810","34,144,408,700","4,400,000",0.480115,"59,840,000,000",29.73,"18,350",306,"5,052.28",-197,"-3,238.29",0,0
아이앤씨,신규상장,KQ,"16,000",2009-10-06,"13,650","11,300","14,500","10,600",17.75,9.54,17.28,5.07,28.76,22.07,11.73,"5,795,835","5,795,835","85,124,845,650","11,581,182",0.500453,"158,083,134,300",18.97,"16,450",711,"10,203.98",-403,"-5,578.54",0,0
NHN벅스,신규상장,KQ,"9,000",2009-10-06,"9,310","6,220","14,950","12,300",23.5,6.47,19.6,3.8,36.83,23.05,6.34,"12,506,920","12,506,920","107,709,384,030","10,140,936",1.23331,"94,412,114,160",29.88,"9,310","1,992","17,362.98","-1,204","-10,143.48",0,0
한스바이오메드,신규상장,KQ,"5,500",2009-10-09,"6,310","4,565","4,400","3,930",20.99,2.55,14.75,3.07,16.35,23.32,2.83,"5,714,509","5,714,509","38,351,291,580","7,766,243",0.735814,"49,004,993,330",20.43,"7,500",959,"6,454.89",-768,"-5,119.73",0,0
스틸플라워,신규상장,KQ,"13,500",2009-10-27,"6,484","6,607","6,903","7,224",7.72,1.98,7.91,0.78,71.33,11.33,2.79,"4,407,284","4,407,284","31,523,772,400","13,000,000",0.167164,"170,950,000,000",18.18,"2,600",453,"6,589.88",-450,"-6,532.96",0,0
비츠로셀,신규상장,KQ,"5,500",2009-10-28,"3,818","3,663","4,325","3,644",9.57,3.69,7.31,1.56,5.44,10.57,4.07,"8,774,725","8,774,725","37,117,410,080","12,676,375",0.524361,"63,888,930,000",17.68,970,"1,362","7,726.81","-1,003","-5,668.90",0,0
상상인인더스트리,신규상장,KQ,"6,300",2009-11-06,"4,760","3,868","3,976","3,931",3.99,0.8,7.14,0.23,5.01,8.41,1.42,"2,120,333","2,120,333","10,790,559,930","4,334,000",0.479649,"21,041,570,000",19.94,"1,070",291,"1,564.02",-291,"-1,564.02",0,0
진매트릭스,신규상장,KQ,"8,000",2009-11-06,"3,035","2,556","2,580","2,260",34.3,5.61,50.57,14.15,50.03,43.72,7.12,"10,765,189","10,765,189","29,457,608,910","3,761,000",0.965351,"33,849,000,000",18.18,"1,500",543,"4,401.05",-441,"-3,576.39",0,0
