종목명,상장유형,시장구분,공모가(원),상장일,수정주가,1달 후 수정고가,3달 후 수정주가,6달 후 수정주가,P/E(FY0),P/B(FY0),EV/EBITDA(FY0),P/S(FY0),P/C(FY0),Market to Earnings(FY0),Market to Book(FY0),수정거래량,일평균수정거래량,일평균거래대금,상장주식수,거래량회전율,시가총액,일중변동률,일중실질변동범위,개인 순매수수량(일간),개인 순매수대금(일간),기관&외국인총합계 순매수수량(일간),기관&외국인총합계 순매수대금(일간),총합계 순매수수량(일간),총합계 순매수대금(일간)
씨젠,신규상장,KQ,"30,500",2010-09-10,"4,258","6,829","8,893","7,908",35.79,25.71,36.54,12.79,54.83,41.36,29.25,"7,774,467","7,774,467","30,173,016,200","6,158,820",0.170356,"194,310,771,000",29.04,"8,000",166,"4,594.89",-145,"-4,029.97",0,0
와이솔,신규상장,KQ,"8,000",2010-09-10,"4,862","4,774","4,780","8,338",10.55,3.79,10.19,1.93,29.37,13.56,4.87,"3,970,909","3,970,909","18,384,258,240","10,200,000",0.2286,"84,456,000,000",28.57,"2,070",555,"4,287.14",-557,"-4,279.42",0,0
하이비젼시스템,신규상장,KQ,"2,000",2010-09-10,"4,995","5,058","5,321","4,720",,,,,,17.47,5.4,"83,060","83,060","416,638,300","10,210,000",0.020368,"20,368,950,000",0.75,15,154,308.5,-129,-258.48,0,0
다원시스,신규상장,KQ,"11,000",2010-09-14,"5,412","5,871","4,994","5,976",19.78,5.23,17.96,2.31,15.56,24.97,6.6,"11,603,531","11,603,531","59,026,660,000","6,400,000",0.757633,"82,880,000,000",19.96,"2,350","1,027","12,291.92",-627,"-7,438.12",0,0
알파홀딩스,신규상장,KQ,"12,000",2010-09-17,"8,275","6,625","6,150","8,550",14.99,4.4,13.8,1.69,9.16,17.62,5.18,"5,154,582","5,154,582","44,259,730,600","4,016,448",0.641684,"66,472,214,400",16.08,"2,650",252,"4,112.44",-216,"-3,521.57",0,0
포메탈,신규상장,KQ,"6,000",2010-09-17,"3,280","3,030","2,685","3,035",10.74,1.82,11.18,0.64,10.69,15.91,2.6,"4,933,658","4,933,658","15,602,808,510","5,987,340",0.412008,"39,276,950,400",13.85,850,864,"5,367.24",-836,"-5,194.41",0,0
한일진공,신규상장,KQ,"2,000",2010-10-05,"1,738","1,966","1,751","1,712",,,,,,328.88,4.96,"967,211","967,211","1,696,483,435","10,540,000",0.080344,"20,921,900,000",5.88,120,383,771.22,-422,-847.39,0,0
아이씨케이,신규상장,KQ,"2,800",2010-10-19,"1,896","1,168","1,138","1,104",18.79,3.95,14.12,1.45,16.39,21.38,4.5,"29,721,203","29,721,203","57,139,302,540","10,937,077",1.086989,"51,841,744,980",18.77,875,866,"4,031.80",-764,"-3,564.21",0,0
지나인제약,신규상장,KQ,"5,800",2010-10-22,"4,181","3,603","2,861","2,568",5.05,1.25,5.61,0.36,2.61,5.78,1.43,"15,242,422","15,242,422","72,292,949,730","4,650,271",2.338348,"27,250,588,060",21.15,"1,360","1,083","7,081.10",-802,"-5,256.57",0,0
인화정공,신규상장,KQ,"26,000",2010-10-22,"13,048","12,337","12,565","11,575",7.93,1.28,6.89,1.36,12.46,10.72,1.64,"4,183,727","4,183,727","57,764,145,500","4,344,504",0.488904,"111,653,752,800",18.69,"5,300",805,"22,221.45",-767,"-21,173.25",0,0
누리플랜,신규상장,KQ,"5,500",2010-10-26,"7,800","8,650","7,630","9,670",6.8,1.51,7.28,0.51,7.3,9.58,2.13,"2,871,021","2,871,021","22,488,631,840","4,310,000",0.66613,"33,618,000,000",15.87,"1,250",9,209.21,71,442.71,0,0
아이텍,신규상장,KQ,"9,100",2010-10-26,"8,000","5,580","6,160","5,630",8.61,2.56,5.93,1.98,4.48,10.84,2.76,"3,144,133","3,144,133","28,535,119,080","4,612,500",0.681655,"36,900,000,000",21.97,"1,960",518,"4,778.42",-436,"-4,037.06",0,0
KNN,신규상장,KQ,"9,000",2010-11-03,827,705,555,599,14.56,0.87,7.64,2.15,10.23,16.18,0.97,"15,985,790","15,985,790","13,870,782,240","13,242,972",0.120711,"109,519,378,440",9.08,780,216,"1,888.72",-347,"-3,011.13",0,0
KH 일렉트론,신규상장,KQ,"8,800",2010-11-05,"1,795","1,655","1,532","1,628",5.27,1.74,4.22,0.76,5.33,6.78,2.2,"15,869,588","15,869,588","29,375,508,430","9,500,000",0.348581,"81,700,000,000",10.06,900,950,"8,498.56",-801,"-7,169.63",0,0
아나패스,신규상장,KQ,"52,000",2010-11-05,"20,851","16,748","16,000","16,700",8.47,6.6,11.55,2.63,10.94,12.24,9.4,"2,608,444","2,608,444","52,421,860,300","3,366,190",0.258521,"210,386,875,000",13.86,"8,100",67,"3,848.73",-40,"-2,209.67",0,0
선데이토즈,신규상장,KQ,"4,000",2010-11-10,"14,227","13,755","13,367","12,760",,,,,,530.03,240.89,"322,575","322,575","4,584,111,960","5,232,000",0.207855,"22,079,040,000",1.54,65,465,"1,957.27",-465,"-1,957.27",0,0
디케이락,신규상장,KQ,"7,500",2010-11-12,"6,460","4,850","5,030","4,970",6.06,2,6.51,0.91,6.12,8.78,2.89,"3,305,623","3,305,623","22,685,339,300","6,200,000",0.533165,"40,052,000,000",16.98,"1,180",910,"6,347.74",-871,"-6,058.05",0,0
코프라,신규상장,KQ,"7,000",2010-11-12,"3,986","3,096","2,378","3,653",11.16,2.52,18.44,0.72,19.65,22.95,5.17,"9,654,605","9,654,605","43,305,841,400","5,800,000",0.555281,"69,310,000,000",29.39,"4,100",525,"7,143.78",-469,"-6,342",0,0
한국전자인증,신규상장,KQ,"1,600",2010-11-19,"2,070","2,555","1,860","1,775",14,3.01,9.47,2.76,8.45,18.78,3.23,"5,727,044","5,727,044","11,070,417,460","21,400,000",0.267619,"44,298,000,000",15.91,305,"1,530","2,931.16",-832,"-1,557.59",0,0
시그네틱스,신규상장,KQ,"2,600",2010-11-26,"2,460","2,320","4,190","3,670",14.69,2.32,6.91,0.83,4.94,16.9,2.3,"27,632,091","27,632,091","73,273,056,285","77,288,319",0.35752,"190,129,264,740",17.28,455,"5,685","15,205.11","-5,356","-14,382.47",0,0
썬텍,신규상장,KQ,"6,800",2010-11-26,"1,888","2,160","1,040","1,216",5.14,3.18,6.85,0.77,3.64,10.21,4.45,"7,978,945","7,978,945","14,542,583,030","4,200,000",0.37995,"39,648,000,000",13.94,"1,230",519,"4,665.84",-479,"-4,306.90",0.0,0.0
티비씨,신규상장,KQ,"7,500",2010-11-29,816,640,623,667,14.03,0.92,5.29,2.32,8.77,15.59,1.02,"10,043,010","10,043,010","7,972,402,060","10,000,000",0.10043,"81,600,000,000",14.6,"1,110",304,"2,459.16",-248,"-2,000.38",0,0
에이루트,신규상장,KQ,"5,500",2010-12-01,"2,778","2,004","1,541","1,679",7.75,1.74,7.57,1.06,4.34,11.7,2.63,"5,436,856","5,436,856","14,222,246,680","5,000,000",0.404357,"37,350,000,000",15.43,"1,070",751,"5,166.82",-699,"-4,785.13",0,0
디에이치피코리아,신규상장,KQ,"4,000",2010-12-03,"4,010","4,005","3,800","3,560",,,,,,359.39,4.47,"1,418,021","1,418,021","5,734,352,245","7,250,000",0.195589,"29,072,500,000",1.86,75,577,"2,332.21",-577,"-2,332.21",0,0
대정화금,신규상장,KQ,"9,200",2010-12-20,"13,800","11,800","13,600","10,300",10.23,1.79,11.83,1.36,8.46,15.5,2.72,"7,398,542","7,398,542","101,445,662,150","5,537,272",1.336135,"76,414,353,600",22.55,"3,050",576,"7,622.46",-486,"-6,369.99",0,0
이브이첨단소재,신규상장,KQ,"2,700",2010-12-27,"1,395","1,623","1,703","1,298",15.13,3.1,13.16,0.51,"4,571.28",18.91,3.87,"48,581,322","48,581,322","65,683,162,190","15,000,000",1.619377,"41,850,000,000",19.25,490,"5,258","14,053.97","-2,162","-5,829.54",0,0
인텍플러스,신규상장,KQ,"7,000",2011-01-05,"16,100","8,300","9,500","6,600",18.02,5.86,15.16,3.67,15.24,18.9,5.45,"5,178,278","5,178,278","81,522,894,250","8,005,000",0.64688,"128,880,500,000",13.95,"2,100",976,"15,549.52",-911,"-14,534.20",0,0
티에스이,신규상장,KQ,"45,000",2011-01-05,"23,359","14,351","19,431","12,527",23.51,2.38,12.36,2.58,24.97,26.69,2.37,"4,862,936","4,862,936","110,108,557,400","3,248,298",0.457123,"248,494,797,000",13.99,"10,000",422,"30,808.06",-394,"-28,760.93",0,0
알서포트,신규상장,KQ,"2,500",2011-01-05,"3,105","2,400","2,425","2,230",,,,,,16.59,2.89,"8,037,345","8,037,345","24,100,742,035","8,620,001",0.932407,"26,765,103,105",13.95,405,"3,915","11,729.13","-3,708","-11,135.03",0,0
씨그널엔터테인먼트그룹,신규상장,KQ,"8,500",2011-01-24,"28,758","18,230","20,300","14,190",10.97,1.98,8.92,0.97,10.61,14.88,2.69,"3,880,145","3,880,145","132,061,207,900","3,400,000",2.271241,"49,130,000,000",30,"5,100",558,"10,424.69",-330,"-6,281.35",0,0
다나와,신규상장,KQ,"14,000",2011-01-24,"11,123","5,296","5,245","4,546",16.96,5.2,16.52,5.43,19.7,21.87,6.65,"7,363,109","7,363,109","96,885,529,900","6,600,000",0.565355,"144,870,000,000",28.01,"7,150",687,"17,998.97",-650,"-17,033.62",0,0
블루콤,신규상장,KQ,"12,000",2011-01-26,"8,041","6,463","6,112","6,763",13.15,1.69,12.67,1.87,15.2,16.58,2.13,"3,567,063","3,567,063","31,685,447,550","9,600,000",0.186154,"154,080,000,000",18.9,"3,350",756,"13,734.92",-756,"-13,576.52",0,0
인트론바이오,신규상장,KQ,"6,100",2011-01-26,"4,020","2,308","2,807","3,058",140.67,11.72,67,11.73,58.94,148.36,12.36,"4,851,220","4,851,220","22,427,610,350","9,163,333",0.204661,"95,298,663,200",29.51,"3,600",162,"1,949.88",-128,"-1,536.59",0,0
엘비세미콘,신규상장,KQ,"4,700",2011-01-31,"4,550","3,980","4,510","3,180",9.13,3.95,10.7,2.12,9.4,11.33,4.85,"20,445,245","20,445,245","97,891,372,350","43,274,592",0.472454,"196,899,393,600",18.03,850,"4,670","22,260.63","-3,446","-16,409.79",0,0
제이엔케이히터,신규상장,KQ,"13,600",2011-01-31,"9,761","10,143","10,733","17,750",4.74,2.14,4.85,0.69,3.71,8.47,2.85,"2,564,918","2,564,918","24,074,830,700","8,000,000",0.222734,"112,400,000,000",13.69,"1,800",880,"11,717.70",-864,"-11,538.97",0,0
딜리,신규상장,KQ,"8,000",2011-01-31,"1,748","1,160","1,300","1,132",6.88,1.33,5.42,1.22,7.47,9.23,1.78,"11,330,240","11,330,240","18,593,044,060","5,470,000",0.414268,"47,807,800,000",16.2,"1,310",603,"4,856.44",-505,"-4,053.82",0,0
케이아이엔엑스,신규상장,KQ,"8,000",2011-02-08,"6,950","5,160","5,610","5,600",10.56,1.38,5.26,1.82,8.08,12.42,1.63,"3,322,657","3,322,657","25,249,123,750","4,800,000",0.69222,"33,360,000,000",23.23,"1,790",419,"3,315.99",-244,"-1,923.51",0,0
티피씨글로벌,신규상장,KQ,"5,200",2011-02-08,"3,967","2,923","5,300","6,340",8.37,1.14,6.57,0.69,7.77,9.84,1.35,"7,184,906","7,184,906","30,357,449,490","5,610,345",0.853769,"33,381,552,750",19.01,"1,250",576,"3,857.19",-494,"-3,298.45",0,0
나노신소재,신규상장,KQ,"17,000",2011-02-09,"9,967","11,200","12,467","12,233",11.41,3.07,12.03,2.82,11.72,15.44,4.1,"6,245,796","6,245,796","68,208,545,550","7,116,000",0.585141,"106,384,200,000",17.4,"2,850",916,"15,382.96",-732,"-12,364.07",0,0
부스타,신규상장,KQ,"4,200",2011-02-23,"4,345","8,980","6,610","5,120",8.35,0.8,5.15,0.45,7.53,11.13,1.06,"3,195,759","3,195,759","13,033,601,015","8,160,000",0.391637,"35,455,200,000",20.98,825,796,"3,193.21",-548,"-2,204.97",0,0
티케이케미칼,신규상장,KQ,"5,000",2011-04-26,"5,570","4,000","4,095","2,455",9.68,3.33,6.22,0.51,5.42,10.89,3.74,"38,993,648","38,993,648","204,329,550,380","90,000,000",0.433263,"501,300,000,000",15.79,815,"13,344","69,063.34","-12,988","-67,265.10",0,0
이퓨쳐,신규상장,KQ,"6,400",2011-04-27,"8,763","6,890","6,367","3,340",11.01,2.86,10.49,2.42,16.13,14.64,3.8,"6,402,272","6,402,272","65,031,931,400","3,635,000",1.415997,"39,621,500,000",29.69,"3,800",487,"6,603.85",-423,"-5,740.73",0,0
골프존뉴딘홀딩스,신규상장,KQ,"85,000",2011-05-20,"29,378","25,977","22,506","19,311",13.37,5.66,13.95,4.87,13.43,15.65,6.56,"4,542,110","4,542,110","139,469,170,000","12,283,023",0.127062,"1,050,198,466,500",12.29,"11,000",301,"26,944.30",-229,"-20,560.37",0,0
KMH,신규상장,KQ,"9,500",2011-05-25,"2,423","2,090","2,450","2,717",9.19,3.03,6.74,2.42,6.76,12.25,4.04,"4,622,226","4,622,226","11,675,271,840","12,375,360",0.124501,"89,968,867,200",16.18,"1,280",647,"4,903.94",-625,"-4,735.44",0,0
엘아이에스,신규상장,KQ,"34,000",2011-06-02,"15,100","12,750","13,600","18,700",9.43,5.69,10.34,1.53,7.31,13.33,8.04,"2,967,120","2,967,120","46,048,525,300","3,600,000",0.4121,"108,720,000,000",25.04,"7,600",231,"6,899.85",-249,"-7,448.98",0,0
완리,신규상장,KQ,"4,100",2011-06-13,"1,692","1,537","2,390","2,369",3.55,,3.42,0.78,3.07,5.17,,"15,186,183","15,186,183","27,437,071,255","48,696,351",0.161141,"159,480,549,525",22.01,810,"2,158","7,660.52","-2,082","-7,419.79",0,0
스카이이앤엠,신규상장,KQ,"14,000",2011-06-14,"130,366","121,321","87,326","105,104",50.72,11.94,10.87,6.21,50.21,17.36,4.03,"210,810","210,810","25,827,578,400","4,270,000",0.307951,"89,243,000,000",13.81,"2,700",428,"8,351.02",-364,"-7,119.66",0,0
넥스트아이,신규상장,KQ,"10,000",2011-06-14,"1,061",902,673,772,5.31,3.11,5.18,2.15,4.76,6.4,3.75,"31,233,052","31,233,052","35,882,950,900","5,810,945",0.73694,"44,976,714,300",26.33,"2,320",564,"4,900.62",-538,"-4,672.10",0,0
유니드코리아,신규상장,KQ,"5,800",2011-06-17,"4,930","3,630","7,080","6,480",10.03,2.83,10.66,1.09,-18.52,13.4,3.78,"5,515,688","5,515,688","28,650,555,350","6,800,000",0.811131,"33,524,000,000",17.91,970,744,"3,884.05",-281,"-1,477.52",0,0
서연탑메탈,신규상장,KQ,"6,500",2011-06-24,"8,750","7,140","4,980","5,280",10.71,2.29,9.16,1.01,34.84,12.48,2.67,"19,019,752","19,019,752","159,992,617,490","11,650,000",1.632597,"101,937,500,000",26.73,"2,200","2,030","16,099.22","-1,696","-13,400.32",0,0
대양전기공업,신규상장,KQ,"9,000",2011-07-08,"9,550","8,740","10,800","9,030",6.38,1.03,5.28,0.73,7.48,9.11,1.47,"8,298,391","8,298,391","87,520,390,410","9,495,300",0.873947,"90,680,115,000",21.91,"2,350","1,705","18,159.21","-1,558","-16,529.22",0,0
옵티시스,신규상장,KQ,"7,600",2011-07-12,"12,100","6,520","5,970","6,170",17.49,4.11,13.78,3.69,15.6,19.96,4.69,"6,946,773","6,946,773","86,005,030,750","5,636,000",1.232572,"68,195,600,000",13.95,"1,650",355,"4,279.19",-135,"-1,554.99",0,0
나이벡,신규상장,KQ,"10,000",2011-07-13,"10,512","6,431","6,274","6,291",182.27,7.28,38.38,4.88,130.76,265.04,10.58,"2,176,991","2,176,991","25,177,424,350","2,935,996",0.611344,"37,433,949,000",30,"4,500",604,"8,637.06",-240,"-3,463.27",0,0
상아프론테크,신규상장,KQ,"6,000",2011-07-21,"6,700","4,765","5,230","4,840",13.07,1.33,7.8,0.67,12.93,16.41,1.67,"13,193,213","13,193,213","99,795,649,510","12,289,470",1.073538,"82,339,449,000",23.27,"1,720","1,680","12,843.02","-1,079","-8,281.14",0,0
시티랩스,신규상장,KQ,"7,100",2011-07-29,"3,176","1,998","1,930","1,973",8.04,2.94,7.68,0.7,15.29,10.88,3.89,"9,735,896","9,735,896","34,092,722,780","5,100,040",0.652026,"47,430,372,000",25.35,"2,700",865,"8,939.48",-494,"-5,201.70",0,0
제닉,신규상장,KQ,"22,000",2011-08-03,"29,225","28,653","33,298","26,224",11.9,7.27,11.51,1.3,8.98,18.01,10.39,"4,692,608","4,692,608","124,650,868,800","3,922,909",0.854749,"160,446,978,100",21.38,"7,900",117,"3,845.02",196,"7,346.35",0,0
아이씨디,신규상장,KQ,"34,000",2011-08-05,"36,100","34,250","28,300","28,350",143.13,36.65,105.33,11.42,39.22,196.95,50.43,"5,647,710","5,647,710","190,674,334,000","7,721,832",0.365698,"557,516,270,400",18.29,"12,100",-316,"-21,055.35",463,"31,242.48",0,0
제이씨케미칼,신규상장,KQ,"7,200",2011-08-08,"7,831","5,179","5,126","4,983",9.91,4.68,10.21,1.06,6.4,12,5.66,"4,086,175","4,086,175","36,267,984,440","13,340,000",0.272579,"117,392,000,000",24,"2,400","1,244","12,588.36","-1,077","-10,888.22",0,0
화진,신규상장,KQ,"4,300",2011-08-10,"1,818","1,312","1,139","1,495",2.42,0.57,9.09,0.29,1.16,13.13,3.1,"42,942,859","42,942,859","88,207,829,510","12,100,000",1.197306,"65,219,000,000",25.57,"1,580","1,424","8,857.98","-1,181","-7,303.82",0,0
원익피앤이,신규상장,KQ,"8,000",2011-09-27,"3,535","4,015","4,745","4,125",8.98,2.3,8.55,0.94,7.79,10.97,2.75,"9,544,432","9,544,432","38,481,374,290","6,176,000",0.772703,"43,664,320,000",26.75,"2,140",698,"5,769.25",-522,"-4,285.74",0,0
대한과학,신규상장,KQ,"3,000",2011-10-11,"5,031","5,547","6,551","5,835",9.04,2.18,10.53,0.85,12.87,12.1,2.91,"5,880,017","5,880,017","26,329,598,390","5,525,130",0.929569,"31,824,748,800",24.56,"1,260",560,"2,814",-439,"-2,204.73",0,0
로보스타,신규상장,KQ,"5,800",2011-10-17,"8,970","6,870","8,650","7,980",8.37,3.53,9.11,0.7,20.08,10.08,4.25,"5,381,442","5,381,442","45,213,532,820","7,800,000",0.689928,"69,966,000,000",17.85,"1,470",836,"6,703.71",-765,"-6,154.74",0,0
케이맥,신규상장,KQ,"14,500",2011-10-25,"5,690","4,180","3,760","2,570",24.27,6.96,24.49,5.35,60.49,30.11,8.64,"11,729,095","11,729,095","63,946,164,350","6,188,500",0.379061,"176,062,825,000",21.19,"5,450",713,"19,361.09",-576,"-15,600.98",0,0
원익테라세미콘,신규상장,KQ,"13,500",2011-11-01,"24,000","26,900","30,700","28,400",28.45,10.33,24.41,3.56,27.8,32.98,11.97,"6,306,932","6,306,932","144,405,791,900","8,045,902",0.783869,"193,101,648,000",24.1,"5,550",465,"10,735.90",-111,"-2,608.90",0,0
씨엔플러스,신규상장,KQ,"11,500",2011-11-02,"2,820","2,030","2,180","1,832",8.9,2.62,8.36,1,10.3,12.5,3.66,"31,234,935","31,234,935","99,296,325,900","4,150,001",1.505298,"58,515,014,100",26.99,"4,150",334,"5,155.09",-266,"-4,076.62",0,0
에스엠코어,신규상장,KQ,"8,500",2011-11-08,"7,467","8,165","7,772","6,069",19.34,4.1,16.95,1.54,24.08,23.61,5.01,"14,875,331","14,875,331","110,624,916,400","6,643,000",0.977761,"113,595,300,000",17.11,"2,900",303,"5,130.25",200,"3,384.41",0,0
씨큐브,신규상장,KQ,"5,750",2011-11-08,"4,878","3,615","3,361","3,456",11.92,1.43,10.32,1.53,7.83,14.43,1.74,"9,140,503","9,140,503","53,040,562,360","5,500,000",1.320337,"33,770,000,000",28.37,"2,000",821,"6,254.17",-484,"-3,687.40",0,0
테크윙,신규상장,KQ,"23,000",2011-11-10,"8,512","9,764","8,160","7,000",7.79,4.2,10.59,1.46,17.83,8.7,4.55,"7,442,891","7,442,891","69,522,311,900","4,771,040",0.520745,"121,661,520,000",19.47,"5,500",468,"13,701.59",-318,"-9,303",0,0
에이티세미콘,신규상장,KQ,"2,400",2011-11-11,"19,837","23,350","23,949","23,629",29.49,1.51,4.41,4.3,9.12,8.27,1.96,"5,070,841","5,070,841","104,792,873,955","46,330,294",0.873725,"115,130,780,590",17.82,450,"5,719","15,022.40","-5,020","-13,119.51",0,0
쎄미시스코,신규상장,KQ,"9,500",2011-11-18,"1,650","1,239","1,370",987,6.45,1.76,5.39,2.36,8.08,9.1,2.4,"28,117,351","28,117,351","50,767,360,190","3,600,000",1.302117,"35,640,000,000",20.12,"2,130",401,"4,405.17",-317,"-3,477.96",0,0
와이지엔터테인먼트,신규상장,KQ,"34,000",2011-11-23,"29,263","29,563","43,259","30,049",29.94,14.39,26.47,6.53,29.5,39.92,19.16,"393,821","393,821","11,473,816,800","4,986,157",0.029556,"389,917,477,400",13.95,"10,200",28,"2,197.80",-27,"-2,103.88",0,0
이엠넷,신규상장,KQ,"6,400",2011-11-25,"2,425","1,708","1,725","2,070",9.49,2.71,9.44,1.71,10.11,13.05,3.73,"12,062,400","12,062,400","30,729,451,770","5,500,000",0.548291,"53,350,000,000",16.98,"1,800",106,"1,169.40",-45,-520.33,0,0
신진에스엠,신규상장,KQ,"15,000",2011-11-28,"6,748","9,770","14,353","11,004",7.25,1.56,6.29,1.18,7.49,9.76,2.09,"4,059,294","4,059,294","30,170,456,600","4,500,000",0.454278,"60,300,000,000",24.96,"3,650",234,"3,559.08",-194,"-2,965.72",0,0
에스에프씨,신규상장,KQ,"14,000",2011-11-30,"2,924","2,203","3,577","3,428",5.83,2.59,5.81,0.57,4.52,7.9,3.51,"11,770,488","11,770,488","35,076,278,150","6,432,621",0.497754,"69,150,675,750",15.85,"1,850",540,"5,979.42",-462,"-5,116.11",0,0
비덴트,신규상장,KQ,"12,000",2011-12-01,"4,236","3,727","4,227","3,782",6.98,1.58,6.23,1.63,29.72,8.73,1.97,"4,889,601","4,889,601","23,396,935,310","5,250,000",0.423342,"48,930,000,000",21.15,"2,200",327,"3,452.12",-305,"-3,201.94",0,0
키네마스터,신규상장,KQ,"6,000",2011-12-02,"3,073","2,776","3,233","2,283",7.59,3.46,5.69,2.87,5.87,8.73,3.85,"5,128,585","5,128,585","15,332,243,070","6,625,551",0.383093,"41,144,671,710",17.51,"1,000",670,"4,068.36",-610,"-3,715.67",0,0
파인넥스,신규상장,KQ,"65,000",2011-12-05,"39,749","35,998","46,295","32,566",4.77,4.07,6.25,2.55,4.12,7.38,5.74,"1,544,824","1,544,824","64,021,728,100","5,995,369",0.205667,"298,569,376,200",16.07,"8,700",353,"18,369.95",-320,"-16,748.09",0,0
씨유메디칼,신규상장,KQ,"12,000",2011-12-15,"8,151","10,078","8,041","6,069",14.73,3.76,14.41,4.23,33.65,17.67,4.48,"3,540,593","3,540,593","27,346,901,550","4,780,806",0.328084,"87,966,830,400",13.95,"2,400",185,"3,162.59",-128,"-2,195.73",0,0
서암기계공업,신규상장,KQ,"3,800",2011-12-19,"3,400","3,225","3,420","3,680",9.67,1.14,5.62,1,9.72,12.89,1.53,"4,951,375","4,951,375","18,597,342,500","12,600,000",0.392966,"42,840,000,000",21.05,800,990,"3,803.51",-932,"-3,549.35",0,0
시큐브,신규상장,KQ,"4,900",2011-12-21,751,633,676,784,8.73,2.5,8.37,2.06,11.93,10.2,2.92,"40,282,593","40,282,593","29,126,028,990","6,200,000",0.962844,"31,434,000,000",20.43,940,705,"3,371.77",-648,"-3,119.44",0,0
나이스디앤비,신규상장,KQ,"1,700",2011-12-22,"2,815","2,565","2,475","1,735",17.19,3.14,17.11,1.98,13.79,23.12,4.22,"7,368,099","7,368,099","19,520,727,090","15,400,000",0.478448,"43,351,000,000",15.92,415,"1,578","4,116.85","-1,269","-3,318.97",0,0
디엔에이링크,신규상장,KQ,"7,700",2011-12-26,"17,141","18,836","13,074","9,035",73.13,12.37,49.89,9.94,87.62,84.55,14.3,"227,936","227,936","3,898,136,300","4,115,930",0.05363,"72,851,961,000",13.9,"2,300",74,"1,297.38",-68,"-1,201.04",0,0
원익머트리얼즈,신규상장,KQ,"27,000",2011-12-28,"19,250","18,850","21,650","21,700",13.96,3.23,12.52,2.39,10.36,19.59,4.54,"4,394,872","4,394,872","90,014,249,950","5,800,000",0.378868,"223,300,000,000",18.98,"7,800",-22,"-1,018.16",-30,"-1,158.69",0,0
메지온,신규상장,KQ,"24,000",2012-01-20,"29,750","24,400","17,050","16,150",56.18,6.39,72.13,35.53,-118.3,74.91,8.52,"3,034,391","3,034,391","100,585,751,650","8,068,000",0.376102,"240,023,000,000",23.7,"8,000",630,"21,389.35",-604,"-20,431.20",0,0
남화토건,신규상장,KQ,"3,000",2012-01-31,"4,290","5,790","4,880","5,230",5.17,0.41,2.63,0.43,-29.35,6.95,0.55,"10,266,891","10,266,891","43,831,867,925","11,740,000",0.874522,"50,364,600,000",19.96,835,878,"3,557.72",-528,"-2,149.91",0,0
뉴로스,신규상장,KQ,"8,500",2012-02-15,"6,356","5,593","3,865","3,692",11.8,2.49,10.78,1.38,-9.48,12.32,2.55,"3,702,832","3,702,832","24,397,625,450","4,191,242",0.449236,"52,390,525,000",18.04,"2,300",200,"2,640.58",-182,"-2,391.71",0,0
사람인에이치알,신규상장,KQ,"5,000",2012-02-21,"10,513","17,827","15,313","14,856",14.23,5.82,12.01,1.74,31.94,19.75,8.04,"1,990,344","1,990,344","20,738,231,000","8,800,000",0.20677,"101,200,000,000",13.95,"1,500",666,"7,561.85",-561,"-6,356.83",0,0
빛샘전자,신규상장,KQ,"4,400",2012-03-21,"8,421","7,745","5,903","6,753",10.91,1.49,7.72,1.32,27.32,12.92,1.76,"601,964","601,964","5,058,077,300","5,000,000",0.100375,"50,500,000,000",13.76,"1,300",373,"3,759.48",-371,"-3,735.08",0,0
비아트론,신규상장,KQ,"15,900",2012-05-04,"21,700","14,800","12,050","13,150",17.52,8,18.68,3.8,24.38,21.09,9.05,"4,227,703","4,227,703","99,021,044,000","9,931,870",0.42567,"215,521,579,000",18.03,"4,300",476,"11,512.60",-270,"-6,657.22",0,0
피엔티,신규상장,KQ,"17,000",2012-07-06,"4,921","3,653","4,617","3,462",5.07,1.99,6.12,0.59,90.04,6.99,2.59,"7,011,447","7,011,447","36,363,831,950","3,209,547",0.554167,"62,265,211,800",18.53,"3,900",136,"2,962.87",-94,"-2,052.32",0,0
디지탈옵틱,신규상장,KQ,"11,500",2012-07-13,"64,165","58,262","70,838","83,415",9.06,2.52,7.41,0.86,7.67,12.15,3.39,"504,096","504,096","31,048,923,500","5,393,177",0.479797,"67,414,712,500",16.45,"1,900",562,"7,028.52",-271,"-3,505.62",0,0
네이블,신규상장,KQ,"9,000",2012-07-19,"8,151","8,253","12,651","14,144",9.63,3.01,7.3,1.71,17.91,10.24,3.1,"4,084,978","4,084,978","37,311,637,240","4,326,601",0.881489,"37,771,226,730",28.8,"2,870",489,"4,869.92",-331,"-3,290.93",0,0
엠씨넥스,신규상장,KQ,"15,000",2012-07-25,"5,132","4,529","4,440","3,815",4.33,1.34,4.82,0.23,6.61,5.71,1.59,"4,538,148","4,538,148","24,109,990,800","5,749,271",0.352248,"66,116,616,500",16,"2,000",291,"3,352.19",-337,"-3,953.34",0,0
우양에이치씨,신규상장,KQ,"5,500",2012-07-26,"5,170","5,680","4,790","5,070",9.52,1.34,6.83,0.4,2.89,8.82,1.24,"4,907,881","4,907,881","23,977,310,800","12,090,183",0.405939,"62,506,246,110",23.9,"1,170",698,"3,327.31",-666,"-3,171.73",0,0
나노스,신규상장,KQ,"7,000",2012-08-02,"1,576","1,665","1,754","2,390",0.85,0.35,11.81,0.07,0.54,18.59,6.9,"55,430,794","55,430,794","83,398,444,220","7,316,920",1.121281,"77,925,198,000",14.61,"1,450","1,302","13,122.96",-568,"-5,600.99",0,0
