,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,model_set_32,model_set_33,model_set_34,model_set_35
매출총이익률,0.09253620838001998,0.09066147035943635,0.0955488864076379,0.10349941212942126,0.09461279274601325,0.07668870432382814,0.0760768678210959,0.08671298063027637,0.10583017045894177,0.11595723272733703,0.09771166469990043,0.06749432513567442,0.07499221166436278,0.09007052880835249,0.07159210314113901,0.06780064955226847,0.06656614979074452,0.06479685266838246,0.07569255278947576,0.05962895900935328,0.06015703271175324,0.054996048044814255,0.060026051712231444,0.06525262150769263,0.055556032168565354,0.05962487392096825,0.06658903542047945,0.06943060993968729,0.07305710942002246,0.06644182500137766,0.0606451474222579,0.06845817281260261,0.0628004242712587,0.05979451013207327,0.06683118047369274,0.06504343457431014
유동비율,0.10214783913528552,0.11257828716042474,0.11037842139110379,0.10308171155203061,0.10983490677221325,0.10660116027212709,0.09431301595945853,0.09373749749990262,0.10028883909395941,0.10454955897057873,0.09751853986168675,0.06460548476161723,0.07585906057154992,0.08860165611477056,0.08706041870732263,0.09530225653003878,0.08565973627998702,0.07928585978183103,0.07298558431299917,0.07006272743272844,0.06975696053287932,0.07686140173367327,0.08093805598289205,0.08067527373632977,0.08599904708379959,0.08144759040133039,0.07870521579583212,0.07547995096969488,0.07176148367682604,0.0759285494681039,0.07152344198081576,0.09276136997989896,0.08753705762380429,0.08868912147564509,0.08549578716370496,0.08923292866503883
부채비율,0.10004813748371207,0.11076508127592698,0.10875758762789967,0.10304446957760141,0.11437113829694802,0.10662011940830746,0.0985134842420755,0.08888068005117328,0.06947220179012387,0.06823338390557186,0.07513744281769677,0.05545597566453115,0.06193292534172945,0.060571998449339935,0.06597216869980908,0.0569362040458681,0.06544975142693053,0.0650612583468904,0.06386125649784627,0.0631618529471747,0.07163279514177395,0.06204509022129374,0.0628445838118067,0.07414574335311896,0.07757035240907151,0.08216401278164463,0.07740212477255559,0.06845662471942633,0.06446308863042838,0.0706224538954576,0.08277557927812777,0.07527862339187559,0.08325196560978179,0.08390437727866484,0.08740521515139317,0.08649044800262126
매출액증가율,0.08075123954398741,0.07376401259546699,0.08479989136846432,0.09019988748220685,0.07739611343015287,0.08950515937060302,0.09335981628128082,0.09856334223168749,0.08148574499912563,0.07449621836160059,0.11251264217697171,0.12430301792285933,0.11033707977592312,0.10043065485860471,0.07742681038332838,0.08104094551308862,0.0814509084650029,0.07150228888805922,0.07049867599384678,0.07465736859416944,0.08386855708045456,0.073539885109312,0.07667175378504051,0.08497242773792246,0.07894915223440929,0.09336111863639594,0.10021113528362853,0.10368301605788957,0.09200814766885082,0.08293743393631027,0.08751143833873196,0.08972024086945685,0.08058679597730306,0.09131320567841203,0.0876736497383112,0.09387728362182493
IPO_PER,0.0768727698499173,0.076893400444527,0.08582923982671412,0.07608030326738979,0.08997058674170576,0.0926537271910298,0.09410990038413974,0.09343500993379787,0.10304159583540809,0.13354366229298675,0.13682917569941486,0.10774797608030562,0.08860291963064205,0.11288869410166474,0.12720379052440176,0.11891501359260373,0.11081614753908964,0.11368988834310127,0.11534513443948868,0.09784008786410878,0.08700094095427525,0.08574422689088039,0.09080329833625592,0.10358831294746902,0.0977829652557651,0.09555998987956778,0.08897059755183499,0.0840661239723131,0.08148103769889986,0.08752542614183807,0.08885819643614334,0.08992283715114684,0.09551093438350548,0.08203753135448663,0.08572192768272849,0.07406492243619452
IPO_PBR,0.08408138513200676,0.09008391687574298,0.09114744977993691,0.10985967869139349,0.0920667961067516,0.09202672919065177,0.09463904686444001,0.09133922520345443,0.0929162371444226,0.07982379376969116,0.08918593290444299,0.09348497822189837,0.0805383047245224,0.0813684584321453,0.09851531761343073,0.10255252840066298,0.1046383671567766,0.11560063632549523,0.12205047072526938,0.12711926912551463,0.12329949067011643,0.13750487732662997,0.15373252771978446,0.17041654803765813,0.17566951469982545,0.17323506121498972,0.16264679178717298,0.17142628703330626,0.1638535661458905,0.18190627011936497,0.19024701719206055,0.16368366007410512,0.1690845121216786,0.15738910214142818,0.11622045012851409,0.12034292890378075
IPO_EV/EBITDA,0.0744631915940677,0.09298393591710956,0.08935075670012813,0.07878857260650889,0.0704681894171307,0.08378250782753555,0.08260624909535244,0.08937636632254901,0.10068312252678117,0.10618890804596093,0.09728811501589549,0.09414176853733111,0.07507184185535173,0.08256417245032423,0.08538874637757123,0.08004506511150052,0.08214078568861159,0.07929916331023516,0.0701714636462235,0.07864620691037986,0.07813292358496333,0.08056282407394404,0.07799812283729102,0.09941074299673784,0.09493222217782395,0.10035973135838028,0.09221242925666874,0.10122112414614104,0.1119801649780913,0.11122860578463482,0.11753696841169463,0.11229287414895309,0.10383166187109046,0.09731099246895326,0.10538431145719374,0.0953633999344604
1년전 대비 시장 회전율,0.0882536114176729,0.08156464343809668,0.0775833159107641,0.07714514405370133,0.0839316803558013,0.08968632417061612,0.09479197145132312,0.0812017442788741,0.08177451331283919,0.07503362479781778,0.09148950792126351,0.1126676414211295,0.1261789477765162,0.11963708636763777,0.1314447621085094,0.11033859542556593,0.10959808325960939,0.12041537129883893,0.1397941214536785,0.13326362128077718,0.12821722464750912,0.12709106492869585,0.1247676813541007,0.10925731681626244,0.10293962363183615,0.08559405181267725,0.07987302778619527,0.0859694535064019,0.08547633014110487,0.08993410291719081,0.08269237265403077,0.085381681397424,0.08912752215436205,0.08885879975470908,0.09342445207541385,0.0960057761842409
1년 전 대비 시장수익률,0.13160011984107756,0.0822950276110374,0.06808138914927217,0.07849271407700122,0.07949612329271512,0.06394719943820107,0.06478389420772235,0.06878489999945021,0.06449395050314254,0.07536210581799871,0.07481167411292573,0.0963613784666578,0.10833956019578203,0.07594549918864575,0.08334974792764403,0.07224049991934273,0.08817473398064749,0.0989562432929424,0.08479207567739586,0.09187900862466172,0.09194219973484187,0.09162382387983119,0.08371347013933475,0.06802237722367824,0.07849012732088523,0.07423893650485279,0.08480254608699031,0.07837246833649877,0.08971615007282793,0.0846088706834833,0.08004305355129812,0.08415626984411612,0.08563969177012655,0.08569965884116489,0.08992992434807802,0.08989637805033804
1년 전 대비 고객예탁금 증감률,0.09372932496444962,0.11030478773159048,0.10088725898327211,0.09870535242004048,0.09341605985130105,0.09868819419866488,0.09787641926584936,0.09501206585931829,0.10196331113272546,0.08561421891141037,0.06371576380177175,0.0957796735284818,0.09638869626850995,0.08418355453805507,0.08319376000937526,0.13133100261360584,0.12790381404648707,0.11121745781814263,0.09625849061619793,0.09915714713058438,0.10601371201019252,0.092496726894465,0.08596145804053593,0.07730875634461014,0.08606337500943756,0.08191555683381964,0.08791042008043479,0.08555429192899079,0.07758093078227517,0.07317790821057081,0.0770033363086271,0.07388575533234613,0.0722174679325738,0.08169354105840443,0.09585616994070742,0.10407618056552964
상장일 기준 국고3년시장금리,0.07551617265780308,0.07810543659064101,0.08763580285480678,0.08110275414270464,0.09443561298926703,0.09980017460843507,0.10892933442726205,0.1129561879895164,0.09805031320253028,0.08119729239904622,0.06379954098802998,0.08795778025951376,0.10175845219511025,0.10373769669045943,0.08885237450746855,0.08349723929545425,0.07760152236611327,0.08017497992608129,0.0885501738475781,0.10458375108054774,0.09997816293124015,0.11753403089646045,0.10254299628072668,0.06694987929852049,0.06604758800858083,0.07249907665537325,0.08067667617820731,0.07634004938965017,0.08862199078478275,0.07568855384166776,0.06116344842621211,0.0644585149980748,0.07041196628451524,0.08330915981605837,0.0860569318402623,0.08560631906166069
