,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,model_set_32,model_set_33,model_set_34,model_set_35
매출총이익률,0.056147901844510226,0.06515707505497095,0.07258825637444717,0.07681558672156139,0.09011325844298493,0.0941094397825251,0.08357019627439785,0.05936563272885151,0.06842042646852883,0.07240877679214294,0.06579251000660458,0.051732006408097865,0.06077737239604905,0.05960356345887252,0.06648087437364696,0.06073338541639245,0.060372273006851274,0.05671768039195223,0.05560068099627235,0.046488318783608984,0.04638743537352311,0.040711787087090744,0.04833551443284255,0.04662668533960472,0.04443307826413391,0.03805288990303592,0.03551739017230932,0.03641976743360462,0.038321363872496905,0.039183100771753916,0.043490174909789375,0.046790730871743014,0.05068278657456211,0.05417722115031131,0.05384801632517125,0.04869242614840304
유동비율,0.05861341563713126,0.05422885939820177,0.05325484696014242,0.05024509882107219,0.06198908273782754,0.05448847704066839,0.05899050577570885,0.0607015100597956,0.06313251772901765,0.06562247793611481,0.05339411151442262,0.05621905072276532,0.06535292050660295,0.05693819653924805,0.06448607198698739,0.047486672722600085,0.05315268452190808,0.0561733361258505,0.052491427950417786,0.04776565933566002,0.048547275211116264,0.04428178152736992,0.048441939310685585,0.049184161152548284,0.04809715080852427,0.04895415165191542,0.044324200869561375,0.03889697064862122,0.042373886791929105,0.043354898342703514,0.0418838753331899,0.04143189574219809,0.05072621097578304,0.04950135055338555,0.05537008551694106,0.05055773826756994
부채비율,0.06632363454244014,0.05762564318361334,0.06084473922008934,0.06045102137506086,0.06331066477671679,0.06915104803297684,0.07484534899407906,0.06729051980561539,0.06368277713958845,0.06222727979694866,0.05434064197434149,0.05462234367005012,0.04623299440029877,0.046542311889479375,0.060018367356544804,0.06712286771165359,0.06551144178833206,0.061218699852506615,0.06007265700760306,0.05488165130099631,0.05434367451038611,0.04732697117520359,0.05531263679859575,0.04933173925484546,0.06087039090079798,0.04669189383425017,0.04980676310088179,0.05231843646218414,0.04949255245729839,0.042812668779850405,0.04677114200807729,0.066994494131247,0.060807145480634116,0.058346610167281765,0.06530114522521009,0.07782064522844749
매출액증가율,0.05742693723546052,0.046982377441120785,0.050886096566140265,0.04891294961120415,0.04189705143402758,0.04550473595736853,0.04754465570404431,0.06550606206434814,0.06334086372740866,0.06583727966636105,0.05592609439489291,0.07813648316924914,0.06712173507811979,0.05810934734967787,0.060574190356308295,0.05164560776745826,0.04456617566317676,0.040506051857130285,0.038131922433961296,0.036573606373983575,0.04016110660407491,0.03924705915740384,0.04535484053478437,0.050499685123698616,0.048502861827464494,0.04415619909312112,0.04312618346440109,0.048633559990411725,0.04473313916548127,0.05474258184357913,0.049972168369375534,0.05437482628048416,0.05530047232570334,0.06568218731468345,0.05283197237069972,0.056195261674682515
3개월 후 PER,0.05450599558654332,0.04532105172622999,0.050421902772286205,0.05403137518379952,0.05338713021656254,0.05563846116405819,0.06572238364360776,0.05010163260799,0.05297719490501896,0.054776095567874016,0.059395087175439946,0.05908020536459114,0.05942229119328028,0.05669638699823281,0.055956206519780304,0.06953637864058602,0.08085444571777617,0.07636168670237967,0.06829810823777395,0.0797460397168493,0.06850487788512528,0.07676422242631871,0.06940213100221058,0.06612884327558499,0.06413767785237996,0.05856847598379797,0.058837877671318546,0.05289367545889037,0.06013716891396265,0.06295137556266134,0.06074560830964359,0.056057136823825716,0.0574616715321672,0.056470982235818125,0.056790934431659224,0.0505153739724942
3개월 후 PBR,0.07844234459166521,0.07424250759795936,0.06885767344526156,0.06683335507694008,0.06834306191726228,0.06354533151144019,0.06406252538085401,0.05785577662980998,0.05654467966022461,0.05319480249562578,0.045454071639853114,0.06419449455656652,0.06245494128668214,0.0778686640264037,0.07793916988645963,0.08432361619563485,0.08864174036115159,0.08575715943188177,0.08214690332778606,0.08647569339696438,0.09216880404554373,0.08762774652255927,0.09352219809269613,0.09755181817364361,0.10268152225518815,0.10402107083862054,0.08972955660667024,0.0995888523179464,0.1136520288647273,0.13111739535413622,0.12456826335028254,0.11409061615565486,0.11318656500037563,0.11609405345346202,0.10357183425361766,0.10095163275169963
3개월 후 EV/EBITDA,0.06239143341532064,0.05938893655110691,0.052085057598194096,0.05154422131100689,0.0473301074508463,0.04722711532439925,0.054786069750027824,0.04735747731981964,0.0587063324242278,0.06019862842446091,0.06879661283604875,0.061443916623593484,0.056599824562334804,0.059542289572398016,0.049601908649524844,0.053809780738933465,0.049137409796413054,0.04894701276498632,0.05022432419280432,0.05458944689404409,0.046338083083361924,0.051746381956157925,0.05290854146856939,0.0510082895600088,0.05021134292345892,0.05310534410929118,0.05607937293547134,0.06202919553314609,0.07082716161441134,0.06458339204285013,0.06853999598788502,0.060371072077731965,0.05237986218287184,0.054019911685121415,0.05038697003379507,0.05567570247755111
3개월 평균 거래량회전율,0.08068554870500794,0.09241303687674295,0.0958057884590999,0.08753051007201612,0.0867514391587388,0.08356700929903381,0.08317736560405006,0.07806442849638291,0.07539194198893787,0.0679713173467004,0.05031907584911188,0.059562137867059765,0.0704430573219569,0.07238951805803766,0.07345399086810545,0.08164575235665789,0.0844846591326448,0.09370880552944369,0.10368626681853849,0.10297991130923184,0.1029672044514049,0.10345196403810351,0.08796271005435112,0.08968994810508354,0.09813061061880535,0.09261881016845461,0.09079011280602481,0.09741122916591193,0.0864466037399818,0.07701758214620948,0.07091201248827621,0.059850371603395396,0.06638591128369464,0.07234883974324119,0.062494907124056504,0.05868259535143502
3개월 평균 일중변동률,0.06395993391163228,0.06042553093695541,0.06245969398805613,0.059920015940279236,0.07766705620755786,0.0772894877248622,0.07656549248761477,0.05859554297456898,0.057921423292791444,0.060588529181332965,0.06520725842403428,0.07741920478896422,0.08481909813090335,0.08931945006656763,0.08253565787198484,0.08580769785917582,0.07338186873591344,0.07552571025258897,0.08309015938567765,0.10939175885004848,0.10512881386817739,0.12302569849250614,0.13756323744007576,0.14054517961027924,0.13044452187189964,0.1366246783045869,0.1470914563320836,0.12382545405737011,0.11871934369251508,0.11874626712939311,0.11355764662840567,0.1068813800661436,0.11551691283909164,0.0933693893783194,0.10847244100918449,0.0937512374177351
3개월 시가총액회전율,0.07997014658042449,0.08234918824925787,0.09049488560499103,0.07740030849332412,0.08650764593463116,0.08070998821313881,0.07675770256479107,0.0639919188258727,0.07009724635782594,0.06733895886768372,0.06314957167180385,0.06516815761670214,0.06866458992935619,0.0779530601135397,0.08402011474682125,0.08961539302383434,0.09322049447533319,0.10188517941312562,0.10946818091065645,0.09810191583121144,0.10791217533826043,0.09099573288227146,0.07755527140517508,0.08983676898910463,0.0927896233831632,0.09895157613246366,0.10209294298382085,0.09595960841396116,0.08742622381020997,0.07747821656666791,0.07746103573893634,0.07376190949571493,0.07055766915994605,0.07615212658971009,0.06755751388267373,0.06175462578388824
