,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,model_set_32,model_set_33,model_set_34,model_set_35
매출총이익률,0.09700070050788638,0.0945371239505482,0.1015533747502178,0.11517753636434673,0.11586482843795365,0.11207243691344486,0.08533684623537954,0.09494582479731746,0.0984349126525722,0.10500702644657174,0.07977719678030444,0.09871107548610268,0.10191515363147619,0.10408902460572583,0.09522341411072362,0.10928719050864434,0.09912853548857342,0.09753844285725351,0.10669049081605689,0.08934659104931443,0.08032684865595274,0.07928322633989762,0.07499636228973214,0.07646374579075355,0.07556287937215349,0.07584238717689795,0.08438081222297202,0.08974632278719478,0.08896728406073125,0.08038480150999067,0.08738575947713888,0.07612936602949853,0.07547762913542543,0.07977827298807866,0.0796117021198564,0.08268040992745765
유동비율,0.09976265552220916,0.10260720091428772,0.09492269997872767,0.10250560848169865,0.11874288895321736,0.11700557102295882,0.11615802402202897,0.11985013660737837,0.08969067425639259,0.08276103875917155,0.07419635354946369,0.0704507143243687,0.07460982280201169,0.0767336596452104,0.0847121707608801,0.08543295456817704,0.09038131842470261,0.08690354845695562,0.08918149650854461,0.08535645540748774,0.07567819565578736,0.07953708681219182,0.08179481492517258,0.08090169663905689,0.08237588131428344,0.08661455196097707,0.09200488404149006,0.0990185173379854,0.0930711387843532,0.09338697381781122,0.07932192110245674,0.09473564648926368,0.09362766838509114,0.1034377942502895,0.09098034736492414,0.08152153389302426
부채비율,0.08820065389520954,0.08146903042755017,0.08257144029854004,0.07742601318236315,0.09260717521207701,0.09003489964628025,0.0969483834321228,0.08750041897275684,0.0743838496466902,0.0744185307527792,0.06636218846735903,0.07745121881585605,0.06910110013923054,0.06746321289606377,0.06386385909646737,0.07372377298109738,0.07442587194369382,0.07306184415583673,0.0749612985065358,0.08205888755869348,0.08190424094197327,0.08291884319207389,0.08064341355121407,0.08985265302988066,0.07941406556110729,0.0809302472470169,0.08718560897816698,0.09270322416128586,0.08933471608361913,0.1012895397384727,0.10358230789197942,0.1048683413369511,0.08763111160959086,0.09982429365273804,0.10605874553403714,0.09506154627603386
매출액증가율,0.07920315095332649,0.09178693197031519,0.09393466567137843,0.10396505260009857,0.08199253980272055,0.0918282578072257,0.10809121550098055,0.10419369325833161,0.10762942250294301,0.11687525393717309,0.12961661517575795,0.12725070205925718,0.11166853218658174,0.11165646458527231,0.11774927972668275,0.11237767034453235,0.13200021134827347,0.11039614109207174,0.11739845136525992,0.09193702557782374,0.10727515090260333,0.08944083602811426,0.08191865640582308,0.08685256268275539,0.09477393803274037,0.09399595098264674,0.10001124556472955,0.08741536747429415,0.10306976020490632,0.09832457016473602,0.0963461913669918,0.09200169615631859,0.09459345841721127,0.09358896250667359,0.09682625466710643,0.09147280593413461
IPO_PER,0.06949205404566249,0.07539650124960491,0.08906741201050442,0.07782792052576114,0.09003901121101891,0.08460300551849675,0.08717926749550892,0.08798910540497544,0.09458428274839245,0.10701489330278126,0.10520264305330825,0.09507228543188671,0.09279791838333495,0.10729981053464654,0.12397315784537347,0.10212734303346153,0.08468411929612932,0.09442624178224912,0.09381507666137,0.0980194637674598,0.08005506266559088,0.08525449449808271,0.09747770111467231,0.10124630425555835,0.09675816084588523,0.10391095216921835,0.10652272852334678,0.10768697031539937,0.1028574024854199,0.11246980637421719,0.10162756259828108,0.09973254038195287,0.10038321113038191,0.09149788903828542,0.08483166844807917,0.0778093302636
IPO_PBR,0.11148311319842726,0.096313065086768,0.09173710760867158,0.09103671976286053,0.09805171703497811,0.09700907684390887,0.08916205996945674,0.07995619198034588,0.06832571173200362,0.06620580246162121,0.07635617599918823,0.07806860250723797,0.07658122493389106,0.096256940118761,0.09812995253225704,0.10848498783284201,0.09930072794847854,0.10633873237949934,0.11847795869350747,0.11690727869217109,0.11952350044209283,0.12424394395240879,0.1253832301511349,0.14963984982604225,0.15228707222671797,0.13753049594853578,0.12205659909123431,0.11686676466137035,0.11467123569558077,0.12333843710169158,0.12226534169518538,0.11714848549628273,0.12519269422854176,0.11932252899580295,0.10465725673874741,0.09060197783108107
IPO_EV/EBITDA,0.07364637792432714,0.08953520186501027,0.08592697897455473,0.09647367682731636,0.10150155337082102,0.08711730308237693,0.09174386191198684,0.10695786475155572,0.10676761820409085,0.11231744191151194,0.11711122011937897,0.10045126766420187,0.09743299823932039,0.0947188193941807,0.08124082735535135,0.08075361226332385,0.08751299400895882,0.09207497869363679,0.08430441598018867,0.08280977482856937,0.08551897905794728,0.09013970617251092,0.08815982404397578,0.10056712865813716,0.09994493818312408,0.11161915561507615,0.10233929562203375,0.10396480911967564,0.10188763263358264,0.10090553383732458,0.11202646428127383,0.10716913144800395,0.09432498692909001,0.0769067300756285,0.09650825389694927,0.08609113746906155
1년전 대비 시장 회전율,0.09381262131299296,0.09757289984465098,0.09489883909288352,0.09908197300423524,0.08037561956720873,0.0918808916750789,0.10210264077664062,0.08097362725018795,0.10145781494101563,0.07201473683360868,0.0826404941357707,0.09675003457199405,0.10205245262407153,0.0842600794476741,0.09231113463201591,0.07776155686604931,0.07900027051949754,0.09335193181143209,0.09313943915329752,0.11051209855719928,0.10473986607403342,0.1046370074041544,0.11592006474413213,0.08894878843437629,0.09280358277581957,0.07004576519003756,0.07864419993631891,0.0694328380326544,0.07456702860523547,0.07452072584353685,0.08349193170131902,0.08796422315405114,0.09853169622254405,0.10205143346587771,0.10376747653664622,0.12654356877626322
1년 전 대비 시장수익률,0.10922517161108738,0.08791942248832896,0.08402968377748524,0.0755997502693195,0.06890667506411256,0.06471081728078878,0.05585277357355621,0.06285828403448084,0.0664246094532635,0.08522590397433408,0.10505918043480493,0.07949451694372112,0.08574135122406466,0.07364713017815055,0.0809867789931426,0.07383894768842288,0.07668690376873344,0.07403590418729768,0.06340458699164536,0.07126921413673216,0.07817972424771018,0.07338598073402332,0.06893377416946982,0.07303843099834213,0.06690620651344382,0.06332121958136949,0.07035176231033853,0.07170434636267864,0.07147564228325243,0.06873948293926387,0.06303391924478936,0.05916345857501285,0.060119641840696125,0.0622045785442401,0.06417631873513178,0.06717221768978458
1년 전 대비 고객예탁금 증감률,0.07575451139705437,0.07581079298082245,0.06854460591616451,0.07189698784051533,0.07375752039481037,0.08107286010678903,0.08568237373516072,0.07817770603516308,0.09403311324102426,0.0980631308196108,0.0834673084004346,0.07681636849734282,0.08837912382328139,0.09317827576990917,0.07634654115125276,0.10270262852194839,0.10873545882318539,0.10055199885290694,0.0832880809962955,0.08133753619010956,0.09805799091185621,0.09016347242342866,0.08456993577671121,0.0840251525056439,0.08470652961307953,0.09868664019978977,0.09213713354738791,0.09350681341645445,0.08693855845940383,0.07477985144325656,0.07440835249624787,0.08265541240491536,0.09042529165411814,0.09394308679752113,0.09578650255676839,0.11325036717198657
