,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
buy_sell¼öÀÍ·ü,-0.14465793757142856,-0.126559966375,-0.07817378700000001,0.16573801269999996,0.1131007273888889,0.03236922558064516,0.10381419989583333,0.05513434773913044,0.010313319410256403,0.13424932456410255,0.1294646667906977,-0.029951284782608705,-0.0405490382,-0.030726963357142863,-0.05718521934000001,-0.07269459878048783,-0.0324034665952381,-0.03820870243902439,0.023288124147058824,0.024198457187499998,-0.025420139738095242,0.009111644282051277,0.05724249625,0.0346266059047619,-0.059934556864864874,0.008845946406249992,0.021086943803571432,0.045843458274999985,0.060350582617647065,0.08266328580555554,-0.066532886,0.16808411966666667,0.014891466917866455
buy¼öÀÍ·ü,-0.14465793757142856,-0.126559966375,-0.07817378700000001,0.1793075227241379,0.11831115014285716,0.04028484503448276,0.1069039378,0.05513434773913044,0.03480274549999999,0.13209467777777775,0.1344753433157895,-0.09481646575,-0.16271651775,-0.060914823285714285,-0.06644933640000002,-0.07384670740740742,-0.04697952657142858,-0.05031683034375001,0.013293723107142857,-0.010485400333333337,-0.07235212845833335,-0.04062089466666668,-0.086616222,-0.07444216747619048,-0.15575928284,-0.0867719908,-0.05760260411428571,0.031924391166666656,0.031404456812499995,0.06578034744444444,-0.121995492875,-0.084615385,-0.02353049932667528
all¼öÀÍ·ü,-0.030289256500000007,-0.03678095096666666,-0.05624664413888888,0.15720059463043476,0.15516218744444443,0.1210113111607143,0.09493033706557376,0.0529535258169014,0.03645664984415584,0.039252244447761195,0.07210314081666666,-0.022625519509803915,0.009403680846153843,0.014611007466666668,-0.0024176555466666684,-0.02209149055172414,-0.029732789483333338,-0.04519292026785715,-0.015876563361702133,-0.04335487453225807,-0.04740712479310346,-0.0654811296607143,-0.10414057038709677,-0.11250255506451613,-0.1345314538095238,-0.12859557161666668,-0.08763287948437501,-0.012498149603448281,-0.017919959869565218,-0.007069399569230772,0.004618797024999987,-0.10810847321052634,-0.011649764230099838
