,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
buy_sell¼öÀÍ·ü,0.05539311877777777,0.00823415,0.19892315605882352,0.07267004370370377,0.19935158695652178,0.11383470818421053,0.031011794200000036,-0.010071094130434787,-0.008586745480769232,0.03775576692682926,-0.03493337243902439,-0.05003035782051281,0.028180695513513508,-0.022906828705882346,-0.08397036404918033,-0.04707956594444444,-0.033912188083333336,-0.04321729004255319,-0.09878728619512198,-0.006351918190476187,0.08785023932500001,-0.1124713676111111,0.07587756196666667,0.06691958176923077,-0.10626838689999998,0.05658229302777778,0.041381130700000004,0.1002144407894737,0.0810063199375,0.05177387162068965,-0.05290619585185185,0.06899614031578948,0.020764488697775384
buy¼öÀÍ·ü,0.05539311877777777,0.012549011642857143,0.19892315605882352,0.26980249477272733,0.21461649668181823,0.26983813452,0.14315267032142862,-0.01183585324444445,-0.008586745480769232,0.029207988559999995,0.016131256473684196,-0.08657375859090907,-0.011682926777777776,-0.1348311125,-0.0067930352916666685,-0.0021295143999999935,-0.005122475666666662,-0.04517590317391303,-0.17405533429166667,-0.04526590777142857,0.04522352607407408,-0.09638996342857142,0.03464359854545455,0.021880653150000012,-0.115473091027027,0.0046946016666666686,-0.030745153588235295,0.015982662799999988,-0.018536124363636365,-0.052057845173913056,-0.20745381813333333,-0.18883369583333331,0.0028280347283756307
all¼öÀÍ·ü,0.1192887874,0.09776529419999999,0.1288982936111111,0.28968957195652173,0.2939778540888889,0.20457979603571427,0.11398604931147542,0.020577141915492963,0.007958743883116882,0.034979454970149246,0.0761255453,-0.012210830274509808,0.011563848634615393,0.031042583333333353,0.06172815429333333,0.02095795722413793,0.030557335150000007,0.001038751642857145,-0.07889819165957447,-0.03657693562903225,-0.03462938779310344,-0.06046172499999999,-0.061077147516129034,-0.07709686061290322,-0.06228368480952381,-0.03948208383333333,-0.025967258750000007,-0.027188709327586207,-0.10376107615942029,-0.09984199829230768,-0.11663520674999998,-0.1882595271578947,0.016260766855794664
