,0_1_熱櫛睦.csv,0_3_熱櫛睦.csv,0_6_熱櫛睦.csv,1_3_熱櫛睦.csv,3_6_熱櫛睦.csv,end_1_熱櫛睦.csv,end_3_熱櫛睦.csv,end_6_熱櫛睦.csv
0_1_熱櫛睦.csv,0.0(0.0),-0.0(-0.06),-0.07(-1.27),0.3(8.65***),0.25(6.63***),0.35(8.82***),0.35(8.92***),0.23(4.6***)
0_3_熱櫛睦.csv,0.0(0.06),0.0(0.0),-0.07(-1.22),0.31(8.67***),0.25(6.67***),0.35(8.84***),0.35(8.95***),0.23(4.64***)
0_6_熱櫛睦.csv,0.07(1.27),0.07(1.22),0.0(0.0),0.38(7.89***),0.32(6.48***),0.42(8.24***),0.42(8.31***),0.3(5.07***)
1_3_熱櫛睦.csv,-0.3(-8.65***),-0.31(-8.67***),-0.38(-7.89***),0.0(0.0),-0.06(-2.57**),0.04(1.7*),0.04(1.83*),-0.07(-1.84*)
3_6_熱櫛睦.csv,-0.25(-6.63***),-0.25(-6.67***),-0.32(-6.48***),0.06(2.57**),0.0(0.0),0.1(3.52***),0.1(3.65***),-0.02(-0.42)
end_1_熱櫛睦.csv,-0.35(-8.82***),-0.35(-8.84***),-0.42(-8.24***),-0.04(-1.7*),-0.1(-3.52***),0.0(0.0),0.0(0.09),-0.12(-2.66***)
end_3_熱櫛睦.csv,-0.35(-8.92***),-0.35(-8.95***),-0.42(-8.31***),-0.04(-1.83*),-0.1(-3.65***),-0.0(-0.09),0.0(0.0),-0.12(-2.73***)
end_6_熱櫛睦.csv,-0.23(-4.6***),-0.23(-4.64***),-0.3(-5.07***),0.07(1.84*),0.02(0.42),0.12(2.66***),0.12(2.73***),0.0(0.0)
