,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
buy_sell¼öÀÍ·ü,0.06685231010714285,0.08632637178571431,-0.00595118011111111,0.2853470358333334,-0.05888340615384614,0.23736848635714283,0.1578309272272728,0.08254034284210526,0.015042957780487788,0.11355450572222223,-0.05546166825,-0.01654941072727272,-0.009977238634146351,-0.04587240084782608,-0.08121440353846157,-0.08426436978787878,0.0711796296923077,0.052513776,0.04811209267500001,0.11821414680434784,0.04312790865789475,-0.009531381250000005,0.05281061008333332,0.03466262078571428,-0.023843170229166672,0.058244172513513506,-0.007202915400000007,-0.009031668125000003,0.019428082432432443,-0.04381931667741937,0.23931662593750003,-0.03147354335714285,0.04060614156713105
buy¼öÀÍ·ü,0.17670961123809523,0.15531657776000002,0.07816892954166667,0.455434705923077,0.27330092009999996,0.40439297417391307,0.9471312655555556,0.08254034284210526,0.015283019333333314,,0.005719469000000003,-0.0727025416,-0.03450761177777779,-0.046172027379310344,-0.008353056533333337,-0.00952188015789474,0.1736281232,0.08005435953571428,-0.011482045483870955,0.10166593834782608,-0.08529621588888887,-0.07463334166666667,0.08197933371428569,-0.15394145155,-0.07681892554545455,-0.02351046800000001,0.0652807213,0.10163507166666667,-0.173080357,-0.0644883665882353,1.697286013,-0.2262232325,0.12370309208260666
all¼öÀÍ·ü,0.1940059236,0.18082550703333328,0.2742512516388889,0.5401972494130434,0.5473633586444444,0.40212493573214286,0.2460821486065574,0.04484051740845071,0.05387384042857144,0.09039340289552238,0.13140242158333335,-0.003939572843137258,-0.026056079346153845,-0.005018043066666667,0.08349876733333333,0.07631852172413794,0.11415630751666668,0.067402815875,-0.0603606749574468,0.01568835420967742,-0.027984222758620697,-0.024942306928571436,-0.04829698932258064,-0.11350841420967743,-0.05920340079365079,-0.037519375449999996,0.025962815640625005,0.010056291362068967,-0.004299423159420296,0.005085556723076918,-0.001834430875000015,0.0905998844736842,0.08691146681661348
