,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
buy_sell¼öÀÍ·ü,0.20971123400000005,0.3803684801363636,0.19035394725714283,0.47887659345454536,0.4599017290857143,0.45158563209259256,0.5189710531555555,0.34686253823076924,0.2142025376440678,0.2770472748780488,0.28223812884210525,0.01471558631914894,0.11602157595555555,0.2519733988571428,0.0365594689111111,-0.07667238734615382,-0.08332832369642855,0.1800786515744681,0.3921624210789474,0.13693911477551024,0.07676137744117646,-0.0383558369375,0.015378676099999988,0.03891722207692309,0.006177095392857135,-0.016584624166666673,0.08327793669230767,0.3762439943684211,0.4405200785098039,0.256166365484375,0.6992452905833333,0.6522706035789473,0.23026833857281828
buy¼öÀÍ·ü,0.5523080020000001,0.3803684801363636,0.19035394725714283,0.49745943877419346,0.4834476429117647,0.45158563209259256,0.5242506982954546,0.34686253823076924,0.2753488800357143,0.3454978727142857,0.3152118762,0.09592727951515152,0.1908785081081081,0.25625938117647057,0.11632014465714285,0.21742491185,0.17208223936666667,0.35529268378125,0.3921624210789474,0.2988356441428572,0.20887984004,0.08420237812500002,0.1297779578888889,0.2629214198888889,-0.009391356777777788,0.018064350307692302,0.22527775453571425,0.481576675125,0.6699727500487804,0.5687088201428572,0.800523482,0.6522706035789473,0.32970821553840207
all¼öÀÍ·ü,0.3848926109666666,0.31513417886666667,0.200450953,0.503996643326087,0.4627300599555556,0.452607315625,0.4924976276557377,0.3792511684225353,0.3633751718441559,0.3333369366567164,0.3081595887833333,0.09824920205882352,0.1559215659423077,0.15936012645,0.14892335808,0.22837807896551726,0.2494803414833333,0.32652770801785713,0.4002900951063829,0.30186761577419363,0.25742305136206894,0.17617272594642858,0.12113101924193549,0.09425797517741936,0.038416400650793645,0.08544732270000001,0.21368123271874997,0.5012642502068965,0.611980663057971,0.613520261276923,0.74203549135,0.6522706035789473,0.32415722950778136
