,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
buy_sell¼öÀÍ·ü,0.016235278875000002,0.12208410085714287,-0.11758990119999999,-0.021747859238095243,0.017495732000000017,0.015088605714285728,-0.0642663958,-0.02057314948571428,0.0058328392857142876,0.041156252761904766,-0.028929501105263163,-0.04657038526086956,-0.020873250565217386,0.03325628632432433,-0.0470104410909091,0.041963198541666656,0.06789510812121212,0.06004903902439024,0.05600583935714286,0.06149180313157895,0.03845403057142857,-0.014733220567567564,0.017676870894736848,-0.06255501075000001,0.0001951855714285657,-0.02227132048837209,0.015327574488372086,0.053807754685714276,-0.07282559395652174,0.002563257089285715,0.06941844433333333,0.12927840976923077,0.010166549434042587
buy¼öÀÍ·ü,0.020340318714285717,0.14451478433333334,-0.1438623765,0.058852720636363626,0.11584741481818185,0.07111818533333336,0.09920688728571429,-0.025435208058823523,-0.0075375295555555515,0.09992841333333335,0.00917690036363636,-0.020686084363636368,-0.014996557666666669,0.055804827190476185,0.035194073703703706,0.050352536799999986,0.06671505068421053,0.05622785742307693,0.013295353117647065,0.06843990823809523,0.049962394291666656,-0.0019287385999999962,0.06018475280952381,-0.052814249,0.07533281085714286,0.08915595573913043,0.039025033719999984,0.006498313705882347,-0.07282559395652174,-0.03911369893617021,-0.05534539380000001,0.10697246360000001,0.029925047695667603
all¼öÀÍ·ü,0.1457979382,0.13206980210000002,0.14738685600000004,0.09453482795652177,0.09985264393333332,0.05359447969642859,0.017224425639344263,-0.022758271788732392,-0.017389749844155845,0.007695059567164182,0.013903734766666665,0.017217302098039216,0.00964934355769231,0.020661860716666668,0.06744249870666669,0.0483889652586207,0.05969324813333334,0.05409846019642856,-0.048561697744680846,0.026564964838709675,0.033497547913793106,0.014427133107142855,0.05006538509677421,0.025058028193548385,0.08797126623809524,0.11208175533333332,0.08039202814062499,0.017970961431034473,-0.07282559395652174,-0.08048110996923076,-0.102055880625,-0.0544154102105263,0.03246102508378482
