,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
buy_sell¼öÀÍ·ü,0.09384519105882347,0.7311663716470589,0.40363624957142846,0.34179257284615383,0.5966937902888888,0.605020096116279,0.7084732452608697,0.35426384130985916,0.3712664985844156,0.34686780800000006,0.30192337516216217,0.0700450028409091,0.05019999780434782,-0.11947250790384614,0.18648121154716982,0.2265154934313726,0.1343497512244898,0.18846418957999994,0.23157831388888894,0.19241913080769232,0.0817735379777778,0.0454098176818182,0.05540849971052631,-0.018209255075471695,0.05614228736956524,0.15013505836363636,-0.12208809908888886,0.25257002794117644,0.2863578413953488,-0.046068160155172434,0.729174314942857,0.8972199511052631,0.2619798576636062
buy¼öÀÍ·ü,0.5946678027272726,0.7311663716470589,0.4309430620499999,0.6486262411470589,0.8118369928536585,0.6994190233333333,0.7843049580930234,0.35426384130985916,0.3712664985844156,0.34686780800000006,0.3390836632352941,0.11190071592307693,0.05584673566666666,0.01988862129629629,0.4198424255172414,0.469839199882353,0.446210920882353,0.4120584919523809,0.23157831388888894,0.28803690832558143,0.15651864072972976,0.20015958927586208,0.20013036568421053,0.003959384869565221,0.06862241173170733,0.22062632916666666,0.058617792437499996,0.44883239599999997,0.6022570726451614,0.6134670837777777,0.729174314942857,0.8972199511052631,0.39897606027131605
all¼öÀÍ·ü,0.6316285903000001,0.5584407858,0.5746019669722222,0.9151459660434781,0.8826536189111112,0.7385312114285715,0.637529508442623,0.35426384130985916,0.3712664985844156,0.38977932208955224,0.36476644263333335,0.11351936839215687,0.09815642098076924,0.12512589576666666,0.2804690891066666,0.38777113179310346,0.43880368285,0.44815422655357146,0.26453984276595743,0.2859909683387098,0.2084979349655172,0.17769839773214285,0.14819502956451616,0.05999314540322581,0.1109240575873016,0.1780372698833333,0.354234888328125,0.5159771033793104,0.6160308244782609,0.6137788756153846,0.689272763675,0.8972199511052631,0.4197187068993797
