,0_1_熱櫛睦.csv,0_3_熱櫛睦.csv,0_6_熱櫛睦.csv,1_3_熱櫛睦.csv,3_6_熱櫛睦.csv,end_1_熱櫛睦.csv,end_3_熱櫛睦.csv,end_6_熱櫛睦.csv
0_1_熱櫛睦.csv,0.0(0.0),0.02(0.39),0.01(0.28),0.21(6.26***),0.19(5.01***),0.23(6.71***),0.2(5.42***),0.16(3.61***)
0_3_熱櫛睦.csv,-0.02(-0.39),0.0(0.0),-0.01(-0.1),0.19(4.59***),0.17(3.75***),0.21(4.98***),0.18(4.03***),0.14(2.75***)
0_6_熱櫛睦.csv,-0.01(-0.28),0.01(0.1),0.0(0.0),0.2(4.81***),0.18(3.94***),0.22(5.21***),0.18(4.23***),0.15(2.9***)
1_3_熱櫛睦.csv,-0.21(-6.26***),-0.19(-4.59***),-0.2(-4.81***),0.0(0.0),-0.02(-1.08),0.02(1.24),-0.02(-0.84),-0.05(-1.72*)
3_6_熱櫛睦.csv,-0.19(-5.01***),-0.17(-3.75***),-0.18(-3.94***),0.02(1.08),0.0(0.0),0.04(1.87*),0.01(0.3),-0.03(-0.86)
end_1_熱櫛睦.csv,-0.23(-6.71***),-0.21(-4.98***),-0.22(-5.21***),-0.02(-1.24),-0.04(-1.87*),0.0(0.0),-0.03(-1.74*),-0.07(-2.27**)
end_3_熱櫛睦.csv,-0.2(-5.42***),-0.18(-4.03***),-0.18(-4.23***),0.02(0.84),-0.01(-0.3),0.03(1.74*),0.0(0.0),-0.04(-1.13)
end_6_熱櫛睦.csv,-0.16(-3.61***),-0.14(-2.75***),-0.15(-2.9***),0.05(1.72*),0.03(0.86),0.07(2.27**),0.04(1.13),0.0(0.0)
