,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
buy_sell¼öÀÍ·ü,0.20337013731249998,0.38301610372727274,0.36493119536,0.6233057399189189,0.5995130857777776,0.36383313423404273,0.35157368879069767,0.27585405651562506,0.30473050105194804,0.25498576498076925,0.1736631430731707,0.04568773209999999,-0.12988923680952377,-0.280201847877551,-0.006223238966666678,-0.09567649207692308,0.02959807979545456,0.09738294779591837,0.27955411153191484,0.17676232900000002,0.08155267432142858,-0.01913383216666666,-0.06383617897560977,0.1317558722647059,0.06609305983720933,-0.011019404860465131,0.038406869270833345,0.2820654653846154,0.11490017561538463,0.25876607249230765,0.49686705920588237,0.3562192566666667,0.17963775075911373
buy¼öÀÍ·ü,0.7605964936666667,0.49378438075000003,0.36493119536,0.6760228383611111,0.5995130857777776,0.4781441176666668,0.4850330757,0.305561972984127,0.30473050105194804,0.27712666523404256,0.26432459077777776,0.09903590079411763,0.0435639984347826,-0.10489933533333334,0.36197664772727267,0.21634050449999997,0.3206241278076923,0.3655673308181818,0.2795444183043478,0.2831649634081633,0.23620666742500002,0.12457550551515151,0.184413073625,0.11911437082608697,0.06240863423333336,0.06016619520588235,0.26660339392,0.5220667339285715,0.40776978865789476,0.42868748905555554,0.5935732800000001,0.47452063214285717,0.32358728869770853
all¼öÀÍ·ü,0.5425346519666667,0.4556127468,0.4009446802222223,0.6400103211304348,0.6066799921555556,0.5196665812678571,0.4887820145081968,0.3128792472676057,0.30473050105194804,0.3140069447761194,0.29435081933333335,0.11468335609803923,0.15902222134615382,0.18122261335000003,0.24666430227999997,0.2944234916379311,0.3149550506666667,0.36099059776785714,0.2676392179148936,0.2709197150967742,0.24813937296551725,0.16837877957142858,0.1590513971774194,0.10844923824193549,0.10273396777777778,0.16761477028333338,0.258535712796875,0.44345016708620694,0.46257591353623195,0.4535146785538462,0.5363585207,0.5106864546315789,0.3346940012487627
