,0_1_¸ðµ¨ Æò°¡.csv,0_3_¸ðµ¨ Æò°¡.csv,0_6_¸ðµ¨ Æò°¡.csv,1_3_¸ðµ¨ Æò°¡.csv,3_6_¸ðµ¨ Æò°¡.csv,end_1_¸ðµ¨ Æò°¡.csv,end_3_¸ðµ¨ Æò°¡.csv,end_6_¸ðµ¨ Æò°¡.csv
0_1_¸ðµ¨ Æò°¡.csv,0.0(0.0),-0.02(-0.55),-0.01(-0.18),-0.22(-7.51***),-0.2(-6.53***),-0.11(-3.92***),-0.11(-3.45***),-0.12(-3.77***)
0_3_¸ðµ¨ Æò°¡.csv,0.02(0.55),0.0(0.0),0.01(0.44),-0.21(-8.34***),-0.19(-7.06***),-0.1(-4.08***),-0.09(-3.46***),-0.1(-3.83***)
0_6_¸ðµ¨ Æò°¡.csv,0.01(0.18),-0.01(-0.44),0.0(0.0),-0.22(-8.79***),-0.2(-7.47***),-0.11(-4.54***),-0.1(-3.89***),-0.11(-4.25***)
1_3_¸ðµ¨ Æò°¡.csv,0.22(7.51***),0.21(8.34***),0.22(8.79***),0.0(0.0),0.02(0.71),0.11(4.51***),0.12(4.51***),0.11(4.06***)
3_6_¸ðµ¨ Æò°¡.csv,0.2(6.53***),0.19(7.06***),0.2(7.47***),-0.02(-0.71),0.0(0.0),0.09(3.46***),0.1(3.55***),0.09(3.14***)
end_1_¸ðµ¨ Æò°¡.csv,0.11(3.92***),0.1(4.08***),0.11(4.54***),-0.11(-4.51***),-0.09(-3.46***),0.0(0.0),0.01(0.33),-0.0(-0.09)
end_3_¸ðµ¨ Æò°¡.csv,0.11(3.45***),0.09(3.46***),0.1(3.89***),-0.12(-4.51***),-0.1(-3.55***),-0.01(-0.33),0.0(0.0),-0.01(-0.39)
end_6_¸ðµ¨ Æò°¡.csv,0.12(3.77***),0.1(3.83***),0.11(4.25***),-0.11(-4.06***),-0.09(-3.14***),0.0(0.09),0.01(0.39),0.0(0.0)
