,0_1_¸ðµ¨ Æò°¡.csv,0_3_¸ðµ¨ Æò°¡.csv,0_6_¸ðµ¨ Æò°¡.csv,1_3_¸ðµ¨ Æò°¡.csv,3_6_¸ðµ¨ Æò°¡.csv,end_1_¸ðµ¨ Æò°¡.csv,end_3_¸ðµ¨ Æò°¡.csv,end_6_¸ðµ¨ Æò°¡.csv
0_1_¸ðµ¨ Æò°¡.csv,0.0(0.0),-0.0(-0.18),0.0(0.15),-0.17(-5.97***),-0.14(-4.89***),-0.07(-2.94***),-0.07(-2.81***),-0.1(-4.41***)
0_3_¸ðµ¨ Æò°¡.csv,0.0(0.18),0.0(0.0),0.01(0.36),-0.16(-6.38***),-0.14(-5.16***),-0.06(-3.17***),-0.06(-3.01***),-0.09(-4.97***)
0_6_¸ðµ¨ Æò°¡.csv,-0.0(-0.15),-0.01(-0.36),0.0(0.0),-0.17(-6.5***),-0.14(-5.32***),-0.07(-3.41***),-0.07(-3.25***),-0.1(-5.12***)
1_3_¸ðµ¨ Æò°¡.csv,0.17(5.97***),0.16(6.38***),0.17(6.5***),0.0(0.0),0.03(0.83),0.1(3.94***),0.1(3.96***),0.07(3.02***)
3_6_¸ðµ¨ Æò°¡.csv,0.14(4.89***),0.14(5.16***),0.14(5.32***),-0.03(-0.83),0.0(0.0),0.07(2.8***),0.08(2.84***),0.05(1.86*)
end_1_¸ðµ¨ Æò°¡.csv,0.07(2.94***),0.06(3.17***),0.07(3.41***),-0.1(-3.94***),-0.07(-2.8***),0.0(0.0),0.0(0.1),-0.03(-1.54)
end_3_¸ðµ¨ Æò°¡.csv,0.07(2.81***),0.06(3.01***),0.07(3.25***),-0.1(-3.96***),-0.08(-2.84***),-0.0(-0.1),0.0(0.0),-0.03(-1.6)
end_6_¸ðµ¨ Æò°¡.csv,0.1(4.41***),0.09(4.97***),0.1(5.12***),-0.07(-3.02***),-0.05(-1.86*),0.03(1.54),0.03(1.6),0.0(0.0)
