,공모가 대비 1개월,공모가 대비 3개월,공모가 대비 6개월,1개월 대비 3개월,3개월 대비 6개월,종가 대비 1개월,종가 대비 3개월,종가 대비 6개월
정확도,0.7026780844564111,0.7116809255006354,0.7087991779232394,0.7517877633550795,0.7582223490604031,0.6863996697296589,0.7146702944184287,0.7037200142856035
정밀도,0.7265276050235354,0.7606775707367165,0.7562605100214701,0.5331358859192722,0.5669629809119846,0.4540397946121327,0.5685656999805919,0.5861021105649274
재현율,0.8059256481985724,0.8204084236999941,0.8095809914042866,0.8854613853404549,0.8905249012169831,0.9102033253414218,0.8769891369591015,0.86970874066371
f1_score,0.7097596185065361,0.7166006142154969,0.7118580730617414,0.7692103880732448,0.7706141452341085,0.7016126196040812,0.7239929756294059,0.7108738048049767
정확도_test,0.3224838530136232,0.29507613732236015,0.2982670000959096,0.4126358886616947,0.39794248451646946,0.3193872323644736,0.334459973069541,0.33730777636148873
정밀도_test,0.4769757382996015,0.42304005272863476,0.4682361803414218,0.17325373776372482,0.23831269699540472,0.11282419593123574,0.19036167065282272,0.21010924596212857
재현율_test,0.5587170073039848,0.5717226187167617,0.6257455093197412,0.34742514430014426,0.49720411328867203,0.3211380633255634,0.4027977163982388,0.42850966891940184
f1_score_test,0.30477871533163226,0.2787289365969311,0.27939261992007897,0.45041937546318583,0.42106095462392024,0.348128431068728,0.3416371973943602,0.34095540001068125
