,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
정확도,0.8512658227848101,0.8484848484848485,0.85546875,0.8106060606060606,0.8729508196721312,0.8629032258064516,0.8616071428571429,0.8596491228070176,0.8454545454545455,0.8134920634920635,0.7954545454545454,0.8269230769230769,0.7901234567901234,0.8264705882352941,0.8,0.826530612244898,0.8137254901960784,0.7827102803738317,0.7878151260504201,0.8166666666666667,0.8,0.8229166666666666,0.7663934426229508,0.7829457364341085,0.7938931297709924,0.8266129032258065,0.7755905511811023,0.7934782608695652,0.7765486725663717,0.7633928571428571,0.7727272727272727,0.7882882882882883
정밀도,0.8544159800070263,0.8527095394565274,0.8629243092539148,0.8140850925390399,0.8722656558477455,0.8601341804426734,0.8709925531863351,0.8592867231638419,0.8460847701149425,0.8154061624649861,0.7996407506492693,0.8324568512452485,0.8014843432439823,0.834233786989673,0.8028352905831808,0.8326804065179128,0.8175886826974315,0.7883267104908832,0.7957795839447426,0.8267694658923497,0.8137116796520082,0.8301583443519742,0.7862366914483347,0.8059532549962687,0.809081458620882,0.8379498432601881,0.8003332505381686,0.7961709631364805,0.7829067469902565,0.7893662877836306,0.7806506770334283,0.7904500778351882
재현율,0.8512658227848101,0.8484848484848485,0.85546875,0.8106060606060606,0.8729508196721312,0.8629032258064516,0.8616071428571429,0.8596491228070176,0.8454545454545455,0.8134920634920635,0.7954545454545454,0.8269230769230769,0.7901234567901234,0.8264705882352941,0.8,0.826530612244898,0.8137254901960784,0.7827102803738317,0.7878151260504201,0.8166666666666667,0.8,0.8229166666666666,0.7663934426229508,0.7829457364341085,0.7938931297709924,0.8266129032258065,0.7755905511811023,0.7934782608695652,0.7765486725663717,0.7633928571428571,0.7727272727272727,0.7882882882882883
f1_score,0.8490899907141909,0.8459316837085472,0.8550729914645712,0.8053684977020811,0.8712668560123098,0.8602287225322698,0.860341356959922,0.8591720344085312,0.8445286079962598,0.8130563713103935,0.7944269240877129,0.8247230498352206,0.7903153709036063,0.8251688552958183,0.795685221902112,0.8236431604463808,0.8135904143579782,0.781651109820863,0.7865045362903226,0.814928789539618,0.800259090933704,0.8221022202015609,0.766390729285596,0.7812680272182394,0.7888430691630586,0.8227880363415957,0.7725713801920074,0.7880692948659784,0.7728682859124894,0.7611323426634918,0.7666264876090165,0.7847474699686295
정확도,0.36666666666666664,0.3333333333333333,0.3055555555555556,0.2391304347826087,0.4,0.2857142857142857,0.26229508196721313,0.38028169014084506,0.2857142857142857,0.4626865671641791,0.35,0.39215686274509803,0.38461538461538464,0.5,0.37333333333333335,0.2413793103448276,0.23333333333333334,0.30357142857142855,0.2553191489361702,0.3387096774193548,0.3448275862068966,0.44642857142857145,0.45161290322580644,0.3387096774193548,0.30158730158730157,0.45,0.3125,0.3275862068965517,0.4492753623188406,0.46153846153846156,0.3,0.5789473684210527
정밀도,0.46071428571428574,0.42583333333333334,0.18596491228070175,0.2594202898550725,0.5293085655314758,0.32142857142857145,0.3606165189426621,0.4825314512212317,0.5299422799422799,0.4285391225689733,0.40301587301587305,0.5328517371861025,0.4747575953458306,0.5541062801932367,0.5677777777777778,0.46247464503042596,0.34259259259259256,0.4494047619047619,0.5128734150010746,0.522273425499232,0.5386747802569304,0.5367857142857143,0.43590280687054883,0.5733006912442395,0.38885054827083815,0.4744200244200244,0.3550766660830999,0.28448275862068967,0.45752327088488276,0.42844767844767845,0.4669471153846153,0.7518796992481204
재현율,0.36666666666666664,0.3333333333333333,0.3055555555555556,0.2391304347826087,0.4,0.2857142857142857,0.26229508196721313,0.38028169014084506,0.2857142857142857,0.4626865671641791,0.35,0.39215686274509803,0.38461538461538464,0.5,0.37333333333333335,0.2413793103448276,0.23333333333333334,0.30357142857142855,0.2553191489361702,0.3387096774193548,0.3448275862068966,0.44642857142857145,0.45161290322580644,0.3387096774193548,0.30158730158730157,0.45,0.3125,0.3275862068965517,0.4492753623188406,0.46153846153846156,0.3,0.5789473684210527
f1_score,0.37481481481481477,0.34327485380116957,0.22363990785043417,0.2423418972332016,0.38703533026113673,0.30051020408163265,0.26632402894697976,0.3880972107152721,0.32495531002993694,0.4318227865198893,0.3346014492753623,0.44806255835667597,0.38652389277389276,0.48580709645177406,0.35807885304659504,0.2980054090601758,0.2714904143475572,0.34976801466376445,0.27851078228566206,0.3940429358210633,0.39485462547318717,0.47917933130699086,0.44226539589442815,0.32148750103126805,0.2978533550123816,0.4578674948240165,0.31924688112535016,0.2856170598911071,0.4335006943702596,0.44349646213000243,0.353003003003003,0.594541910331384
