,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
정확도,0.7933333333333333,0.8493150684931506,0.8071428571428572,0.84,0.8198529411764706,0.8174603174603174,0.825,0.8041666666666667,0.8221153846153846,0.8508771929824561,0.8690476190476191,0.8116438356164384,0.8051948051948052,0.8117283950617284,0.8176470588235294,0.7925531914893617,0.7734375,0.7830188679245284,0.7857142857142857,0.8185840707964602,0.8012820512820513,0.7930327868852459,0.7903225806451613,0.7956349206349206,0.74609375,0.7718253968253969,0.76,0.7400793650793651,0.7357723577235772,0.7309322033898306,0.6680672268907563,0.7522522522522522
정밀도,0.8010201833245196,0.851219851075764,0.8145772509514145,0.8398356972269135,0.8226495726495726,0.8175534446720887,0.8265510800600844,0.8090961237563452,0.8220570067649701,0.8563226590882457,0.8688786860561628,0.8241357332530014,0.8209514948291787,0.8245775542122755,0.8253533894378965,0.802930854241338,0.790651842470676,0.7903900660294523,0.7888792270059348,0.8189839572192512,0.8059128347833862,0.7982756944935322,0.7953693047925556,0.801164382979877,0.7684482538789257,0.7983421357679318,0.7789238008500303,0.759196415786495,0.7619490702637018,0.7466716700565091,0.6874550271523813,0.751051125342042
재현율,0.7933333333333333,0.8493150684931506,0.8071428571428572,0.84,0.8198529411764706,0.8174603174603174,0.825,0.8041666666666667,0.8221153846153846,0.8508771929824561,0.8690476190476191,0.8116438356164384,0.8051948051948052,0.8117283950617284,0.8176470588235294,0.7925531914893617,0.7734375,0.7830188679245284,0.7857142857142857,0.8185840707964602,0.8012820512820513,0.7930327868852459,0.7903225806451613,0.7956349206349206,0.74609375,0.7718253968253969,0.76,0.7400793650793651,0.7357723577235772,0.7309322033898306,0.6680672268907563,0.7522522522522522
f1_score,0.7903265527392613,0.8487317878147201,0.8077463604357004,0.8390762978991139,0.8189396720450134,0.8171950217928702,0.8248662192111927,0.7998241430561294,0.8214758308933064,0.8504576227676055,0.8676056762471748,0.805418022262942,0.8025465025993846,0.8099017205926559,0.815826448787126,0.7902707191408302,0.768049196516743,0.7795997123174403,0.7818958679326794,0.8171620688486078,0.7991209318814368,0.7921373050362107,0.7851828712157821,0.7937468265130512,0.7443403590944574,0.7713218511076843,0.757101711169035,0.7390071767290327,0.7342563236427284,0.7314131513545773,0.6626163159030579,0.7495692859329224
정확도,0.23333333333333334,0.3333333333333333,0.25,0.43478260869565216,0.3333333333333333,0.32142857142857145,0.4262295081967213,0.28169014084507044,0.3246753246753247,0.43283582089552236,0.5,0.09803921568627451,0.21153846153846154,0.45,0.25333333333333335,0.2413793103448276,0.21666666666666667,0.35714285714285715,0.3404255319148936,0.25806451612903225,0.2413793103448276,0.30357142857142855,0.3548387096774194,0.3870967741935484,0.3968253968253968,0.3333333333333333,0.328125,0.20689655172413793,0.18840579710144928,0.36923076923076925,0.5,0.5263157894736842
정밀도,0.23680555555555555,0.23333333333333334,0.06428571428571428,0.39389362390764915,0.29124423963133644,0.23405211141060198,0.414032006245121,0.08450704225352113,0.37079195314489427,0.5450330842202188,0.5271604938271605,0.042503116988638755,0.34957264957264955,0.49325396825396833,0.32197343453510435,0.5933870726974175,0.5176754385964912,0.5526077097505669,0.40838224504768894,0.3783410138248848,0.298132183908046,0.2930946368446368,0.3805005259467041,0.3686155913978495,0.44203257060399914,0.3296623563218391,0.36957268275203053,0.23552166224580015,0.3190263842437755,0.34102564102564104,0.4225,0.27700831024930744
재현율,0.23333333333333334,0.3333333333333333,0.25,0.43478260869565216,0.3333333333333333,0.32142857142857145,0.4262295081967213,0.28169014084507044,0.3246753246753247,0.43283582089552236,0.5,0.09803921568627451,0.21153846153846154,0.45,0.25333333333333335,0.2413793103448276,0.21666666666666667,0.35714285714285715,0.3404255319148936,0.25806451612903225,0.2413793103448276,0.30357142857142855,0.3548387096774194,0.3870967741935484,0.3968253968253968,0.3333333333333333,0.328125,0.20689655172413793,0.18840579710144928,0.36923076923076925,0.5,0.5263157894736842
f1_score,0.22207697893972403,0.2542857142857143,0.10227272727272727,0.38710144927536233,0.2793932230102443,0.1853521126760563,0.41452544277797154,0.13001083423618634,0.2973655577933653,0.42909352608029033,0.5000177242112727,0.05926308145090394,0.22390109890109888,0.4586309523809523,0.28160848431285906,0.30003984352361635,0.2226169026169026,0.37568378702832483,0.320502160267384,0.29096498875785803,0.2650246305418719,0.29785622206224577,0.3316475305266995,0.3669857024695734,0.41331035834410956,0.32199289072354087,0.339592698967699,0.17407921426283762,0.21672557179803556,0.3285780885780886,0.4472641509433962,0.3629764065335753
