,0_1_¸ðµ¨ Æò°¡.csv,0_3_¸ðµ¨ Æò°¡.csv,0_6_¸ðµ¨ Æò°¡.csv,1_3_¸ðµ¨ Æò°¡.csv,3_6_¸ðµ¨ Æò°¡.csv,end_1_¸ðµ¨ Æò°¡.csv,end_3_¸ðµ¨ Æò°¡.csv,end_6_¸ðµ¨ Æò°¡.csv
0_1_¸ðµ¨ Æò°¡.csv,0.0(0.0),-0.0(-0.03),0.01(0.38),-0.11(-3.77***),-0.1(-3.26***),-0.02(-0.85),-0.03(-1.38),-0.07(-3.34***)
0_3_¸ðµ¨ Æò°¡.csv,0.0(0.03),0.0(0.0),0.01(0.46),-0.1(-4.1***),-0.1(-3.5***),-0.02(-0.93),-0.03(-1.54),-0.07(-3.92***)
0_6_¸ðµ¨ Æò°¡.csv,-0.01(-0.38),-0.01(-0.46),0.0(0.0),-0.11(-4.18***),-0.11(-3.62***),-0.03(-1.27),-0.04(-1.83*),-0.08(-3.9***)
1_3_¸ðµ¨ Æò°¡.csv,0.11(3.77***),0.1(4.1***),0.11(4.18***),0.0(0.0),0.01(0.29),0.09(3.16***),0.07(2.81***),0.04(1.46)
3_6_¸ðµ¨ Æò°¡.csv,0.1(3.26***),0.1(3.5***),0.11(3.62***),-0.01(-0.29),0.0(0.0),0.08(2.66**),0.06(2.31**),0.03(1.0)
end_1_¸ðµ¨ Æò°¡.csv,0.02(0.85),0.02(0.93),0.03(1.27),-0.09(-3.16***),-0.08(-2.66**),0.0(0.0),-0.01(-0.53),-0.05(-2.54**)
end_3_¸ðµ¨ Æò°¡.csv,0.03(1.38),0.03(1.54),0.04(1.83*),-0.07(-2.81***),-0.06(-2.31**),0.01(0.53),0.0(0.0),-0.04(-2.05**)
end_6_¸ðµ¨ Æò°¡.csv,0.07(3.34***),0.07(3.92***),0.08(3.9***),-0.04(-1.46),-0.03(-1.0),0.05(2.54**),0.04(2.05**),0.0(0.0)
