,Market,Value,Finance
Market,0.0(0.0),-0.003(-0.35),0.02(3.065***)
Value,0.003(0.35),0.0(0.0),0.023(4.533***)
Finance,-0.02(-3.065***),-0.023(-4.533***),0.0(0.0)
