,Market,Value,Finance
Market,0.0(0.0),-0.026(-5.317***),0.012(2.394**)
Value,0.026(5.317***),0.0(0.0),0.038(7.795***)
Finance,-0.012(-2.394**),-0.038(-7.795***),0.0(0.0)
