,Market,Value,Finance
Market,0.0(0.0),-0.037(-8.067***),0.002(0.593)
Value,0.037(8.067***),0.0(0.0),0.04(9.692***)
Finance,-0.002(-0.593),-0.04(-9.692***),0.0(0.0)
