,Market,Value,Finance
Market,0.0(0.0),-0.039(-7.178***),-0.003(-0.698)
Value,0.039(7.178***),0.0(0.0),0.036(6.866***)
Finance,0.003(0.698),-0.036(-6.866***),0.0(0.0)
