,Market,Value,Finance,Trading
Market,0.0(0.0),-0.007(-1.974*),-0.006(-1.75*),-0.017(-4.427***)
Value,0.007(1.974*),0.0(0.0),0.001(0.409),-0.009(-2.391**)
Finance,0.006(1.75*),-0.001(-0.409),0.0(0.0),-0.011(-3.029***)
Trading,0.017(4.427***),0.009(2.391**),0.011(3.029***),0.0(0.0)
