,Market,Value,Finance
Market,0.0(0.0),-0.023(-4.737***),0.007(1.947*)
Value,0.023(4.737***),0.0(0.0),0.031(6.74***)
Finance,-0.007(-1.947*),-0.031(-6.74***),0.0(0.0)
