,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,mean
buy_sell¼öÀÍ·ü,0.07326732700000001,,-0.222772277,-0.05606124258333334,-0.05080489699999998,-0.02966773655555556,0.10957871324999999,0.009922927761904758,0.04298913023076924,-0.059651324687500014,0.076287059,0.06567587033333333,0.1657638595,0.16462205024999998,-0.1026320045714286,0.046303945333333325,0.12355399549999999,-0.17704462975,0.271577269,0.04775800754545454,-0.10896706281818182,0.17483017183333335,0.07335053277777778,0.006797770294117642,-0.08748301200000001,-0.08383749812499998,-0.15809939866666667,0.08254504622222224,-0.044315344765625,-0.07102545122222222,-0.06374068081818182,0.03035138066666666,0.008034596643071552
buy¼öÀÍ·ü,,,-0.222772277,-0.07433445325,0.007789074600000001,-0.122121454,0.056788298249999994,-0.004861434363636361,0.0469627892857143,-0.04538195749999997,0.049851137571428575,,,,,,0.18064516100000003,0.4,,0.333333333,0.2058516195,0.156373169,0.08054184020000002,-0.0740537861111111,-0.33257646199999996,-0.34603228799999997,-0.315506674,0.09378158783333333,-0.05629396251612903,-0.06286844613333332,-0.08435086,-0.09774019425000001,-0.009457343286822224
all¼öÀÍ·ü,0.1457979382,0.13206980210000002,0.14738685600000004,0.09453482795652177,0.09985264393333332,0.05359447969642859,0.017224425639344263,-0.022758271788732392,-0.017389749844155845,0.007695059567164182,0.013903734766666665,0.017217302098039216,0.00964934355769231,0.020661860716666668,0.06744249870666669,0.0483889652586207,0.05969324813333334,0.05409846019642856,-0.048561697744680846,0.026564964838709675,0.033497547913793106,0.014427133107142855,0.05006538509677421,0.025058028193548385,0.08797126623809524,0.11208175533333332,0.08039202814062499,0.017970961431034473,-0.07282559395652174,-0.08048110996923076,-0.102055880625,-0.0544154102105263,0.03246102508378482
