,rlf_mean,by3_mean
정확도,0.7026780844564111,0.8329985076403543
정밀도,0.7265276050235354,0.0
재현율,0.8059256481985724,0.0
f1_score,0.7097596185065361,0.834838752116491
정확도_test,0.3224838530136232,0.5916891665975552
정밀도_test,0.4769757382996015,0.0
재현율_test,0.5587170073039848,0.0
f1_score_test,0.30477871533163226,0.5568156649458215
