,rlf_mean,xgb_mean,lgbm_mean
정확도,0.7026780844564111,0.8099761398218536,0.9503602772697867
정밀도,0.7265276050235354,0.8139349240271864,0.962830903815049
재현율,0.8059256481985724,0.8991435532485467,0.9515369438146141
f1_score,0.7097596185065361,0.8157888441948039,0.950507403482502
정확도_test,0.3224838530136232,0.31809576437252784,0.3384116791238924
정밀도_test,0.4769757382996015,0.4577029960405436,0.47721454733851326
재현율_test,0.5587170073039848,0.49897828241106595,0.49448191283475723
f1_score_test,0.30477871533163226,0.3080282625049503,0.31269953384737553
