,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
매출총이익률,0.07440240988771184,0.04741312410889054,0.08057821671457692,0.048414643160463934,0.04105775256664037,0.027439833805106364,0.05388614042998297,0.06998745924373877,0.04529539084153176,0.06327687329546032,0.03438261774249384,0.038991765476295265,0.06622785638350716,0.11181808291015391,0.02851596035259245,0.05659895436604458,0.040919763846045544,0.040516332383361955,0.03439976167448674,0.07182221635034167,0.06814258295245129,0.03593158262588399,0.0676153550518659,0.05176957676116263,0.06572076950105261,0.03389452076988026,0.04501317978253685,0.04389605162377191,0.01912092410549508,0.029602557258620342,0.02215893392605712,0.036418037280880784
유동비율,0.09261415602224345,0.11694023940281498,0.11788440914784207,0.14276701375277703,0.09412133177639598,0.11000752520821756,0.07525264353096782,0.0734413530141152,0.07488290201191367,0.026077408710339527,0.027201103358653583,0.029497884679624733,0.04792005680041976,0.06406156361990145,0.03834630300565493,0.04008475937771413,0.04518766890050132,0.03829097483966003,0.07714696512936739,0.06740843959690125,0.09280893957572313,0.0788630520067332,0.09987437674448428,0.08885434399000554,0.07281119344695657,0.06710844002786047,0.07627527733188137,0.09184568745776955,0.08264150301938746,0.06410630839399657,0.06437845646720144,0.06177169738594056
부채비율,0.07805843604560589,0.11652654402978131,0.10639200031744137,0.05652560145637817,0.10786433772757463,0.11005430849226376,0.12213210188130176,0.06034696978144005,0.04177632592714187,0.030894221540223026,0.04913644750325115,0.034639665464948566,0.030270613789717203,0.03874103750250191,0.011426243051146074,0.02787834214670444,0.025294148942989175,0.02399528501943555,0.04632276440987947,0.03696147033328651,0.04413340314111862,0.04254081173790552,0.0362357628562413,0.08385607254692937,0.10273333701925391,0.11517037194513377,0.11799272576228138,0.050003928140203595,0.03958403281781146,0.06845702526089634,0.0591083428393732,0.04158761700430414
매출액증가율,0.06283019069401839,0.047456262138022065,0.061098199796266225,0.06842993658100069,0.06014736439371767,0.08046319044407678,0.07421661502892825,0.10824747282083369,0.05614807725782301,0.035241975021515944,0.035734429884254015,0.07773167447986132,0.06546714261995548,0.06548966108023842,0.0942338705816835,0.07891719637869034,0.13809489186743087,0.0832840124301223,0.08520987954265785,0.08774044358285873,0.09179990206106887,0.08162908003169336,0.07427015400235064,0.10447163253438045,0.14147842475111888,0.11374708336500934,0.10339288516052753,0.11040553537283901,0.13141232010371037,0.10321601899814718,0.1688857773934512,0.13674181337130858
1개월 후 PER,0.04002717426460732,0.06634206816931719,0.043445338981477455,0.044626879542934386,0.05440836972971603,0.05560772781368501,0.038904677935007216,0.04418959774559168,0.07225744351306654,0.05051440815557527,0.0490223620576494,0.043240377863356445,0.08074709239268658,0.050774525299346875,0.07591616482726583,0.061237261973312807,0.05978392398006327,0.07625607691296205,0.06494243344310133,0.07396079647270634,0.05316317826083099,0.07434947108671294,0.07206712021098925,0.07370643595420387,0.07184889696325435,0.07176704109142235,0.05311938465576698,0.03917441582193397,0.03750589824910011,0.023515629842390518,0.05541710690377229,0.04188437955745502
1개월 후 PBR,0.044599283732974816,0.03832459986379215,0.05125366307987518,0.06744489320188378,0.066478884089716,0.06338377003432176,0.07512003444761221,0.05075357294464968,0.059714577126135045,0.07244633673010767,0.0958644429085366,0.07891600370276629,0.08638897929818744,0.09698704057923009,0.06702502608404785,0.09712004756370227,0.08109241682195059,0.09841084422898241,0.09920398468845906,0.08625352430578934,0.07783035883200935,0.06598628768190604,0.09095499324575256,0.05528580549437802,0.06395968558182422,0.08849509887218646,0.08041395612591305,0.05162839928655591,0.056470614601326484,0.052572079691644236,0.07233186509868976,0.09409334014736431
1개월 후 EV/EBITDA,0.03679996903657714,0.037500550303685876,0.02004626829321491,0.031028242091368213,0.03901669892792767,0.058888783919122174,0.023613734988237337,0.037139560797960214,0.020625353757265624,0.057161328885829955,0.05622623457929458,0.058032603080945704,0.05371466841256078,0.03969678240389586,0.05172446279065299,0.06465503679226002,0.05680909334468955,0.06613825806777722,0.06899878191635152,0.05867319463807978,0.07063449203221847,0.07300636870828214,0.07978854119575621,0.07229346007432809,0.05737937537123927,0.05454308540489068,0.08601037654005633,0.0803759540512952,0.04255568028270856,0.05023160473322855,0.038576222773339205,0.035315827690126686
1개월 평균 거래량회전율,0.11219744443273709,0.12115312949198423,0.07484594542074532,0.0976633640321822,0.091711229651843,0.09010592891589146,0.06625486991433169,0.07562728245221166,0.11871609195673187,0.12394889023094366,0.15476731780684566,0.07473302248572554,0.08840149732016055,0.0830500740334503,0.10693480939533581,0.06882260762949986,0.11230048589014405,0.08262789934658749,0.07706574879352565,0.0679396450756052,0.058693548602491985,0.08003069967908982,0.09957942330156311,0.06306144176120856,0.06561114562380362,0.05953576344159286,0.05720306938814446,0.10440873273604973,0.11392159143306185,0.0758253916651695,0.10231232503927559,0.13289339041349446
1개월 평균 일중변동률,0.08973499952904491,0.056745106448909954,0.08620017920640091,0.10197427542445789,0.054180332161480486,0.0819245367649331,0.07951182954508743,0.048729871647921634,0.0795276855686753,0.08051670509897371,0.08394662081223545,0.14157229626989537,0.09152583409639693,0.14202829567586367,0.11317580326312789,0.14017750639195473,0.08328030335050537,0.08224008660418597,0.09238757925876342,0.11161186818080163,0.08871071192815852,0.12101985784045877,0.08958571341423689,0.06608703888514268,0.06692739412330727,0.08278968433810627,0.09238370244518451,0.10662413283885054,0.07790243504849698,0.061738679422702704,0.03506557618201946,0.050431307746353536
1개월 시가총액회전율,0.0831675965922869,0.11864101602552457,0.09133504852422876,0.0793193294373416,0.08795032389791835,0.10491060580879527,0.06745681234243878,0.08322497635579848,0.07939307260334799,0.11372343159616563,0.1363698324750582,0.09056171705907254,0.04468445706980087,0.06270833722827093,0.06172952806116465,0.04309839458149495,0.04550139404489792,0.09249110239793812,0.058184869239610526,0.050121391516552004,0.05940149270867793,0.03206964568278547,0.03983436100038355,0.05707784697205933,0.04429116529540015,0.04753000568908856,0.05246092558776863,0.06512362987336864,0.03699302138615624,0.05416899603562151,0.05496196215077577,0.057323456233286565
