,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
매출총이익률,0.08017401109446778,0.0700830827162104,0.078571985292712,0.07396095380756916,0.08568657011494597,0.09157798185221999,0.06966349061779561,0.0630200941822886,0.07604469486729107,0.07597045187693215,0.08189854422896874,0.11224816598275714,0.10178426744041626,0.09370002086492499,0.09590981145918243,0.08495356283589725,0.08397100264442367,0.08139161806333095,0.07523358501889815,0.07408397753665666,0.08605469432009898,0.07521709126520851,0.08836331800696591,0.07311301577181664,0.07033311313502393,0.06850587225918926,0.06063104524805769,0.053618219331357846,0.04989260500783654,0.057223743486729726,0.047141553794308656,0.05173304745107176
유동비율,0.07949482388965959,0.07299745402477183,0.06529737616209033,0.08316613861702045,0.08556617540495673,0.10189564850573804,0.0894162064522998,0.08846458239514304,0.07900126181505818,0.062036845540912926,0.06797654783418293,0.05025713909400175,0.05512180713687988,0.05921654326003153,0.05489718950098469,0.05982016085179384,0.07229312404489256,0.0773691157480171,0.08022685847740905,0.06281363455093453,0.07459401338471021,0.07093204226817208,0.0829499292831974,0.1332928763027737,0.12826254400489323,0.12448587500334106,0.10664775564615049,0.12278654612562148,0.1244537542659096,0.11308045627886423,0.10911257743453066,0.10749603594569665
부채비율,0.08545190568877153,0.08278953812028554,0.0817447865746126,0.08402420207907345,0.06865434320338878,0.08518910519024352,0.07871516257657359,0.07358940602784649,0.07708636851899875,0.07560355980431928,0.07706281829269104,0.06845938123901625,0.08231343788562714,0.08459650852689252,0.08027173778159286,0.07794447298916878,0.07654505949869363,0.0641715053703389,0.07173386642494067,0.06256145524971905,0.06554398385614073,0.06536710468540947,0.07689603825637724,0.06446545601042207,0.06849056157294411,0.06551415091502441,0.0645817295777161,0.08093358731530056,0.0963888705242967,0.09557779659760791,0.0835695762284838,0.0714729051484709
매출액증가율,0.08496351149007335,0.08666816291401341,0.0795095866454594,0.08024729244117126,0.07671563744377154,0.08562218528386407,0.07223761913276497,0.07826725044349955,0.06713021347407325,0.08321674060827287,0.07936445293970795,0.06482199080023215,0.0654412559902892,0.061445563906001054,0.0693949828631731,0.07757691093590709,0.08628717436503953,0.07178889005054563,0.07050388843631553,0.06782307774686984,0.059010725329170455,0.06281590353629653,0.07133321205323302,0.08188291728138326,0.09039080296979396,0.09287275802443933,0.09300388671629146,0.08903062682386464,0.0835885541573074,0.08356631270331522,0.08937030937474218,0.07965629651627455
1년전 대비 시장 회전율,0.08677254905868914,0.09716582519587802,0.10323338666133855,0.0949020661394562,0.09806828378901879,0.07345146329745737,0.07545924701646736,0.0780846293821763,0.08613066684603951,0.08139751282323027,0.0895704283226671,0.08509836746950927,0.08690716824773961,0.09953828305848968,0.10627188334472688,0.10740608412767315,0.10547142495809682,0.09326377833294369,0.0877144792863711,0.09259580573977891,0.10682569457033526,0.11572853100981831,0.10897504150755455,0.12181779196414444,0.12650127368600342,0.133817704321104,0.1346772251906846,0.09411942167340871,0.08626192294680776,0.08893928440050353,0.08357132324377965,0.0943588066925085
1년 전 대비 시장수익률,0.12371593719937696,0.08167274900943242,0.08867844312886551,0.08023251040858553,0.07853766675076926,0.08428543230247285,0.09826273930975785,0.09285769712730846,0.09994235048966277,0.09628768033251821,0.1029950542083553,0.10625133712291046,0.09906310941518665,0.1061471904348042,0.11177117595657451,0.09228951630615954,0.09631246589219904,0.08772991026059848,0.09706467201461395,0.0841583823686687,0.0794652227953869,0.07958054309546023,0.07035289089572054,0.07526245172705953,0.0764902044516536,0.08810000185051949,0.07790650757087542,0.06519810393886613,0.058087897462993934,0.05988763191238663,0.06154756909889524,0.07124935751337338
1년 전 대비 고객예탁금 증감률,0.08956392880264147,0.07906157405681197,0.09317741336783572,0.10951363376739257,0.1028127885507518,0.09690215453698316,0.08193665851115829,0.07840950253739234,0.07583898150895306,0.07531608011883344,0.08022378925350199,0.09082947360090961,0.09955600561134814,0.09371556465362654,0.08566817881478339,0.09314598959862444,0.08188774317458282,0.08424796054782759,0.09696474888082245,0.09226675829084836,0.08716164488052441,0.09182283914654739,0.07079577214421039,0.07810236053885951,0.07079575171838776,0.07683940092188987,0.07742275604818147,0.05468398915866713,0.05818391744984056,0.06476258490140345,0.07782094506334565,0.08487162113557056
상장일 기준 국고3년시장금리,0.11074661961550417,0.11568363773227072,0.11433501524826323,0.09316595609482528,0.11394967673319698,0.11800507460504656,0.10040971833948474,0.1058099398379127,0.09509835477885127,0.0880726463879878,0.08083510656598163,0.06512416429613306,0.054572412885041284,0.05052082911672065,0.06289810448443749,0.06507532556317035,0.05994799022969184,0.07065518948580761,0.07843395575287507,0.08709591453785533,0.07020031572192922,0.07152476780151848,0.06704654765723171,0.06148880501781025,0.0744108573446022,0.07720131589155735,0.08393845962572968,0.06995386253371405,0.0616880380648499,0.06297529789653143,0.06911755677027472,0.07408181546855121
종가_PER,0.07760157103818545,0.08983098033024955,0.08889283676774679,0.09600033040855199,0.08985484289104691,0.08937072166093996,0.13028343905356077,0.14791307690926223,0.14489339229837445,0.13923893565498516,0.12918772311581217,0.12054156084364251,0.12225508966552597,0.1133933347931866,0.11455492293592394,0.1085091161120884,0.10035508720845869,0.10465318895101253,0.08863175249085188,0.08968747476150415,0.0990074481611481,0.09171304465922328,0.09173985539342525,0.06940050333245958,0.06851202016564173,0.07860694212993856,0.08243805386893609,0.11066390277954039,0.12239298691789935,0.11985207870736002,0.11812815027838919,0.11204310220447791
종가_PBR,0.07505870833481293,0.0935305417810861,0.10350420451991182,0.10609316483165565,0.10520533742377729,0.09110792303375799,0.10306057486323011,0.0830710927152672,0.0854485689834984,0.09670137784636024,0.09443526160880827,0.1014630565410026,0.09987768019684043,0.10660403868574828,0.09092991019869343,0.10010766380536162,0.11447207429672199,0.12143496421449836,0.1319426630189662,0.15723294520386114,0.16170567842712022,0.1587311187245632,0.15058360562493764,0.1419726072595775,0.13481084739470686,0.10901252243649874,0.12543481150467212,0.12727054963548529,0.11216371207094515,0.12504760023132247,0.1267497572636912,0.12103128440797821
