,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
매출총이익률,0.1027534442345362,0.0496650860054591,0.08389057711541244,0.10756859857219854,0.08305851105376967,0.08251098474833807,0.08491988518881692,0.06858226692970891,0.041094844845423244,0.07238637671230787,0.0318123901344661,0.0364695525158072,0.05143652546489887,0.052738686432104366,0.03987218153763734,0.04058284677560007,0.042178766285005304,0.027900293692034724,0.061615880966968,0.04830945758481394,0.038891861544062725,0.04700787140698663,0.05199349843230339,0.06714940331605361,0.06012653815774671,0.07644895944437095,0.06517245412400541,0.05850041267883256,0.06310623202225649,0.08204448959854242,0.06655007761262487,0.0760003699174424
유동비율,0.11237177130360197,0.13733596548511312,0.11092224742783303,0.10064678453250915,0.10201835570116799,0.11754728775919192,0.06084640150586686,0.048249832823475954,0.07385819155331567,0.04527867180074769,0.05248408465895761,0.05992480670096173,0.05333133522925482,0.05977236325604426,0.051995477230185216,0.04127502179627307,0.07661660697135139,0.050270882880885964,0.0762099642449937,0.06668054917606389,0.0675474552230356,0.09069190243957087,0.07272480767771503,0.05928959587018047,0.07506513770500098,0.094033403999457,0.09018282612047628,0.0670869637534707,0.066515788515942,0.0661441988251327,0.0693532515288194,0.06772645967270355
부채비율,0.10694973304387277,0.09010153627749809,0.1018364020291399,0.10754037199998638,0.10201423926533545,0.12304587805998968,0.14480086099441578,0.05178871734783787,0.0543425635863844,0.039206272335085855,0.07189518090654527,0.05610784157968679,0.038442199574801716,0.04862030803635464,0.0472526084542841,0.0581838640807973,0.0558891478049503,0.0680217096539732,0.06386711291192612,0.042096411373080414,0.05897919376907024,0.0598376269792341,0.06124713522954095,0.08601755447004787,0.1202944665122679,0.04842169748001845,0.03808482015611716,0.07448907418744104,0.0945567982781753,0.07327211282315825,0.08693088465795684,0.07842272437657027
매출액증가율,0.04429163042449512,0.07590857607649416,0.11572677964919986,0.09340461617520056,0.060711761215716684,0.07820403555860966,0.08148039634521423,0.07105690356351199,0.0729073650220134,0.024543413820693662,0.07434835631349905,0.054275547806047195,0.04615354321732537,0.07192113741720299,0.1034471833759891,0.05716612536962756,0.06476200587700623,0.05580743726275738,0.0743733070723074,0.06553024091400139,0.07628219280375714,0.08207282223260257,0.12486864033511269,0.14672693900188802,0.0785045346883464,0.13966871036529416,0.1221279744162345,0.10018526779014514,0.13035709443094373,0.0827036957397076,0.11261398195303098,0.09889855929462275
IPO_PER,0.08277956463308653,0.06115776440389249,0.03939848228664662,0.053766718142350824,0.0702360445008948,0.08140218278761326,0.05037879405888664,0.11452668481452628,0.10511682383791782,0.09697658067271307,0.1160051597225874,0.08367725521723567,0.09993547625285802,0.10022082533256563,0.08188853852876629,0.08261243779999741,0.06433569313268936,0.07043738182492246,0.08488337955936195,0.11152831606846954,0.08711693438627863,0.11853115157097727,0.07484996819059087,0.07779568818413346,0.0709696035678001,0.07721273924626815,0.08815873071378787,0.06009655768860822,0.0650268949190682,0.05709142800770541,0.03859545528425657,0.04262812558616687
IPO_PBR,0.09683764763451903,0.09924522218861112,0.12974818558411644,0.0963456079086105,0.07123092479621135,0.07252833149552831,0.07007268724865065,0.1520257963429774,0.13160132473870578,0.19122993402787644,0.13763439004013742,0.18213345959193783,0.18634971690614133,0.16894384680476146,0.17167463440521266,0.20478380840181934,0.16383701290117725,0.14942817977477327,0.1645208118941919,0.13356875418517705,0.16780385223862074,0.1279871095088633,0.1435863718559791,0.19780769113950217,0.2038701270723986,0.21629770527992648,0.22030948389110547,0.15869619851927866,0.23174363011841842,0.16740725344155752,0.19330026243567,0.20952953873347258
IPO_EV/EBITDA,0.07393644831671807,0.08284334645376751,0.04859928544763064,0.06830702836313299,0.08287607047679471,0.06702045224055853,0.08547404092151613,0.10200105814866427,0.11638452035446538,0.08158801483231144,0.06018453709404309,0.06936391229072497,0.08682720023704707,0.05574477667461486,0.07146077934915471,0.06768043790940988,0.08844921729085596,0.0668559948929776,0.05765214676999473,0.05395640856320516,0.07282963237975237,0.05412371892636965,0.040472780595758984,0.07500362748978845,0.07211375943921401,0.09662845830820775,0.09000768361175941,0.1102195705034329,0.07740541754311955,0.09634721918370552,0.06654465421974601,0.07575660291581841
1년전 대비 시장 회전율,0.07289461201150212,0.11540463316269856,0.0976303668479512,0.0818652370623803,0.12758993150100545,0.10226321245635375,0.10430160517078987,0.08779451800077037,0.09373392764031806,0.07457957513549428,0.15247715982108112,0.1492547535529261,0.14222360389248956,0.17020076713542825,0.11723044130780202,0.1579752006631483,0.12847550578657657,0.1447846204809413,0.13166187708641258,0.16435210728306465,0.13308661478326284,0.1252858453009435,0.11544477039104237,0.0689196884837973,0.08969466120859981,0.0672759826126456,0.10737907568269726,0.09200484135395072,0.07793494070750251,0.10739222854986605,0.0670702468713345,0.0875688122161579
1년 전 대비 시장수익률,0.14437923728181568,0.09741081546721508,0.06795113977500754,0.06820590025601672,0.0954506826837118,0.08335766342816937,0.0993320186981008,0.04888659894861892,0.05103471077034785,0.11559105713706591,0.04979838117433791,0.08142288720882163,0.06746643782343617,0.05180717931048586,0.06742212046614553,0.07134040834565866,0.10329258157547146,0.10694273545247539,0.06845769036500458,0.06795827093912024,0.06077943005052546,0.06154610352972893,0.06908236453642179,0.07222442862300446,0.10353718507879503,0.05341172099463387,0.04543715904969469,0.05732564156772153,0.06603551644402815,0.06756576588222682,0.10957227906754269,0.07952862307421188
1년 전 대비 고객예탁금 증감률,0.09888806676414338,0.09123722434380663,0.09308303632642333,0.0856619030978779,0.07229552786937407,0.101420472866661,0.10205867574754061,0.08310221373693122,0.1136033725261226,0.14152624126693053,0.10990356752280256,0.08769656057578352,0.11452546433759062,0.10378798902476911,0.10798417001139302,0.09690460145231616,0.06620561468473758,0.07135788217800858,0.07672745426808304,0.11257606701561307,0.09260576330251392,0.11971954418747188,0.11085086019852838,0.09662999872085765,0.06709865847952502,0.07184090394589004,0.08416187776654017,0.13300891371137244,0.0679320158031579,0.1114690173324359,0.11383319268875712,0.09222642282275523
