,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
매출총이익률,0.1033363535905396,0.0993058315870436,0.0966439316183235,0.0619978278862521,0.1216118477198281,0.1001486544444959,0.1004041321792041,0.0664375055008329,0.0745137049620862,0.1038722634545618,0.033806734162819,0.0463915785756939,0.0849857715851788,0.0508983644675547,0.0472517711174508,0.0600843893812384,0.0367878585236397,0.0761571308439949,0.0495806901279161,0.0546959886501242,0.0519102658506052,0.0473525408626902,0.0771902203326481,0.0921620720195462,0.0677102765037864,0.0514996854018627,0.091873076664425,0.058212292553824,0.0757119114105748,0.0929032689546677,0.0860812570065203,0.0785719141161474
유동비율,0.1115867476105998,0.0667866894187076,0.106986183959912,0.1111677004977489,0.1436894671304444,0.1364694396473055,0.1526622766056291,0.1102024994141292,0.0984870751406376,0.0643563372801264,0.0970765552255552,0.1237638736188718,0.0875296706829548,0.0740679264225782,0.1179800124106686,0.0981455145712916,0.0617463511864289,0.1116148759996477,0.1129178910122012,0.0910124503403531,0.0726179007354613,0.0983534019747594,0.104967356601823,0.0791833729284362,0.0936920060906496,0.0908098974842901,0.0524482524890479,0.0899012107506339,0.0567028603601613,0.0795923740848877,0.0716907191610995,0.068506010998258
부채비율,0.0822335606166509,0.0752588591820151,0.0755558601354692,0.0892825139161404,0.06260682743769,0.084719306163193,0.0794375980885911,0.077717065270164,0.0750672238945739,0.0623961486069475,0.0701485241205045,0.0724398889714066,0.085200275341771,0.0461417726319633,0.064830984894172,0.0705863948804808,0.06044170177551,0.0602012170528876,0.0755875158474489,0.0707365204186453,0.0697365374663816,0.0569190894127912,0.07261628670068,0.0681703270138224,0.0628262363672821,0.1136931888841646,0.0953689925798369,0.1090228753127784,0.1105581861608027,0.085511643557768,0.0721209024615894,0.067386810754207
매출액증가율,0.0596078718856936,0.0562484792391254,0.0717431050589752,0.0699860498465334,0.0986715396448475,0.0573039532336911,0.0673616227812787,0.0660465329504924,0.0986454160035657,0.0999424242491371,0.1078698281601437,0.0751434818200356,0.0677106149203281,0.1029657187190517,0.0970621299685069,0.0734454971493438,0.0570460122841031,0.0739078314945962,0.0762948222020585,0.0686868323392787,0.1079884846819972,0.0550134622743541,0.0897730394541847,0.090473514910148,0.0765825964436417,0.0848117333333744,0.0552396821649244,0.0598377853686078,0.060009654849742,0.0507845621522272,0.0662184300264649,0.0658723512071425
IPO_PER,0.0573038336588001,0.0839284294716761,0.0483784681562603,0.0738113040324879,0.0626912490373963,0.0736483636544853,0.083335103785803,0.0510492939094074,0.0749308860500745,0.1226067940375055,0.1033091056025465,0.0839893604780784,0.1143307028470568,0.1113532648050331,0.0883484849112853,0.0886881835261305,0.070538040591062,0.0416902883701326,0.0422084366638533,0.0792941894009946,0.0792032305901795,0.0902729299428495,0.059011100576789,0.0962395548357186,0.1103562678199303,0.0615082519086691,0.1027595492964875,0.0869336745367786,0.0895700270186138,0.0813866901072262,0.0974670260168667,0.0703069758069034
IPO_PBR,0.1257503657693465,0.0820937791644721,0.0726513919014483,0.0719303751333476,0.073382156268929,0.0865126133080423,0.0845483125056672,0.1085038684046512,0.1001388839240944,0.1466013369820636,0.0925702578566667,0.1296744708291612,0.1142960351749402,0.1639529900471215,0.118585557915236,0.1147515330086671,0.1589280673543122,0.1378177641469031,0.1406854121594973,0.1333349998549103,0.1464899863462005,0.0905722148091578,0.1204813210425475,0.1556379743196569,0.161325989492253,0.2330141924970651,0.2015542811686044,0.116529796160136,0.1181894349774114,0.1648043677362505,0.14546202575724,0.141037819286095
IPO_EV/EBITDA,0.1114035220449274,0.1356515132097732,0.113941347329099,0.0637014846241539,0.062251490563189,0.0818047844825231,0.0566736454869055,0.1401872483388485,0.1275216465641565,0.0682264343497704,0.0717848136097485,0.0751265410710868,0.0850257619512644,0.0830633065809558,0.0939177616803318,0.0762998368585884,0.0835203430758508,0.1009223782495932,0.0511920762801131,0.0792650209406459,0.0832255985428438,0.1228703620755634,0.0830253979176552,0.0858755773751002,0.0678438749255163,0.0922747537246824,0.1223126418881246,0.1077823889073766,0.1188274468781495,0.0807957309864775,0.0955894278758511,0.0931545343870446
1년전 대비 시장 회전율,0.0779594879248914,0.078431942640123,0.1537554745905044,0.1505996075285455,0.1147229881703842,0.0887038922884658,0.1044046841216106,0.0886099921618263,0.0663130108086521,0.0716086693374332,0.1255372995228411,0.0880624521864842,0.088586084384395,0.0797028112728764,0.082730953289909,0.0587727467477619,0.1053279683996855,0.1052238594159948,0.1386259040165238,0.1222417433133258,0.1314252809137401,0.1348877058960739,0.1410092939456984,0.0645222165718347,0.0705505764156664,0.0630480810668771,0.0606671473574141,0.0897263664296137,0.0814576818553801,0.0930735107496217,0.0975140509730247,0.110694085159078
1년 전 대비 시장수익률,0.1140800082530467,0.0872144375309261,0.0588113236073106,0.077562599824659,0.0537304405178249,0.0402760999166416,0.06448623718409,0.0732896354693362,0.1140594613923942,0.0769203698130495,0.0937636923752488,0.0884246111764674,0.1018329976458507,0.0823784275893537,0.0887254184337783,0.0906777236754679,0.1019630624494933,0.0481599348368994,0.0661256829779916,0.0726823475381741,0.0765470860179677,0.0734950424772256,0.054233410890351,0.0692481340541278,0.0907085356434761,0.0335173254665336,0.0469455805407073,0.1188008096235027,0.0624100985723078,0.0533705583482311,0.0433103352820033,0.0652187231602229
1년 전 대비 고객예탁금 증감률,0.0880395474438555,0.1232783220442174,0.1094655870364558,0.0991384983156618,0.0859542875474398,0.1192776205050565,0.0883603471758346,0.0779427419389798,0.0450024523714268,0.0990466322273448,0.1487583561673009,0.1460305850111938,0.1061336874436645,0.1058484998466288,0.1087836148878653,0.101523233399341,0.1069701218375309,0.1004308204952253,0.0739918171734972,0.0779554512528295,0.0750849787143709,0.0638526631710059,0.0813802719725047,0.094152786812315,0.1024906798728798,0.0478132020534321,0.0462498798750947,0.0507152577733531,0.1029824482246306,0.0995831810430066,0.081396813229978,0.1078063575363153
상장일 기준 국고3년시장금리,0.0686987012016482,0.1118017165119199,0.0920673266062414,0.1308220383944693,0.1206877059620264,0.1311352723560995,0.1183260400853858,0.1400136166413317,0.1253202388883379,0.0844225896620599,0.0553748331966247,0.0709531562615197,0.0643683980225952,0.0996269176168823,0.0917833104907956,0.1670249468016881,0.1567304725223831,0.1438738990941249,0.1727897515388987,0.150094455950718,0.1057706501402516,0.1664105871035284,0.1163123005651179,0.1043344691592937,0.095912960424918,0.1280096881790482,0.1245809159753329,0.1125375425833948,0.1235802496922256,0.1181941122796353,0.1431490122093616,0.1314444175885856
Market,0.08719443620586045,0.1001816046817966,0.10352492796012805,0.11453068601583391,0.09377385554941883,0.09484822126656585,0.09389432714173027,0.0949639965528685,0.08767379086520274,0.08299956525997185,0.10585854531550387,0.09836770115891628,0.09023029187412634,0.0918891640814353,0.09300582427558704,0.10449966265606472,0.11774790630227319,0.0994221284605611,0.11288328892672782,0.10574349951376186,0.09720699894658258,0.10966149966195846,0.09823381934341799,0.0830644016493928,0.08991568808923507,0.06809707419147275,0.06961088093713724,0.09294499410246607,0.09260761958613603,0.09105534060512369,0.09134255292359189,0.10379089586105045
Value,0.098152573824358,0.1005579072819738,0.07832373579560253,0.06981438792999646,0.06610829862317143,0.0806552538150169,0.07485235392612523,0.09991347021763569,0.10086380551277513,0.11247818845644651,0.08922139235632058,0.09626345745944213,0.10455083332442049,0.11945652047770346,0.1002839348356177,0.09324651779779534,0.10432881700707501,0.09347681025554298,0.07802864170115456,0.09729807006551693,0.10297293849307461,0.10123850227585689,0.0875059398456639,0.11258436884349189,0.11317537741256652,0.12893239937680553,0.14220882411773886,0.10374861986809707,0.10886230295805825,0.1089955962766514,0.1128394932166526,0.10149977649334767
Finance,0.08919113342587098,0.07439996485672293,0.08773227019316998,0.08310852303666869,0.1066449204832025,0.09466033837217137,0.09996640741367574,0.08010090078390462,0.08667835500021585,0.0826417933976932,0.0772254104172556,0.07943470574650197,0.08135658313255817,0.06851844556028698,0.08178122459769957,0.07556544899558865,0.05400548094242042,0.0804702638477816,0.07859522979740619,0.07128294793710033,0.07556329718361134,0.06440962363114873,0.08613672577233396,0.0824973217179882,0.07520277885133995,0.08520362627592296,0.07373250097455855,0.07924354099646103,0.0757456531953202,0.07719796218738766,0.07402782716391852,0.07008427176893872
