,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,model_set_32,model_set_33,model_set_34,model_set_35
Train_1,43,44,42,41,35,31,27,22,19,14,14,12,11,11,12,16,17,18,19,24,25,26,25,26,27,26,32,31,31,33,39,37,36,36,33,33
Train_2,19,18,18,16,14,12,11,9,8,7,6,3,2,4,7,12,11,11,13,16,17,18,19,20,21,20,17,16,16,16,15,16,15,14,18,18
Train_3,25,24,25,26,27,26,21,24,21,22,25,22,22,26,29,35,35,37,39,41,43,48,52,54,55,54,52,51,51,52,53,54,55,48,45,44
Train_4,12,8,9,10,9,8,8,7,4,5,3,6,6,10,9,9,11,12,13,14,14,14,16,14,15,13,13,16,15,14,16,16,16,15,15,18
Train_5,56,43,42,40,42,43,43,48,48,47,48,59,58,62,65,83,81,78,76,75,77,79,86,67,73,72,71,60,61,61,66,64,64,64,67,77
Test_1,3,2,1,2,2,2,7,6,6,7,4,8,9,9,8,10,10,10,13,8,8,7,11,13,13,16,15,16,15,13,7,4,6,5,4,2
Test_2,2,2,1,1,0,0,0,0,0,2,6,11,11,9,7,5,6,7,6,4,4,4,4,7,6,5,5,5,5,5,9,6,6,6,1,0
Test_3,5,6,5,11,10,11,13,7,7,9,11,17,18,17,15,17,18,22,26,20,19,15,11,14,14,15,16,20,22,18,18,10,9,9,5,2
Test_4,2,2,1,0,0,1,1,4,4,7,7,5,7,4,5,5,3,3,4,4,5,6,4,7,7,5,8,5,4,4,3,6,8,8,6,2
Test_5,10,13,14,22,19,17,16,30,29,32,35,31,33,29,25,14,15,18,26,22,25,25,20,24,21,18,20,18,18,21,27,35,43,40,27,13
