,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31,model_set_32,model_set_33,model_set_34,model_set_35
Train_1,32,32,31,30,26,26,22,21,18,13,11,7,7,8,8,11,11,11,11,17,17,17,18,20,21,20,22,26,26,28,35,29,33,34,32,30
Train_2,22,23,24,24,20,19,19,18,16,15,13,11,11,10,11,17,17,18,19,20,22,23,26,24,24,25,25,18,19,19,20,18,18,17,18,18
Train_3,37,36,36,34,32,27,20,21,15,14,17,21,20,25,27,34,36,39,46,48,50,57,61,57,60,60,58,60,59,58,58,64,62,55,49,51
Train_4,9,7,7,8,10,9,9,8,7,9,9,11,11,13,15,16,16,16,15,14,15,16,18,16,17,16,16,16,14,15,15,17,16,13,13,13
Train_5,55,39,38,37,39,39,40,42,44,44,46,52,50,57,61,77,75,72,69,71,72,72,75,64,69,64,64,54,56,56,61,59,57,58,66,78
Test_1,2,2,1,2,2,2,4,3,3,4,3,6,6,5,4,8,8,8,11,6,7,7,7,12,11,13,17,11,15,14,8,7,5,4,3,2
Test_2,3,2,1,5,5,5,6,3,3,3,4,9,9,10,9,8,10,10,13,7,5,5,3,3,4,4,4,8,9,8,11,7,6,6,1,1
Test_3,6,7,3,6,5,4,8,9,9,14,16,19,22,21,22,20,19,22,23,18,19,17,13,22,21,19,22,24,22,19,14,5,6,6,4,1
Test_4,3,3,4,4,2,4,3,6,6,6,8,6,8,6,4,2,1,4,6,8,8,6,6,6,5,5,3,3,3,2,4,4,5,5,3,1
Test_5,8,11,13,19,17,16,16,26,25,30,32,32,33,26,21,13,14,16,22,19,22,22,21,22,20,18,18,18,15,18,27,38,50,47,32,14
