,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
매출총이익률,0.09578953683376312,0.10109070688486099,0.0923493504524231,0.09491290152072906,0.11413760483264923,0.07433793693780899,0.07973657548427582,0.0834755003452301,0.07789736986160278,0.0632094293832779,0.08048692345619202,0.07324230670928955,0.08434570580720901,0.07027346640825272,0.08306987583637238,0.08875659853219986,0.09348756074905396,0.09234877675771713,0.09545724838972092,0.07011794298887253,0.06531406193971634,0.06235389783978462,0.08318259567022324,0.08938122540712357,0.07457451522350311,0.07922568917274475,0.07129793614149094,0.05402444303035736,0.07560861110687256,0.060152992606163025,0.043791692703962326,0.0790289118885994
유동비율,0.07804427295923233,0.09563925117254257,0.08739140629768372,0.08647911995649338,0.09048782289028168,0.10215813666582108,0.08666839450597763,0.06425958126783371,0.07036539912223816,0.09033770859241486,0.10776090621948242,0.08043000847101212,0.09289674460887909,0.08036614209413528,0.08625809848308563,0.07492940872907639,0.08041815459728241,0.11038670688867569,0.11166614294052124,0.10140202939510345,0.10541124641895294,0.10318673402070999,0.08288851380348206,0.09834247827529907,0.1032664105296135,0.12035609781742096,0.11810418218374252,0.1085454598069191,0.1133364662528038,0.10500887036323547,0.11419060826301575,0.09001453965902328
부채비율,0.0863436609506607,0.10184997320175171,0.10594671964645386,0.10169260203838348,0.0789051353931427,0.08657259494066238,0.08744480460882187,0.08125942945480347,0.07900180667638779,0.07528997212648392,0.06660520285367966,0.09354682266712189,0.08426898717880249,0.08683633804321289,0.08152646571397781,0.07605911791324615,0.07970557361841202,0.06749282777309418,0.05747519060969353,0.05813830718398094,0.06168355420231819,0.07837018370628357,0.0793161392211914,0.09702514857053757,0.08472573757171631,0.0928759053349495,0.09454311430454254,0.08625146001577377,0.07902828603982925,0.06170434504747391,0.07747609913349152,0.09836497157812119
매출액증가율,0.09574147313833237,0.09694448113441467,0.06808093190193176,0.08731234073638916,0.06876420974731445,0.06459213048219681,0.11658823490142822,0.10932335257530212,0.09108944982290268,0.09630735218524933,0.08964820951223373,0.08497415482997894,0.09490781277418137,0.10037995874881744,0.08967610448598862,0.07133352011442184,0.0741707980632782,0.07672829926013947,0.06771128624677658,0.06720287352800369,0.07657691091299057,0.06801633536815643,0.07588360458612442,0.08991781622171402,0.09906113147735596,0.09213438630104065,0.0750698670744896,0.09398075193166733,0.08271466940641403,0.09822258353233337,0.1095820814371109,0.09857074171304703
IPO_PER,0.10311995446681976,0.09298813343048096,0.09100238233804703,0.10578515380620956,0.10675057768821716,0.11314022541046143,0.10948264598846436,0.1299550086259842,0.14908340573310852,0.16594137251377106,0.15186277031898499,0.15138688683509827,0.12742358446121216,0.11645247787237167,0.11635269969701767,0.10185614973306656,0.10029244422912598,0.09725499153137207,0.09458576887845993,0.11568045616149902,0.11322380602359772,0.11392088234424591,0.10912718623876572,0.07727521657943726,0.07914602756500244,0.068501316010952,0.06576760858297348,0.09473350644111633,0.08798567205667496,0.07340634614229202,0.07059593498706818,0.057580333203077316
IPO_PBR,0.08704168349504471,0.09782026708126068,0.09723711758852005,0.10454007238149643,0.0828840509057045,0.0860731303691864,0.08530602604150772,0.1114443987607956,0.1093091294169426,0.0900207906961441,0.09787958860397339,0.11362654715776443,0.10860957205295563,0.10464243590831757,0.10252713412046432,0.10433477908372879,0.1025761067867279,0.1003035306930542,0.10143839567899704,0.09471389651298523,0.0996798649430275,0.11573467403650284,0.11669406294822693,0.13339656591415405,0.14449700713157654,0.1362958401441574,0.14932778477668762,0.1323336362838745,0.12172095477581024,0.13250763714313507,0.1000242680311203,0.09430848807096481
IPO_EV/EBITDA,0.08330142498016357,0.07288303226232529,0.07739347219467163,0.06764700263738632,0.09401784837245941,0.12313608825206757,0.08719566464424133,0.08713028579950333,0.09796421974897385,0.10733959078788757,0.10981858521699905,0.08347798138856888,0.08399531990289688,0.08517935872077942,0.08766654878854752,0.07937756180763245,0.07713412493467331,0.08044543117284775,0.059021882712841034,0.07715841382741928,0.07554302364587784,0.06258577853441238,0.0547167994081974,0.08586062490940094,0.05889469012618065,0.07419056445360184,0.056735821068286896,0.08400695770978928,0.08344787359237671,0.07154384255409241,0.08174072951078415,0.08103681355714798
1년전 대비 시장 회전율,0.07810954004526138,0.09000541269779205,0.08702847361564636,0.08814840018749237,0.09254342317581177,0.09528293460607529,0.07064206898212433,0.0814359113574028,0.07550593465566635,0.06200205534696579,0.07949669659137726,0.07211315631866455,0.07437122613191605,0.0674753338098526,0.06681367009878159,0.09458386152982712,0.10167323052883148,0.09995906800031662,0.09616361558437347,0.11858125776052475,0.09467679262161255,0.12086521089076996,0.12252965569496155,0.08280853927135468,0.09158805757761002,0.0723961889743805,0.07283841073513031,0.07297918945550919,0.06724537909030914,0.06895484030246735,0.08425969630479813,0.09816130995750427
1년 전 대비 시장수익률,0.10469342768192291,0.06685847043991089,0.08544756472110748,0.07635118067264557,0.08263833075761795,0.06261110305786133,0.09713346511125565,0.09275602549314499,0.07471280544996262,0.06892439723014832,0.07262375205755234,0.07859017699956894,0.08297265321016312,0.0913555771112442,0.09038969874382019,0.08132343739271164,0.09659384191036224,0.09414167702198029,0.11443766951560974,0.09803596138954163,0.11766830831766129,0.10235954821109772,0.10034695267677307,0.07001974433660507,0.0718773826956749,0.10885508358478546,0.09480029344558716,0.06634670495986938,0.08942592144012451,0.08731800317764282,0.11953555792570114,0.1221497431397438
1년 전 대비 고객예탁금 증감률,0.0881309062242508,0.09239832311868668,0.09616484493017197,0.07532653212547302,0.07363776117563248,0.08268765360116959,0.0958295688033104,0.0720965638756752,0.08677129447460175,0.08840841054916382,0.06767091155052185,0.07449879497289658,0.09464964270591736,0.07751084864139557,0.06744502484798431,0.0673406720161438,0.06193893030285835,0.047488078474998474,0.06770976632833481,0.06798233091831207,0.07646876573562622,0.071502685546875,0.07523350417613983,0.06654754281044006,0.0708061009645462,0.06958434730768204,0.0925295427441597,0.08449117839336395,0.06914118677377701,0.10081247985363007,0.10126554220914841,0.08450347930192947
