,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
정확도,0.8988095238095238,0.8831168831168831,0.8866666666666667,0.875,0.8456375838926175,0.8181818181818182,0.920863309352518,0.9328859060402684,0.8920863309352518,0.9041095890410958,0.8758169934640523,0.8294117647058824,0.8554913294797688,0.8757062146892656,0.8547486033519553,0.8571428571428571,0.8578431372549019,0.8544600938967136,0.8146551724137931,0.8628318584070797,0.8376068376068376,0.8242677824267782,0.8024691358024691,0.8264462809917356,0.8380566801619433,0.8535564853556485,0.8811475409836066,0.8798283261802575,0.8884120171673819,0.8922413793103449,0.8548387096774194,0.8708333333333333
정밀도,0.9114465230536659,0.9013365275501197,0.9037333333333334,0.8906017911751858,0.8704859152497497,0.8527541640749189,0.9256867233485939,0.9374151261823463,0.899103377396605,0.9125663964215823,0.887739711269123,0.8425975678733032,0.8635854444430866,0.8818103124287624,0.8683422942831941,0.8649749248429311,0.8650887195511942,0.8744151093585121,0.8484760675430046,0.8829329962073325,0.863954128660011,0.8508095706902007,0.8324640037603,0.8591406489133762,0.866426750637277,0.8814125886847372,0.9002959927140255,0.8931832709341613,0.8981348122035316,0.9033874889478338,0.8727675371223758,0.8804662004662004
재현율,0.8988095238095238,0.8831168831168831,0.8866666666666667,0.875,0.8456375838926175,0.8181818181818182,0.920863309352518,0.9328859060402684,0.8920863309352518,0.9041095890410958,0.8758169934640523,0.8294117647058824,0.8554913294797688,0.8757062146892656,0.8547486033519553,0.8571428571428571,0.8578431372549019,0.8544600938967136,0.8146551724137931,0.8628318584070797,0.8376068376068376,0.8242677824267782,0.8024691358024691,0.8264462809917356,0.8380566801619433,0.8535564853556485,0.8811475409836066,0.8798283261802575,0.8884120171673819,0.8922413793103449,0.8548387096774194,0.8708333333333333
f1_score,0.8959790150340838,0.8789623684581669,0.8826932367149758,0.8694226986249045,0.8319898971009575,0.8026675948014572,0.9182115385535884,0.9277849645149951,0.8888731031981139,0.893137270683429,0.8635169036340998,0.8139194139194138,0.8440325344877065,0.863478828294055,0.8423593991350458,0.8390584860506834,0.8406542153493199,0.8373630976917361,0.7895179281092707,0.8497455589641659,0.8200767486481771,0.8040476623612881,0.777878069704432,0.8110694540456316,0.8242894129464002,0.841007895096728,0.8711037472043941,0.871507251020115,0.8829976843367242,0.8861854051441918,0.8461019066018775,0.8618541316957121
정확도,0.5,0.5,0.4166666666666667,0.391304347826087,0.37777777777777777,0.5,0.4918032786885246,0.4507042253521127,0.4025974025974026,0.44776119402985076,0.65,0.47058823529411764,0.5384615384615384,0.65,0.5333333333333333,0.5862068965517241,0.6,0.5357142857142857,0.48936170212765956,0.46774193548387094,0.5344827586206896,0.44642857142857145,0.45161290322580644,0.43548387096774194,0.42857142857142855,0.4666666666666667,0.375,0.3275862068965517,0.43478260869565216,0.46153846153846156,0.525,0.3684210526315789
정밀도,0.2857142857142857,0.5717948717948718,0.28735632183908044,0.33016304347826086,0.33999999999999997,0.364019520851819,0.36580796252927406,0.4779342723004694,0.5262468623813161,0.5278521397924382,0.5471698113207547,0.39215686274509803,0.36845335515548283,0.5053703703703705,0.4338700564971751,0.49049964813511615,0.6277777777777778,0.4384249471458774,0.6089619600257897,0.6127472390341299,0.4280594996619337,0.413265306122449,0.35752688172043007,0.25471698113207547,0.22959183673469388,0.372716049382716,0.3424848178137652,0.4298850574712644,0.3544685990338164,0.4340437340437341,0.5416666666666667,0.5425101214574899
재현율,0.5,0.5,0.4166666666666667,0.391304347826087,0.37777777777777777,0.5,0.49180327868852464,0.4507042253521127,0.4025974025974026,0.4477611940298508,0.65,0.47058823529411764,0.5384615384615384,0.65,0.5333333333333333,0.5862068965517241,0.6,0.5357142857142857,0.48936170212765956,0.46774193548387094,0.5344827586206896,0.44642857142857145,0.45161290322580644,0.43548387096774194,0.42857142857142855,0.4666666666666667,0.375,0.3275862068965517,0.43478260869565216,0.46153846153846156,0.525,0.3684210526315789
f1_score,0.3636363636363636,0.42825150732127476,0.3401360544217688,0.3581429624170966,0.3578947368421053,0.42053571428571435,0.41635140815468685,0.4484908038789467,0.43347866603680557,0.4720300159483553,0.5895833333333333,0.4278074866310161,0.4237275882012724,0.5600614439324116,0.4784874852293479,0.5340996168582376,0.6075757575757575,0.47962412813226557,0.46274590200465293,0.41538549065430774,0.4320217939810582,0.42707292707292704,0.34569754970711986,0.3214285714285714,0.29900332225913623,0.35665739882607356,0.35633445945945946,0.35940065681444994,0.3905320067239107,0.43889363722697056,0.41387559808612445,0.3346260387811634
