,model_set_0,model_set_1,model_set_2,model_set_3,model_set_4,model_set_5,model_set_6,model_set_7,model_set_8,model_set_9,model_set_10,model_set_11,model_set_12,model_set_13,model_set_14,model_set_15,model_set_16,model_set_17,model_set_18,model_set_19,model_set_20,model_set_21,model_set_22,model_set_23,model_set_24,model_set_25,model_set_26,model_set_27,model_set_28,model_set_29,model_set_30,model_set_31
정확도,0.8988095238095238,0.8831168831168831,0.9133333333333333,0.83125,0.9463087248322147,0.9440559440559441,0.9136690647482014,0.9328859060402684,0.9640287769784173,0.9315068493150684,0.9477124183006536,0.8705882352941177,0.8901734104046243,0.864406779661017,0.8491620111731844,0.8472906403940886,0.8235294117647058,0.8591549295774648,0.8275862068965517,0.8451327433628318,0.8504273504273504,0.8326359832635983,0.8518518518518519,0.859504132231405,0.8340080971659919,0.8326359832635983,0.860655737704918,0.8454935622317596,0.8197424892703863,0.8275862068965517,0.8306451612903226,0.8083333333333333
정밀도,0.9040287177611122,0.8918248270510916,0.9186638388123011,0.8392139479905438,0.9467251614902621,0.9461750370841281,0.9232682425488182,0.9367643314862061,0.965700270509055,0.9350008319006156,0.9503749558268927,0.8712225014138552,0.8901502747800336,0.8706460622737653,0.8488466720400402,0.8540248544558889,0.8324418557193917,0.8745461806385488,0.8395955104251903,0.8595055387090786,0.8648745154050194,0.848693234938005,0.861858224532443,0.8724161400097229,0.8546158844404459,0.8494615601379718,0.8782286138499115,0.855165972297712,0.8400669791809872,0.8580389683207177,0.8468949723148812,0.8274292027417027
재현율,0.8988095238095238,0.8831168831168831,0.9133333333333333,0.83125,0.9463087248322147,0.9440559440559441,0.9136690647482014,0.9328859060402684,0.9640287769784173,0.9315068493150684,0.9477124183006536,0.8705882352941177,0.8901734104046243,0.864406779661017,0.8491620111731844,0.8472906403940886,0.8235294117647058,0.8591549295774648,0.8275862068965517,0.8451327433628318,0.8504273504273504,0.8326359832635983,0.8518518518518519,0.859504132231405,0.8340080971659919,0.8326359832635983,0.860655737704918,0.8454935622317596,0.8197424892703863,0.8275862068965517,0.8306451612903226,0.8083333333333333
f1_score,0.898792221411269,0.8812751679436522,0.9122319060250095,0.8277508308815517,0.9460269578953276,0.9439389776889777,0.9106747071796755,0.9316800612839541,0.9636700941535125,0.9319223332921963,0.9469183158052189,0.8682428058828981,0.8872575386139758,0.8614078304815688,0.846916804116907,0.8421854821973727,0.8162821213690862,0.8535089664140738,0.8182049374810357,0.8375771132397812,0.8416037025231616,0.8218561522297492,0.8475086723286037,0.8518816776935759,0.8215585543959533,0.8219253025540937,0.8491843491745488,0.8356014427400811,0.8070622739557712,0.8140523890294382,0.8190043482187673,0.7978998005289254
정확도,0.4,0.4666666666666667,0.3055555555555556,0.34782608695652173,0.3333333333333333,0.19642857142857142,0.36065573770491804,0.2676056338028169,0.3246753246753247,0.3582089552238806,0.3,0.47058823529411764,0.5192307692307693,0.5666666666666667,0.4666666666666667,0.39655172413793105,0.25,0.21428571428571427,0.3191489361702128,0.2903225806451613,0.3275862068965517,0.4107142857142857,0.41935483870967744,0.3064516129032258,0.31746031746031744,0.2833333333333333,0.234375,0.15517241379310345,0.15942028985507245,0.26153846153846155,0.25,0.3157894736842105
정밀도,0.5324074074074073,0.554040404040404,0.3616898148148148,0.33333333333333337,0.30196078431372547,0.25093313641245973,0.3301861210403057,0.3401743796109994,0.3928646066577101,0.318058828663699,0.36166666666666664,0.3872549019607843,0.44009937430990065,0.41568627450980394,0.39456790123456786,0.41133004926108374,0.2992178513917645,0.36989399489399494,0.25120889748549324,0.2533106960950764,0.27711925287356326,0.30961538461538457,0.38569995369655813,0.14384463462804475,0.12471655328798187,0.13299319727891157,0.25253739316239315,0.28474229271918655,0.1851145353980893,0.24750582750582747,0.28478260869565214,0.45614035087719296
재현율,0.4,0.4666666666666667,0.3055555555555556,0.34782608695652173,0.3333333333333333,0.19642857142857142,0.36065573770491804,0.2676056338028169,0.3246753246753247,0.3582089552238806,0.3,0.47058823529411764,0.5192307692307693,0.5666666666666667,0.4666666666666667,0.39655172413793105,0.25,0.21428571428571427,0.3191489361702128,0.2903225806451613,0.3275862068965517,0.4107142857142857,0.41935483870967744,0.3064516129032258,0.31746031746031744,0.2833333333333333,0.234375,0.15517241379310345,0.15942028985507245,0.26153846153846155,0.25,0.3157894736842105
f1_score,0.40351648351648345,0.4902857142857143,0.3138089929394277,0.2826086956521739,0.30995670995670993,0.20091036414565824,0.3399433096636568,0.29618159236846975,0.34328317185460033,0.33631225226057077,0.31058558558558563,0.41893946115399405,0.47080155835543763,0.4755426356589147,0.4266231292517007,0.4026369168356998,0.2649911816578483,0.23071526687598112,0.2745858844403078,0.2644058450510064,0.2959299039005087,0.34848484848484845,0.3947856141053897,0.19578853046594985,0.1790801790801791,0.18101851851851852,0.23606060606060605,0.1651656810483647,0.1474479748133619,0.25257599283785864,0.24159663865546221,0.29993535875888816
